,action1,action2,action3,action4,action5,epsilon,lr,reward1,reward2,reward3,reward4,reward5,total_reward
0,"[0.7, 0.2]","[0.8, 0.6]","[0.0, 0.7]","[0.8, 0.5]","[0.3, 0.4]",1.00,0.50,51.95,20.68,10.74,27.06,27.16,137.59
1,"[0.8, 0.7]","[0.5, 0.2]","[0.4, 0.9]","[0.8, 0.7]","[0.5, 0.8]",0.98,0.50,-3.51,3.29,7.08,14.13,7.11,28.10
2,"[0.2, 0.7]","[0.7, 0.4]","[0.0, 0.5]","[0.8, 0.8]","[0.6, 0.6]",0.95,0.50,14.24,44.35,9.66,15.80,10.03,94.08
3,"[0.0, 0.7]","[0.2, 0.7]","[0.5, 0.7]","[0.4, 0.3]","[0.4, 0.5]",0.93,0.50,69.96,-22.28,-31.20,-18.05,4.40,2.83
4,"[0.9, 0.5]","[0.5, 0.5]","[0.1, 0.4]","[0.1, 0.8]","[0.2, 0.2]",0.90,0.50,48.13,13.39,31.56,15.38,-4.21,104.25
5,"[0.9, 0.1]","[0.3, 0.8]","[0.1, 0.4]","[0.8, 0.6]","[0.5, 0.5]",0.88,0.50,4.57,63.10,11.93,12.91,16.46,108.98
6,"[0.3, 0.1]","[0.4, 0.7]","[0.6, 0.1]","[0.3, 0.0]","[0.8, 0.3]",0.85,0.50,-63.77,5.40,-7.61,-0.33,6.67,-59.65
7,"[0.7, 0.6]","[0.3, 0.8]","[0.7, 0.4]","[0.5, 0.7]","[0.9, 0.0]",0.81,0.50,2.62,4.52,15.10,5.88,16.76,44.87
8,"[0.1, 0.1]","[0.3, 0.1]","[0.7, 0.5]","[0.8, 0.0]","[0.3, 0.4]",0.78,0.50,16.20,-54.65,-0.44,1.03,11.51,-26.36
9,"[0.2, 0.1]","[0.0, 0.2]","[0.0, 0.2]","[0.3, 0.9]","[0.6, 0.2]",0.74,0.50,-16.12,46.68,54.24,-48.77,9.18,45.21
10,"[0.0, 0.6]","[0.4, 0.0]","[0.3, 0.3]","[0.4, 0.2]","[0.9, 0.5]",0.70,0.50,38.18,12.35,-2.75,-87.10,0.75,-38.57
11,"[0.0, 0.6]","[0.5, 0.4]","[0.0, 0.2]","[0.8, 0.8]","[0.3, 0.4]",0.65,0.50,40.14,24.46,39.42,-1.24,11.74,114.52
12,"[0.7, 0.6]","[0.3, 0.8]","[0.0, 0.2]","[0.8, 0.3]","[0.3, 0.4]",0.60,0.50,2.67,3.51,3.91,22.80,6.50,39.39
13,"[0.0, 0.6]","[0.2, 0.7]","[0.0, 0.2]","[0.3, 0.6]","[0.3, 0.4]",0.54,0.50,37.50,-6.75,9.35,52.72,-36.37,56.45
14,"[0.0, 0.6]","[0.5, 0.1]","[0.3, 0.2]","[0.2, 0.2]","[0.5, 0.2]",0.48,0.48,41.21,20.03,-1.38,4.13,-47.29,16.69
15,"[0.0, 0.6]","[0.3, 0.1]","[0.0, 0.2]","[0.3, 0.6]","[0.9, 0.0]",0.40,0.40,39.40,-24.66,48.59,56.79,39.99,160.11
16,"[0.9, 0.5]","[0.3, 0.8]","[0.0, 0.2]","[0.8, 0.5]","[0.9, 0.0]",0.30,0.30,48.02,13.29,3.59,16.75,-0.18,81.47
17,"[0.0, 0.6]","[0.3, 0.8]","[0.0, 0.9]","[0.3, 0.6]","[0.9, 0.0]",0.18,0.18,37.04,-2.02,49.35,-37.92,35.61,82.06
18,"[0.0, 0.6]","[0.3, 0.8]","[0.0, 0.2]","[0.3, 0.6]","[0.9, 0.0]",0.01,0.01,41.41,-2.09,4.47,48.89,40.44,133.11
19,"[0.0, 0.6]","[0.3, 0.8]","[0.0, 0.2]","[0.3, 0.6]","[0.9, 0.0]",0.01,0.01,41.16,-1.98,3.42,50.62,39.74,132.96
