,action1,action2,action3,action4,action5,epsilon,lr,reward1,reward2,reward3,reward4,reward5,total_reward
0,"[0.6, 0.7]","[0.4, 0.8]","[0.3, 0.2]","[0.0, 0.8]","[0.8, 0.8]",1.00,0.50,14.07,-4.37,-3.97,39.54,23.85,69.12
1,"[0.8, 0.3]","[0.0, 0.5]","[0.5, 0.3]","[0.9, 0.2]","[0.2, 0.3]",0.98,0.50,24.71,12.44,25.41,-8.50,15.83,69.88
2,"[0.2, 0.3]","[0.6, 0.6]","[0.3, 0.5]","[0.1, 0.9]","[0.3, 0.7]",0.95,0.50,-1.53,-0.23,11.35,13.85,-36.23,-12.77
3,"[0.5, 0.7]","[0.5, 0.1]","[0.5, 0.3]","[0.2, 0.6]","[0.5, 0.7]",0.93,0.50,7.38,-9.81,-18.27,10.10,-9.61,-20.20
4,"[0.0, 0.2]","[0.9, 0.8]","[0.3, 0.7]","[0.8, 0.3]","[0.6, 0.7]",0.90,0.50,44.06,-3.65,45.66,39.08,14.02,139.18
5,"[0.6, 0.8]","[0.3, 0.3]","[0.6, 0.6]","[0.8, 0.0]","[0.2, 0.4]",0.88,0.50,48.72,1.13,4.08,4.54,11.47,69.94
6,"[0.6, 0.8]","[0.6, 0.5]","[0.4, 0.1]","[0.9, 0.0]","[0.9, 0.6]",0.85,0.50,51.22,-37.56,-3.13,25.79,26.61,62.92
7,"[0.3, 0.7]","[0.9, 0.0]","[0.4, 0.7]","[0.4, 0.6]","[0.2, 0.2]",0.81,0.50,-33.81,40.52,52.62,-59.70,3.13,2.76
8,"[0.6, 0.8]","[0.2, 0.4]","[0.0, 0.8]","[0.8, 0.3]","[0.9, 0.9]",0.78,0.50,54.32,9.33,23.41,46.66,17.07,150.79
9,"[0.0, 0.9]","[0.9, 0.0]","[0.4, 0.5]","[0.2, 0.9]","[0.7, 0.2]",0.74,0.50,83.36,73.85,18.93,10.98,32.42,219.53
10,"[0.0, 0.3]","[0.9, 0.0]","[0.4, 0.1]","[0.1, 0.5]","[0.9, 0.5]",0.70,0.50,12.43,74.03,26.27,13.37,25.12,151.22
11,"[0.6, 0.8]","[0.9, 0.8]","[0.9, 0.0]","[0.8, 0.3]","[0.5, 0.3]",0.65,0.50,53.56,-91.11,-0.14,4.38,13.75,-19.57
12,"[0.7, 0.9]","[0.1, 0.0]","[0.4, 0.1]","[0.0, 0.3]","[0.2, 0.2]",0.60,0.50,8.45,-0.03,-57.08,10.90,-31.11,-68.88
13,"[0.3, 0.2]","[0.9, 0.0]","[0.4, 0.7]","[0.8, 0.3]","[0.1, 0.2]",0.54,0.50,-84.06,40.52,55.73,12.23,47.41,71.83
14,"[0.5, 0.2]","[0.2, 0.6]","[0.1, 0.4]","[0.0, 0.5]","[0.2, 0.7]",0.48,0.48,16.54,13.82,35.36,8.96,1.31,75.99
15,"[0.9, 0.0]","[0.4, 0.0]","[0.4, 0.7]","[0.8, 0.3]","[0.2, 0.8]",0.40,0.40,84.99,-0.11,-6.45,11.66,27.37,117.47
16,"[0.6, 0.8]","[0.9, 0.0]","[0.4, 0.7]","[0.1, 0.5]","[0.1, 0.2]",0.30,0.30,50.86,8.76,55.48,42.56,13.54,171.19
17,"[0.6, 0.8]","[0.9, 0.0]","[0.4, 0.7]","[0.8, 0.3]","[0.1, 0.2]",0.18,0.18,55.00,8.30,49.62,13.41,43.50,169.84
18,"[0.6, 0.8]","[0.9, 0.0]","[0.4, 0.7]","[0.8, 0.3]","[0.1, 0.2]",0.01,0.01,55.04,8.13,57.03,14.29,47.95,182.45
19,"[0.6, 0.8]","[0.9, 0.0]","[0.4, 0.7]","[0.8, 0.3]","[0.1, 0.2]",0.01,0.01,50.80,8.44,51.95,13.77,52.98,177.94
