,action1,action2,action3,action4,action5,epsilon,lr,reward1,reward2,reward3,reward4,reward5,total_reward
0,"[0.3, 0.6]","[0.3, 0.3]","[0.1, 0.8]","[0.0, 0.3]","[0.2, 0.7]",1.00,0.50,22.27,-32.95,24.17,9.23,13.32,36.04
1,"[0.0, 0.4]","[0.5, 0.1]","[0.7, 0.0]","[0.7, 0.5]","[0.6, 0.8]",0.98,0.50,18.28,17.83,7.06,15.52,4.92,63.60
2,"[0.1, 0.6]","[0.8, 0.0]","[0.6, 0.1]","[0.7, 0.5]","[0.6, 0.2]",0.95,0.50,26.97,54.81,6.20,45.00,-12.42,120.55
3,"[0.7, 0.9]","[0.2, 0.8]","[0.2, 0.0]","[0.4, 0.6]","[0.2, 0.5]",0.93,0.50,9.06,13.51,-0.24,16.88,11.71,50.92
4,"[0.1, 0.2]","[0.1, 0.6]","[0.2, 0.1]","[0.3, 0.2]","[0.9, 0.7]",0.90,0.50,20.95,12.82,-4.04,-59.51,-0.67,-30.45
5,"[0.1, 0.6]","[0.8, 0.8]","[0.5, 0.7]","[0.0, 0.8]","[0.2, 0.7]",0.88,0.50,26.29,14.39,21.64,17.39,-28.51,51.20
6,"[0.8, 0.1]","[0.0, 0.2]","[0.5, 0.0]","[0.0, 0.5]","[0.2, 0.6]",0.85,0.50,37.60,51.63,22.14,22.76,-4.27,129.85
7,"[0.8, 0.1]","[0.7, 0.4]","[0.5, 0.0]","[0.9, 0.6]","[0.0, 0.4]",0.81,0.50,38.08,2.76,-0.27,0.58,55.72,96.87
8,"[0.8, 0.4]","[0.0, 0.6]","[0.7, 0.0]","[0.7, 0.5]","[0.4, 0.1]",0.78,0.50,18.55,11.88,44.60,14.74,0.05,89.83
9,"[0.8, 0.1]","[0.0, 0.2]","[0.4, 0.5]","[0.1, 0.0]","[0.4, 0.7]",0.74,0.50,43.95,52.56,8.29,-0.30,-30.01,74.50
10,"[0.9, 0.8]","[0.4, 0.2]","[0.7, 0.0]","[0.2, 0.6]","[0.5, 0.7]",0.70,0.50,-91.34,3.28,13.04,26.61,-10.40,-58.82
11,"[0.7, 0.4]","[0.0, 0.2]","[0.7, 0.9]","[0.7, 0.5]","[0.0, 0.4]",0.65,0.50,10.00,41.49,16.35,-9.27,37.01,95.59
12,"[0.6, 0.1]","[0.0, 0.2]","[0.7, 0.0]","[0.9, 0.1]","[0.3, 0.5]",0.60,0.50,53.35,51.45,44.05,-63.44,15.69,101.10
13,"[0.5, 0.1]","[0.8, 0.4]","[0.7, 0.0]","[0.1, 0.7]","[0.0, 0.2]",0.54,0.50,22.51,3.22,-0.33,59.50,8.50,93.40
14,"[0.8, 0.1]","[0.0, 0.2]","[0.7, 0.0]","[0.2, 0.8]","[0.0, 0.4]",0.48,0.48,45.51,47.90,47.18,93.83,17.36,251.77
15,"[0.9, 0.7]","[0.0, 0.2]","[0.7, 0.0]","[0.9, 0.5]","[0.0, 0.4]",0.40,0.40,-39.02,7.56,51.43,41.56,39.75,101.28
16,"[0.8, 0.0]","[0.7, 0.2]","[0.7, 0.0]","[0.2, 0.8]","[0.0, 0.4]",0.30,0.30,64.76,2.42,0.22,98.45,17.03,182.89
17,"[0.9, 0.1]","[0.1, 0.6]","[0.7, 0.0]","[0.2, 0.8]","[0.4, 0.4]",0.18,0.18,4.37,27.18,40.80,100.28,-51.80,120.82
18,"[0.8, 0.1]","[0.0, 0.2]","[0.7, 0.0]","[0.2, 0.8]","[0.0, 0.4]",0.01,0.01,38.21,47.54,44.32,99.01,16.38,245.47
19,"[0.8, 0.1]","[0.0, 0.2]","[0.7, 0.0]","[0.2, 0.8]","[0.0, 0.4]",0.01,0.01,45.39,47.85,50.88,88.85,17.85,250.82
