,action1,action2,action3,action4,action5,epsilon,lr,reward1,reward2,reward3,reward4,reward5,total_reward
0,"[0.5, 0.1]","[0.8, 0.3]","[0.6, 0.4]","[0.9, 0.7]","[0.5, 0.0]",1.00,0.50,21.96,-12.11,1.57,30.29,0.03,41.74
1,"[0.4, 0.5]","[0.0, 0.5]","[0.7, 0.9]","[0.8, 0.4]","[0.8, 0.4]",0.98,0.50,15.43,14.10,5.94,-11.97,-4.69,18.81
2,"[0.0, 0.1]","[0.6, 0.1]","[0.4, 0.5]","[0.6, 0.6]","[0.3, 0.2]",0.95,0.50,29.18,44.88,8.61,-10.85,3.01,74.83
3,"[0.2, 0.6]","[0.9, 0.0]","[0.9, 0.8]","[0.6, 0.3]","[0.1, 0.3]",0.93,0.50,18.15,49.27,75.20,6.90,26.10,175.62
4,"[0.6, 0.1]","[0.2, 0.3]","[0.4, 0.4]","[0.5, 0.4]","[0.9, 0.9]",0.90,0.50,57.27,6.42,-27.64,-52.45,1.40,-15.00
5,"[0.9, 0.2]","[0.9, 0.5]","[0.1, 0.9]","[0.0, 0.0]","[0.1, 0.3]",0.88,0.50,-20.39,7.84,17.98,0.26,2.94,8.62
6,"[0.9, 0.0]","[0.9, 0.0]","[0.9, 0.1]","[0.8, 0.0]","[0.9, 0.7]",0.85,0.50,82.68,-0.37,15.33,-0.32,18.24,115.56
7,"[0.8, 0.2]","[0.4, 0.9]","[0.6, 0.3]","[0.9, 0.7]","[0.3, 0.8]",0.81,0.50,28.45,49.41,-7.79,32.31,17.69,120.07
8,"[0.9, 0.0]","[0.2, 0.3]","[0.4, 0.1]","[0.0, 0.8]","[0.9, 0.7]",0.78,0.50,71.79,8.60,-42.48,68.69,-28.88,77.72
9,"[0.0, 0.6]","[0.1, 0.3]","[0.9, 0.8]","[0.0, 0.8]","[0.4, 0.5]",0.74,0.50,36.45,18.08,6.59,58.40,-27.31,92.21
10,"[0.3, 0.3]","[0.4, 0.9]","[0.9, 0.8]","[0.0, 0.8]","[0.3, 0.8]",0.70,0.50,-11.02,5.96,29.03,54.59,-106.55,-27.99
11,"[0.1, 0.1]","[0.7, 0.8]","[0.3, 0.7]","[0.2, 0.0]","[0.7, 0.3]",0.65,0.50,15.22,23.64,27.80,-0.15,7.61,74.12
12,"[0.8, 0.2]","[0.5, 0.6]","[0.4, 0.5]","[0.4, 0.9]","[0.5, 0.4]",0.60,0.50,26.70,15.06,-24.51,22.07,-22.83,16.48
13,"[0.1, 0.2]","[0.8, 0.2]","[0.8, 0.5]","[0.8, 0.6]","[0.1, 0.3]",0.54,0.50,19.56,58.19,5.54,-1.30,34.83,116.83
14,"[0.9, 0.0]","[0.6, 0.1]","[0.5, 0.5]","[0.9, 0.8]","[0.1, 0.3]",0.48,0.48,82.94,19.87,10.36,0.55,9.30,123.02
15,"[0.9, 0.0]","[0.8, 0.2]","[0.4, 0.8]","[0.3, 0.7]","[0.5, 0.5]",0.40,0.40,72.67,27.03,32.63,-17.42,-100.27,14.63
16,"[0.3, 0.0]","[0.9, 0.9]","[0.8, 0.3]","[0.2, 0.6]","[0.1, 0.3]",0.30,0.30,6.56,10.63,0.63,14.31,27.18,59.31
17,"[0.9, 0.0]","[0.8, 0.2]","[0.9, 0.8]","[0.0, 0.8]","[0.1, 0.3]",0.18,0.18,82.96,21.75,18.29,48.55,3.53,175.07
18,"[0.9, 0.0]","[0.8, 0.2]","[0.9, 0.8]","[0.0, 0.8]","[0.1, 0.3]",0.01,0.01,76.20,21.75,18.32,53.64,3.12,173.02
19,"[0.9, 0.0]","[0.8, 0.2]","[0.9, 0.8]","[0.6, 0.6]","[0.1, 0.3]",0.01,0.01,77.88,25.27,17.39,34.42,33.41,188.36
