,action1,action2,action3,action4,action5,epsilon,lr,reward1,reward2,reward3,reward4,reward5,total_reward
0,"[0.8, 0.2]","[0.4, 0.5]","[0.0, 0.9]","[0.2, 0.1]","[0.7, 0.8]",1.00,0.50,28.51,8.11,19.61,-1.15,18.27,73.34
1,"[0.7, 0.1]","[0.3, 0.4]","[0.2, 0.6]","[0.8, 0.2]","[0.0, 0.7]",0.98,0.50,57.94,6.56,3.24,45.83,33.26,146.83
2,"[0.6, 0.9]","[0.5, 0.9]","[0.1, 0.5]","[0.3, 0.5]","[0.8, 0.9]",0.95,0.50,15.71,-18.33,5.24,-34.78,0.02,-32.14
3,"[0.2, 0.4]","[0.0, 0.7]","[0.7, 0.1]","[0.4, 0.4]","[0.6, 0.1]",0.93,0.50,9.96,15.79,47.22,4.21,-24.97,52.21
4,"[0.3, 0.4]","[0.8, 0.6]","[0.4, 0.6]","[0.5, 0.0]","[0.7, 0.1]",0.90,0.50,39.70,2.78,9.94,4.05,-55.74,0.72
5,"[0.3, 0.5]","[0.9, 0.5]","[0.3, 0.4]","[0.9, 0.0]","[0.7, 0.0]",0.88,0.50,51.69,26.30,37.14,41.57,-0.12,156.59
6,"[0.7, 0.1]","[0.7, 0.0]","[0.7, 0.1]","[0.8, 0.2]","[0.2, 0.2]",0.85,0.50,58.79,0.29,-23.39,-61.85,48.16,21.99
7,"[0.5, 0.9]","[0.6, 0.7]","[0.5, 0.0]","[0.5, 0.7]","[0.0, 0.9]",0.81,0.50,15.88,-49.21,-0.07,-12.32,12.32,-33.40
8,"[0.2, 0.3]","[0.3, 0.7]","[0.3, 0.4]","[0.0, 0.5]","[0.0, 0.5]",0.78,0.50,-1.46,23.15,-31.98,9.45,15.05,14.20
9,"[0.5, 0.4]","[0.2, 0.4]","[0.5, 0.2]","[0.0, 0.5]","[0.3, 0.2]",0.74,0.50,2.31,7.20,-35.35,15.31,-67.01,-77.53
10,"[0.5, 0.7]","[0.6, 0.0]","[0.5, 0.0]","[0.7, 0.4]","[0.5, 0.2]",0.70,0.50,7.89,4.13,0.30,31.16,-1.95,41.54
11,"[0.9, 0.5]","[0.1, 0.4]","[0.8, 0.0]","[0.1, 0.7]","[0.7, 0.4]",0.65,0.50,54.94,35.90,47.63,53.78,59.43,251.67
12,"[0.6, 0.5]","[0.1, 0.4]","[0.4, 0.3]","[0.9, 0.8]","[0.8, 0.6]",0.60,0.50,3.19,36.31,-84.25,-1.20,25.36,-20.59
13,"[0.7, 0.1]","[0.5, 0.5]","[0.8, 0.0]","[0.1, 0.7]","[0.7, 0.4]",0.54,0.50,61.45,9.73,10.83,58.43,62.03,202.47
14,"[0.7, 0.1]","[0.1, 0.4]","[0.8, 0.0]","[0.1, 0.7]","[0.7, 0.4]",0.48,0.48,58.45,9.55,55.65,58.20,64.81,246.65
15,"[0.3, 0.9]","[0.0, 0.6]","[0.8, 0.0]","[0.1, 0.7]","[0.6, 0.9]",0.40,0.40,7.43,7.95,57.34,64.02,8.09,144.83
16,"[0.7, 0.1]","[0.2, 0.5]","[0.8, 0.0]","[0.1, 0.7]","[0.3, 0.7]",0.30,0.30,58.88,13.32,38.69,62.07,-58.39,114.56
17,"[0.7, 0.1]","[0.1, 0.4]","[0.8, 0.0]","[0.1, 0.7]","[0.7, 0.4]",0.18,0.18,54.34,9.90,47.69,61.67,65.34,238.94
18,"[0.7, 0.1]","[0.1, 0.4]","[0.8, 0.0]","[0.1, 0.7]","[0.7, 0.4]",0.01,0.01,53.27,10.93,51.32,53.56,60.09,229.17
19,"[0.7, 0.1]","[0.1, 0.4]","[0.8, 0.0]","[0.1, 0.7]","[0.7, 0.4]",0.01,0.01,52.34,8.68,55.88,54.75,70.81,242.47
