,action1,action2,action3,action4,action5,epsilon,lr,reward1,reward2,reward3,reward4,reward5,total_reward
0,"[0.0, 0.6]","[0.3, 0.8]","[0.1, 0.0]","[0.1, 0.8]","[0.8, 0.6]",1.00,0.50,38.56,-2.01,0.02,85.47,56.19,178.22
1,"[0.2, 0.3]","[0.1, 0.0]","[0.0, 0.0]","[0.6, 0.1]","[0.1, 0.1]",1.00,0.50,-1.50,-0.14,-0.13,49.01,18.07,65.31
2,"[0.3, 0.1]","[0.2, 0.8]","[0.0, 0.0]","[0.2, 0.1]","[0.8, 0.6]",0.82,0.50,-71.31,31.54,0.25,-21.21,0.03,-60.70
3,"[0.0, 0.6]","[0.0, 0.5]","[0.8, 0.7]","[0.5, 0.2]","[0.7, 0.5]",0.70,0.50,35.28,36.90,19.33,2.93,26.63,121.06
4,"[0.0, 0.6]","[0.8, 0.2]","[0.0, 0.0]","[0.1, 0.8]","[0.9, 0.0]",0.60,0.50,35.48,46.51,0.23,75.29,66.03,223.54
5,"[0.0, 0.6]","[0.8, 0.2]","[0.0, 0.0]","[0.2, 0.8]","[0.6, 0.0]",0.52,0.50,38.28,40.73,0.24,3.55,19.00,101.80
6,"[0.2, 0.7]","[0.1, 0.8]","[0.0, 0.0]","[0.1, 0.8]","[0.9, 0.0]",0.46,0.46,12.82,10.90,-0.07,68.72,61.51,153.89
7,"[0.0, 0.6]","[0.8, 0.2]","[0.0, 0.0]","[0.1, 0.8]","[0.9, 0.0]",0.40,0.40,38.45,39.07,-0.14,69.79,63.12,210.29
8,"[0.0, 0.6]","[0.8, 0.2]","[0.4, 0.7]","[0.1, 0.8]","[0.9, 0.0]",0.35,0.35,38.23,48.29,22.88,13.59,65.89,188.88
9,"[0.6, 0.1]","[0.8, 0.2]","[0.0, 0.0]","[0.1, 0.8]","[0.9, 0.0]",0.30,0.30,51.69,-103.90,-0.09,78.25,68.27,94.23
10,"[0.9, 0.5]","[0.5, 0.8]","[0.0, 0.0]","[0.3, 0.5]","[0.9, 0.0]",0.26,0.26,54.11,12.20,0.01,51.48,38.64,156.44
11,"[0.0, 0.6]","[0.8, 0.2]","[0.0, 0.0]","[0.1, 0.8]","[0.9, 0.0]",0.22,0.22,38.67,40.02,0.21,74.82,56.07,209.78
12,"[0.0, 0.6]","[0.8, 0.2]","[0.0, 0.7]","[0.1, 0.8]","[0.9, 0.0]",0.19,0.19,40.17,46.16,31.29,7.70,60.62,185.94
13,"[0.0, 0.6]","[0.8, 0.2]","[0.0, 0.0]","[0.1, 0.8]","[0.9, 0.0]",0.15,0.15,39.02,42.76,-0.12,72.13,57.01,210.80
14,"[0.0, 0.6]","[0.8, 0.2]","[0.0, 0.0]","[0.1, 0.8]","[0.3, 0.8]",0.12,0.12,38.68,43.85,-0.23,78.89,-88.56,72.63
15,"[0.0, 0.6]","[0.8, 0.2]","[0.0, 0.0]","[0.1, 0.8]","[0.9, 0.3]",0.10,0.10,39.20,40.08,0.23,68.35,47.72,195.58
16,"[0.0, 0.6]","[0.8, 0.2]","[0.0, 0.0]","[0.1, 0.8]","[0.9, 0.0]",0.07,0.07,38.88,44.79,-0.18,65.77,63.90,213.16
17,"[0.0, 0.6]","[0.8, 0.2]","[0.0, 0.0]","[0.1, 0.8]","[0.9, 0.0]",0.05,0.05,37.84,41.66,-0.11,69.29,62.98,211.66
18,"[0.0, 0.6]","[0.8, 0.2]","[0.0, 0.0]","[0.1, 0.8]","[0.9, 0.0]",0.02,0.02,37.40,46.60,0.15,73.42,58.50,216.07
19,"[0.0, 0.6]","[0.8, 0.2]","[0.0, 0.0]","[0.1, 0.8]","[0.9, 0.0]",0.01,0.01,39.73,44.03,0.00,76.66,58.52,218.94
