,action1,action2,action3,action4,action5,epsilon,lr,reward1,reward2,reward3,reward4,reward5,total_reward
0,"[0.2, 0.5]","[0.9, 0.7]","[0.0, 0.7]","[0.6, 0.2]","[0.5, 0.0]",1.00,0.50,15.16,11.14,33.26,36.77,0.33,96.66
1,"[0.5, 0.7]","[0.5, 0.8]","[0.5, 0.7]","[0.8, 0.8]","[0.2, 0.1]",1.00,0.50,7.56,-30.89,-72.01,-20.14,1.19,-114.29
2,"[0.7, 0.0]","[0.9, 0.7]","[0.8, 0.5]","[0.6, 0.2]","[0.4, 0.6]",0.82,0.50,48.02,-22.15,35.40,6.13,10.90,78.30
3,"[0.8, 0.8]","[0.0, 0.6]","[0.8, 0.5]","[0.6, 0.3]","[0.9, 0.9]",0.70,0.50,-10.37,41.16,22.14,13.91,1.37,68.20
4,"[0.7, 0.0]","[0.6, 0.9]","[0.9, 0.3]","[0.1, 0.9]","[0.4, 0.6]",0.60,0.50,47.30,49.23,-7.06,35.06,-24.45,100.08
5,"[0.2, 0.1]","[0.6, 0.9]","[0.2, 0.5]","[0.5, 0.6]","[0.3, 0.0]",0.52,0.50,-17.96,11.19,3.44,-6.48,-0.30,-10.12
6,"[0.7, 0.0]","[0.6, 0.9]","[0.8, 0.5]","[0.7, 0.6]","[0.9, 0.9]",0.46,0.46,54.60,46.93,-28.12,0.29,11.88,85.58
7,"[0.3, 0.8]","[0.0, 0.7]","[0.0, 0.7]","[0.1, 0.9]","[0.9, 0.9]",0.40,0.40,-79.45,54.04,34.00,3.64,39.97,52.20
8,"[0.7, 0.3]","[0.3, 0.8]","[0.0, 0.7]","[0.1, 0.9]","[0.9, 0.9]",0.35,0.35,19.43,22.34,50.46,3.88,39.81,135.92
9,"[0.7, 0.0]","[0.6, 0.9]","[0.0, 0.7]","[0.1, 0.9]","[0.9, 0.9]",0.30,0.30,48.62,42.19,13.15,4.16,36.99,145.10
10,"[0.7, 0.0]","[0.6, 0.9]","[0.0, 0.7]","[0.7, 0.1]","[0.9, 0.9]",0.26,0.26,47.51,47.29,12.80,42.45,-51.59,98.45
11,"[0.7, 0.0]","[0.6, 0.9]","[0.7, 0.4]","[0.1, 0.9]","[0.5, 0.7]",0.22,0.22,52.36,50.23,-20.04,25.48,5.37,113.39
12,"[0.7, 0.0]","[0.6, 0.9]","[0.0, 0.7]","[0.1, 0.9]","[0.9, 0.9]",0.19,0.19,55.15,48.66,10.94,4.20,39.26,158.21
13,"[0.7, 0.0]","[0.5, 0.9]","[0.2, 0.0]","[0.1, 0.9]","[0.9, 0.9]",0.15,0.15,48.77,58.15,-0.21,71.67,36.72,215.09
14,"[0.7, 0.0]","[0.6, 0.9]","[0.0, 0.7]","[0.1, 0.9]","[0.9, 0.9]",0.12,0.12,47.04,48.64,13.00,4.36,39.66,152.70
15,"[0.7, 0.0]","[0.6, 0.9]","[0.0, 0.7]","[0.1, 0.9]","[0.9, 0.9]",0.10,0.10,53.43,48.56,13.26,4.20,39.68,159.12
16,"[0.7, 0.0]","[0.6, 0.9]","[0.0, 0.7]","[0.1, 0.9]","[0.9, 0.9]",0.07,0.07,47.80,44.41,11.23,3.91,37.46,144.81
17,"[0.7, 0.0]","[0.6, 0.9]","[0.0, 0.7]","[0.1, 0.9]","[0.9, 0.9]",0.05,0.05,53.69,45.29,12.37,4.15,42.75,158.24
18,"[0.7, 0.0]","[0.6, 0.9]","[0.0, 0.7]","[0.1, 0.9]","[0.9, 0.9]",0.02,0.02,49.93,49.81,11.58,4.00,37.05,152.37
19,"[0.7, 0.0]","[0.6, 0.9]","[0.0, 0.7]","[0.1, 0.9]","[0.9, 0.9]",0.01,0.01,51.93,45.02,12.11,4.28,37.25,150.59
