,action1,action2,action3,action4,action5,epsilon,lr,reward1,reward2,reward3,reward4,reward5,total_reward
0,"[0.5, 0.1]","[0.1, 0.4]","[0.0, 0.3]","[0.1, 0.3]","[0.4, 0.7]",1.00,0.50,22.56,9.54,50.41,14.29,36.10,132.89
1,"[0.4, 0.6]","[0.2, 0.8]","[0.5, 0.2]","[0.1, 0.9]","[0.5, 0.0]",1.00,0.50,6.81,2.18,-0.23,61.04,16.80,86.61
2,"[0.5, 0.1]","[0.1, 0.7]","[0.1, 0.2]","[0.1, 0.9]","[0.8, 0.3]",0.82,0.50,22.96,31.20,3.63,53.15,50.24,161.18
3,"[0.5, 0.1]","[0.1, 0.7]","[0.6, 0.6]","[0.0, 0.1]","[0.8, 0.1]",0.70,0.50,23.27,30.91,40.30,4.26,45.11,143.84
4,"[0.5, 0.1]","[0.3, 0.3]","[0.6, 0.6]","[0.9, 0.7]","[0.6, 0.0]",0.60,0.50,22.96,-1.79,4.97,-20.34,-0.18,5.61
5,"[0.5, 0.1]","[0.1, 0.7]","[0.9, 0.1]","[0.1, 0.9]","[0.4, 0.7]",0.52,0.50,21.19,32.31,51.31,110.61,-28.86,186.57
6,"[0.5, 0.1]","[0.1, 0.7]","[0.9, 0.3]","[0.1, 0.9]","[0.8, 0.3]",0.46,0.46,21.66,29.78,39.29,39.76,48.65,179.13
7,"[0.5, 0.1]","[0.1, 0.7]","[0.9, 0.3]","[0.7, 0.8]","[0.8, 0.3]",0.40,0.40,22.34,30.33,36.81,21.26,-18.29,92.45
8,"[0.5, 0.1]","[0.1, 0.4]","[0.9, 0.3]","[0.1, 0.9]","[0.8, 0.1]",0.35,0.35,21.60,9.00,18.23,39.85,53.09,141.77
9,"[0.6, 0.8]","[0.2, 0.6]","[0.9, 0.3]","[0.1, 0.9]","[0.8, 0.1]",0.30,0.30,58.24,22.87,53.04,41.09,47.70,222.93
10,"[0.5, 0.1]","[0.1, 0.7]","[0.0, 0.4]","[0.1, 0.9]","[0.8, 0.1]",0.26,0.26,23.93,30.13,38.38,17.49,44.52,154.44
11,"[0.5, 0.1]","[0.1, 0.6]","[0.9, 0.3]","[0.9, 0.0]","[0.8, 0.1]",0.22,0.22,21.47,23.59,31.56,-0.41,16.24,92.44
12,"[0.5, 0.1]","[0.1, 0.7]","[0.8, 0.6]","[0.4, 0.9]","[0.3, 0.7]",0.19,0.19,21.41,29.79,51.00,5.99,-7.80,100.40
13,"[0.5, 0.1]","[0.3, 0.5]","[0.9, 0.3]","[0.1, 0.9]","[0.8, 0.1]",0.15,0.15,22.58,9.33,69.96,35.45,48.62,185.95
14,"[0.5, 0.1]","[0.1, 0.7]","[0.9, 0.3]","[0.1, 0.9]","[0.1, 0.8]",0.12,0.12,21.55,33.23,38.63,38.35,9.30,141.06
15,"[0.5, 0.1]","[0.1, 0.7]","[0.2, 0.0]","[0.1, 0.9]","[0.8, 0.1]",0.10,0.10,21.81,33.75,-0.06,74.63,46.67,176.80
16,"[0.1, 0.4]","[0.1, 0.7]","[0.9, 0.3]","[0.1, 0.9]","[0.8, 0.1]",0.07,0.07,10.32,10.75,38.51,41.21,46.20,147.00
17,"[0.5, 0.1]","[0.4, 0.6]","[0.9, 0.3]","[0.1, 0.9]","[0.8, 0.1]",0.05,0.05,21.47,13.61,42.46,36.88,47.71,162.13
18,"[0.5, 0.1]","[0.1, 0.7]","[0.9, 0.3]","[0.1, 0.9]","[0.8, 0.1]",0.02,0.02,22.66,34.64,41.46,37.72,46.74,183.21
19,"[0.5, 0.1]","[0.2, 0.4]","[0.9, 0.3]","[0.1, 0.9]","[0.8, 0.1]",0.01,0.01,20.76,5.11,55.15,39.98,46.13,167.12
