,action1,action2,action3,action4,action5,reward1,reward2,reward3,reward4,reward5,total_reward
0,"[0.9, 0.7]","[0.9, 0.0]","[0.5, 0.0]","[0.8, 0.1]","[0.3, 0.3]",-32.25,-0.26,0.18,-27.29,6.91,-52.72
1,"[0.2, 0.6]","[0.1, 0.1]","[0.7, 0.0]","[0.7, 0.8]","[0.0, 0.7]",18.11,1.56,36.18,-3.86,54.20,106.19
2,"[0.4, 0.2]","[0.5, 0.2]","[0.0, 0.6]","[0.8, 0.4]","[0.6, 0.2]",-35.81,-100.51,23.06,25.79,11.92,-75.55
3,"[0.8, 0.2]","[0.2, 0.7]","[0.4, 0.5]","[0.9, 0.9]","[0.2, 0.1]",28.29,27.77,-98.43,-0.11,0.30,-42.18
4,"[0.2, 0.7]","[0.0, 0.9]","[0.9, 0.0]","[0.4, 0.5]","[0.0, 0.7]",14.96,11.16,79.65,18.35,12.04,136.16
5,"[0.2, 0.7]","[0.2, 0.3]","[0.6, 0.1]","[0.9, 0.7]","[0.4, 0.2]",14.21,-5.08,15.08,1.07,8.22,33.51
6,"[0.2, 0.8]","[0.2, 0.3]","[0.9, 0.0]","[0.8, 0.4]","[0.0, 0.7]",7.24,-3.77,55.57,8.72,15.12,82.88
7,"[0.1, 0.8]","[0.3, 0.3]","[0.8, 0.0]","[0.8, 0.4]","[0.0, 0.7]",72.68,-31.96,32.48,5.94,18.72,97.87
8,"[0.1, 0.8]","[0.2, 0.3]","[0.9, 0.0]","[0.3, 0.8]","[0.1, 0.1]",72.40,-6.32,48.33,96.66,0.42,211.49
9,"[0.1, 0.8]","[0.3, 0.9]","[0.9, 0.0]","[0.3, 0.8]","[0.5, 0.3]",77.21,-87.64,39.00,104.03,-27.93,104.68
10,"[0.5, 0.4]","[0.2, 0.3]","[0.9, 0.0]","[0.0, 0.8]","[0.0, 0.7]",2.31,25.13,53.50,105.40,50.67,237.02
11,"[0.1, 0.8]","[0.2, 0.3]","[0.9, 0.0]","[0.3, 0.8]","[0.0, 0.7]",71.21,-6.44,50.02,110.15,53.39,278.32
12,"[0.1, 0.8]","[0.2, 0.3]","[0.9, 0.0]","[0.3, 0.8]","[0.0, 0.7]",75.88,-6.52,55.44,98.12,44.72,267.64
13,"[0.8, 0.6]","[0.2, 0.3]","[0.9, 0.0]","[0.3, 0.8]","[0.0, 0.7]",4.58,36.72,48.03,96.06,47.43,232.82
14,"[0.1, 0.8]","[0.2, 0.3]","[0.9, 0.0]","[0.3, 0.8]","[0.0, 0.7]",79.68,-6.17,50.51,108.63,52.35,285.00
15,"[0.1, 0.8]","[0.2, 0.3]","[0.9, 0.0]","[0.3, 0.8]","[0.0, 0.7]",82.52,-6.18,48.11,101.12,51.69,277.26
16,"[0.4, 0.1]","[0.2, 0.3]","[0.9, 0.0]","[0.3, 0.8]","[0.0, 0.7]",-24.33,1.96,53.49,105.76,48.14,185.02
17,"[0.1, 0.8]","[0.2, 0.3]","[0.6, 0.8]","[0.3, 0.8]","[0.0, 0.7]",76.65,-6.71,-0.60,15.29,53.06,137.68
18,"[0.1, 0.8]","[0.2, 0.3]","[0.9, 0.0]","[0.3, 0.8]","[0.0, 0.7]",74.17,-6.22,55.26,100.60,53.44,277.25
19,"[0.1, 0.8]","[0.2, 0.3]","[0.9, 0.0]","[0.3, 0.8]","[0.0, 0.7]",82.67,-6.25,55.50,101.70,54.29,287.91
