,action1,action2,action3,action4,action5,reward1,reward2,reward3,reward4,reward5,total_reward
0,"[0.8, 0.3]","[0.6, 0.2]","[0.6, 0.4]","[0.1, 0.8]","[0.4, 0.9]",22.90,13.97,-2.67,19.51,-84.63,-30.92
1,"[0.0, 0.1]","[0.3, 0.8]","[0.6, 0.6]","[0.5, 0.5]","[0.5, 0.0]",29.78,-50.34,-23.87,-25.72,1.20,-68.95
2,"[0.7, 0.2]","[0.8, 0.1]","[0.1, 0.5]","[0.6, 0.3]","[0.1, 0.6]",55.12,-28.91,18.86,41.81,14.53,101.41
3,"[0.7, 0.2]","[0.5, 0.2]","[0.4, 0.3]","[0.6, 0.3]","[0.1, 0.6]",54.61,-1.36,-13.35,-57.04,12.90,-4.24
4,"[0.1, 0.8]","[0.3, 0.5]","[0.6, 0.9]","[0.1, 0.7]","[0.2, 0.5]",68.87,-62.00,5.33,9.17,-20.08,1.29
5,"[0.7, 0.2]","[0.6, 0.4]","[0.3, 0.7]","[0.8, 0.6]","[0.0, 0.7]",55.65,-0.93,8.71,49.38,10.90,123.70
6,"[0.9, 0.2]","[0.6, 0.2]","[0.9, 0.5]","[0.8, 0.6]","[0.1, 0.2]",-23.04,45.61,25.57,4.20,16.14,68.48
7,"[0.5, 0.0]","[0.6, 0.2]","[0.9, 0.5]","[0.8, 0.6]","[0.1, 0.6]",27.89,-82.10,22.64,4.67,18.45,-8.44
8,"[0.4, 0.3]","[0.3, 0.6]","[0.9, 0.5]","[0.1, 0.5]","[0.1, 0.6]",-3.26,6.86,48.37,15.86,3.92,71.76
9,"[0.7, 0.2]","[0.3, 0.6]","[0.5, 0.3]","[0.8, 0.6]","[0.1, 0.6]",53.61,13.34,-77.56,10.29,19.45,19.13
10,"[0.7, 0.2]","[0.7, 0.3]","[0.9, 0.5]","[0.6, 0.4]","[0.1, 0.6]",52.50,-18.35,9.67,26.75,9.97,80.54
11,"[0.9, 0.2]","[0.3, 0.6]","[0.2, 0.0]","[0.8, 0.6]","[0.1, 0.6]",-22.46,17.98,-0.49,-0.51,18.08,12.59
12,"[0.7, 0.2]","[0.3, 0.6]","[0.9, 0.5]","[0.8, 0.6]","[0.1, 0.6]",56.90,12.69,56.97,4.07,18.81,149.44
13,"[0.7, 0.2]","[0.3, 0.6]","[0.9, 0.5]","[0.8, 0.6]","[0.5, 0.9]",57.78,12.97,53.11,4.89,5.14,133.89
14,"[0.7, 0.2]","[0.3, 0.6]","[0.9, 0.5]","[0.8, 0.6]","[0.1, 0.6]",57.95,14.07,49.82,4.90,16.87,143.60
15,"[0.7, 0.2]","[0.3, 0.6]","[0.9, 0.5]","[0.8, 0.6]","[0.1, 0.6]",48.17,14.18,52.71,3.85,19.32,138.23
16,"[0.7, 0.2]","[0.3, 0.6]","[0.9, 0.5]","[0.8, 0.6]","[0.1, 0.6]",53.65,12.76,50.57,5.15,19.59,141.72
17,"[0.7, 0.2]","[0.3, 0.6]","[0.9, 0.5]","[0.8, 0.6]","[0.1, 0.6]",48.41,15.19,49.93,3.92,18.25,135.70
18,"[0.7, 0.2]","[0.3, 0.6]","[0.9, 0.5]","[0.8, 0.6]","[0.1, 0.6]",52.30,12.67,53.88,5.08,18.85,142.77
19,"[0.7, 0.2]","[0.3, 0.6]","[0.9, 0.5]","[0.8, 0.6]","[0.1, 0.6]",48.08,14.05,54.03,4.93,18.29,139.37
