,action1,action2,action3,action4,action5,reward1,reward2,reward3,reward4,reward5,total_reward
0,"[0.8, 0.7]","[0.4, 0.1]","[0.7, 0.7]","[0.8, 0.4]","[0.1, 0.8]",-3.86,0.94,-0.03,-53.00,20.16,-35.78
1,"[0.8, 0.7]","[0.2, 0.8]","[0.8, 0.4]","[0.7, 0.0]","[0.6, 0.8]",-3.58,14.43,48.47,-0.39,20.53,79.46
2,"[0.2, 0.2]","[0.2, 0.8]","[0.8, 0.4]","[0.7, 0.6]","[0.6, 0.8]",-24.96,21.59,46.88,2.89,-1.20,45.21
3,"[0.4, 0.1]","[0.2, 0.8]","[0.8, 0.4]","[0.7, 0.6]","[0.1, 0.8]",-23.79,44.01,47.38,3.61,7.41,78.63
4,"[0.8, 0.1]","[0.2, 0.2]","[0.8, 0.4]","[0.7, 0.6]","[0.7, 0.8]",42.58,44.11,8.79,3.34,-2.22,96.60
5,"[0.1, 0.8]","[0.2, 0.8]","[0.7, 0.5]","[0.7, 0.6]","[0.8, 0.8]",81.64,-18.18,41.56,-5.19,-2.68,97.16
6,"[0.5, 0.7]","[0.2, 0.2]","[0.5, 0.7]","[0.7, 0.6]","[0.1, 0.8]",6.99,3.20,8.22,-91.16,7.24,-65.51
7,"[0.1, 0.8]","[0.2, 0.2]","[0.6, 0.4]","[0.7, 0.0]","[0.8, 0.8]",77.20,-4.05,0.18,2.39,-27.95,47.77
8,"[0.1, 0.8]","[0.2, 0.2]","[0.8, 0.4]","[0.7, 0.5]","[0.1, 0.5]",74.76,-4.12,9.96,0.37,12.94,93.92
9,"[0.1, 0.8]","[0.2, 0.8]","[0.8, 0.4]","[0.7, 0.0]","[0.1, 0.8]",81.44,-20.49,45.21,-0.45,101.65,207.35
10,"[0.1, 0.8]","[0.2, 0.2]","[0.9, 0.5]","[0.7, 0.0]","[0.1, 0.8]",74.03,-4.03,8.67,-0.06,95.14,173.74
11,"[0.1, 0.8]","[0.5, 0.1]","[0.6, 0.9]","[0.7, 0.0]","[0.1, 0.8]",74.71,12.58,-74.87,2.53,103.20,118.14
12,"[0.1, 0.8]","[0.7, 0.2]","[0.8, 0.4]","[0.7, 0.0]","[0.1, 0.8]",76.51,41.62,-2.67,-0.14,107.50,222.81
13,"[0.6, 0.2]","[0.2, 0.2]","[0.8, 0.4]","[0.7, 0.0]","[0.1, 0.8]",55.92,35.67,10.28,-0.17,102.36,204.06
14,"[0.1, 0.8]","[0.2, 0.2]","[0.8, 0.4]","[0.7, 0.0]","[0.1, 0.8]",68.73,-4.02,11.09,-0.33,96.77,172.23
15,"[0.1, 0.8]","[0.2, 0.2]","[0.8, 0.4]","[0.7, 0.0]","[0.1, 0.8]",82.06,-4.01,10.82,-0.17,104.76,193.45
16,"[0.1, 0.8]","[0.2, 0.2]","[0.8, 0.4]","[0.7, 0.0]","[0.1, 0.8]",71.27,-4.01,10.77,-0.37,104.47,182.11
17,"[0.1, 0.8]","[0.2, 0.2]","[0.8, 0.4]","[0.7, 0.0]","[0.1, 0.8]",78.98,-4.07,9.39,-0.30,113.37,197.37
18,"[0.1, 0.8]","[0.2, 0.2]","[0.8, 0.4]","[0.7, 0.0]","[0.1, 0.8]",83.43,-4.05,9.86,-0.07,95.50,184.67
19,"[0.1, 0.8]","[0.2, 0.2]","[0.8, 0.4]","[0.7, 0.0]","[0.1, 0.8]",70.13,-3.98,8.89,-0.10,109.36,184.30
