,action1,action2,action3,action4,action5,reward1,reward2,reward3,reward4,reward5,total_reward
0,"[0.5, 0.7]","[0.3, 0.3]","[0.4, 0.9]","[0.2, 0.4]","[0.0, 0.9]",7.95,-2.52,6.87,0.01,29.90,42.22
1,"[0.4, 0.5]","[0.0, 0.6]","[0.8, 0.8]","[0.2, 0.1]","[0.5, 0.9]",16.10,9.80,21.45,0.82,-34.07,14.10
2,"[0.0, 0.1]","[0.2, 0.2]","[0.1, 0.8]","[0.4, 0.3]","[0.1, 0.8]",26.87,-27.99,29.71,-23.93,22.78,27.45
3,"[0.4, 0.2]","[0.9, 0.9]","[0.6, 0.6]","[0.8, 0.9]","[0.5, 0.8]",-32.73,14.50,5.98,22.11,7.52,17.37
4,"[0.0, 0.1]","[0.6, 0.2]","[0.5, 0.3]","[0.8, 0.9]","[0.6, 0.6]",31.88,61.07,-14.14,0.64,1.08,80.53
5,"[0.2, 0.5]","[0.0, 0.9]","[0.1, 0.8]","[0.7, 0.3]","[0.0, 0.9]",17.07,19.26,6.48,36.88,41.11,120.80
6,"[0.2, 0.3]","[0.6, 0.2]","[0.4, 0.3]","[0.7, 0.3]","[0.0, 0.7]",-1.65,10.03,-4.50,-20.84,25.58,8.61
7,"[0.5, 0.9]","[0.6, 0.2]","[0.4, 0.9]","[0.4, 0.8]","[0.0, 0.9]",16.96,-8.85,26.68,-30.49,47.87,52.17
8,"[0.3, 0.2]","[0.3, 0.5]","[0.8, 0.5]","[0.9, 0.8]","[0.6, 0.4]",-82.57,7.94,14.68,5.37,11.38,-43.19
9,"[0.0, 0.1]","[0.7, 0.1]","[0.2, 0.0]","[0.7, 0.3]","[0.0, 0.9]",31.42,51.37,0.11,6.56,37.23,126.69
10,"[0.0, 0.1]","[0.6, 0.2]","[0.1, 0.8]","[0.7, 0.3]","[0.0, 0.9]",28.27,59.12,40.23,42.80,42.25,212.66
11,"[0.0, 0.1]","[0.6, 0.2]","[0.1, 0.8]","[0.7, 0.3]","[0.0, 0.9]",30.55,61.86,33.80,42.74,40.84,209.80
12,"[0.0, 0.1]","[0.6, 0.2]","[0.5, 0.3]","[0.7, 0.3]","[0.0, 0.9]",28.54,65.84,-14.00,-74.04,42.23,48.56
13,"[0.0, 0.1]","[0.1, 0.6]","[0.1, 0.8]","[0.6, 0.4]","[0.0, 0.9]",27.20,16.23,4.71,31.22,26.28,105.65
14,"[0.0, 0.1]","[0.6, 0.2]","[0.1, 0.8]","[0.7, 0.3]","[0.0, 0.4]",31.66,58.36,39.99,42.50,9.91,182.43
15,"[0.0, 0.1]","[0.6, 0.2]","[0.1, 0.8]","[0.7, 0.3]","[0.0, 0.9]",32.37,57.53,35.88,38.71,41.84,206.33
16,"[0.0, 0.1]","[0.6, 0.2]","[0.1, 0.8]","[0.7, 0.3]","[0.0, 0.9]",31.21,59.93,35.10,39.26,40.80,206.29
17,"[0.0, 0.1]","[0.6, 0.2]","[0.1, 0.8]","[0.7, 0.3]","[0.3, 0.2]",30.74,56.29,33.85,37.25,27.63,185.76
18,"[0.0, 0.1]","[0.6, 0.2]","[0.1, 0.8]","[0.7, 0.3]","[0.0, 0.9]",31.05,56.07,32.71,40.06,39.50,199.38
19,"[0.0, 0.1]","[0.6, 0.2]","[0.1, 0.8]","[0.7, 0.3]","[0.0, 0.9]",32.67,56.26,32.61,38.43,36.62,196.58
