,action1,action2,action3,action4,action5,epsilon,lr,reward1,reward2,reward3,reward4,reward5,total_reward
0,"[0.6, 0.8]","[0.3, 0.3]","[0.8, 0.1]","[0.7, 0.3]","[0.7, 0.5]",1.00,0.50,53.46,0.99,28.93,-0.77,2.28,84.90
1,"[0.8, 0.2]","[0.0, 0.6]","[0.8, 0.3]","[0.6, 0.2]","[0.9, 0.2]",0.98,0.50,28.20,21.33,33.37,14.35,-84.10,13.15
2,"[0.3, 0.0]","[0.1, 0.1]","[0.3, 0.3]","[0.3, 0.6]","[0.7, 0.7]",0.95,0.50,5.90,18.09,-27.37,9.05,2.32,7.99
3,"[0.6, 0.8]","[0.1, 0.5]","[0.2, 0.8]","[0.0, 0.8]","[0.1, 0.6]",0.93,0.50,53.00,23.45,5.44,56.26,18.37,156.53
4,"[0.0, 0.4]","[0.3, 0.3]","[0.3, 0.7]","[0.4, 0.3]","[0.3, 0.7]",0.90,0.50,18.67,-96.47,15.41,-50.81,12.08,-101.12
5,"[0.1, 0.8]","[0.1, 0.5]","[0.3, 0.7]","[0.7, 0.5]","[0.0, 0.4]",0.88,0.50,80.23,14.78,8.89,18.28,34.88,157.06
6,"[0.9, 0.8]","[0.9, 0.4]","[0.4, 0.5]","[0.5, 0.4]","[0.4, 0.8]",0.85,0.50,-80.41,9.06,6.35,-93.98,12.13,-146.85
7,"[0.2, 0.2]","[0.9, 0.3]","[0.9, 0.2]","[0.7, 0.3]","[0.0, 0.4]",0.81,0.50,-23.01,27.74,27.84,12.19,10.89,55.65
8,"[0.0, 0.7]","[0.1, 0.1]","[0.7, 0.5]","[0.8, 0.7]","[0.9, 0.0]",0.78,0.50,68.01,0.54,2.53,3.99,0.05,75.12
9,"[0.1, 0.8]","[0.0, 0.8]","[0.9, 0.0]","[0.9, 0.0]","[0.0, 0.4]",0.74,0.50,76.11,56.79,71.73,-0.46,16.85,221.01
10,"[0.5, 0.5]","[0.2, 0.7]","[0.2, 0.9]","[0.7, 0.9]","[0.9, 0.8]",0.70,0.50,1.75,5.20,-2.95,34.72,-42.70,-3.98
11,"[0.6, 0.1]","[0.6, 0.0]","[0.9, 0.0]","[0.8, 0.0]","[0.1, 0.9]",0.65,0.50,49.80,1.15,7.04,-0.38,75.35,132.95
12,"[0.8, 0.5]","[0.2, 0.7]","[0.9, 0.0]","[0.3, 0.4]","[0.6, 0.0]",0.60,0.50,11.49,8.32,49.44,13.76,15.01,98.01
13,"[0.6, 0.5]","[0.0, 0.8]","[0.9, 0.0]","[0.0, 0.8]","[0.1, 0.9]",0.54,0.50,3.07,13.85,74.50,101.67,25.27,218.36
14,"[0.6, 0.7]","[0.0, 0.8]","[0.3, 0.2]","[0.3, 0.0]","[0.1, 0.9]",0.48,0.48,14.59,18.61,-22.14,0.52,75.93,87.50
15,"[0.0, 0.7]","[0.0, 0.8]","[0.9, 0.0]","[0.9, 0.7]","[0.9, 0.2]",0.40,0.40,62.79,20.84,69.92,39.57,4.41,197.53
16,"[0.4, 0.9]","[0.0, 0.8]","[0.9, 0.0]","[0.4, 0.7]","[0.1, 0.9]",0.30,0.30,15.21,14.84,75.56,57.41,8.09,171.11
17,"[0.0, 0.7]","[0.0, 0.8]","[0.9, 0.0]","[0.4, 0.7]","[0.1, 0.9]",0.18,0.18,62.17,20.43,80.88,58.09,6.72,228.29
18,"[0.0, 0.7]","[0.0, 0.8]","[0.9, 0.0]","[0.0, 0.8]","[0.1, 0.9]",0.01,0.01,63.01,18.83,80.01,118.96,21.67,302.48
19,"[0.0, 0.7]","[0.0, 0.8]","[0.9, 0.0]","[0.0, 0.8]","[0.1, 0.9]",0.01,0.01,58.79,19.51,76.61,111.55,24.27,290.73
