,action1,action2,action3,action4,action5,epsilon,lr,reward1,reward2,reward3,reward4,reward5,total_reward
0,"[0.4, 0.3]","[0.1, 0.0]","[0.6, 0.5]","[0.8, 0.5]","[0.3, 0.3]",1.00,0.50,-3.53,-0.33,-0.82,-47.35,45.02,-7.01
1,"[0.3, 0.7]","[0.1, 0.7]","[0.3, 0.5]","[0.3, 0.7]","[0.5, 0.2]",0.98,0.50,-33.91,21.70,-83.15,1.97,-27.85,-121.24
2,"[0.3, 0.3]","[0.3, 0.4]","[0.6, 0.1]","[0.8, 0.7]","[0.3, 0.3]",0.95,0.50,-10.31,-8.54,-0.63,2.87,16.02,-0.60
3,"[0.5, 0.0]","[0.0, 0.1]","[0.2, 0.9]","[0.1, 0.0]","[0.3, 0.3]",0.93,0.50,24.34,29.15,6.62,-0.07,-11.06,48.98
4,"[0.9, 0.5]","[0.1, 0.6]","[0.6, 0.0]","[0.5, 0.6]","[0.0, 0.5]",0.90,0.50,55.05,8.19,27.24,14.79,40.74,146.00
5,"[0.0, 0.0]","[0.3, 0.9]","[0.7, 0.5]","[0.8, 0.0]","[0.2, 0.7]",0.88,0.50,2.52,4.03,18.63,0.99,53.58,79.75
6,"[0.9, 0.5]","[0.2, 0.7]","[0.6, 0.0]","[0.7, 0.5]","[0.9, 0.0]",0.85,0.50,50.33,8.96,20.83,46.72,1.84,128.69
7,"[0.9, 0.5]","[0.0, 0.2]","[0.9, 0.1]","[0.7, 0.5]","[0.2, 0.2]",0.81,0.50,50.00,29.92,17.96,15.02,21.67,134.58
8,"[0.8, 0.0]","[0.0, 0.2]","[0.9, 0.1]","[0.6, 0.2]","[0.2, 0.7]",0.78,0.50,58.35,37.46,20.53,42.17,23.01,181.52
9,"[0.9, 0.5]","[0.4, 0.4]","[0.1, 0.9]","[0.5, 0.5]","[0.1, 0.5]",0.74,0.50,48.79,37.16,19.77,10.35,12.23,128.30
10,"[0.2, 0.7]","[0.1, 0.7]","[0.9, 0.0]","[0.3, 0.2]","[0.4, 0.3]",0.70,0.50,14.30,21.03,60.78,33.50,-48.74,80.87
11,"[0.9, 0.5]","[0.0, 0.2]","[0.9, 0.0]","[0.7, 0.5]","[0.2, 0.7]",0.65,0.50,52.77,29.56,68.42,16.07,6.55,173.37
12,"[0.7, 0.5]","[0.0, 0.2]","[0.1, 0.9]","[0.0, 0.3]","[0.0, 0.5]",0.60,0.50,5.24,24.84,47.04,2.44,12.55,92.11
13,"[0.9, 0.5]","[0.0, 0.2]","[0.9, 0.0]","[0.5, 0.3]","[0.0, 0.5]",0.54,0.50,48.66,25.64,71.67,6.45,12.38,164.81
14,"[0.9, 0.5]","[0.3, 0.5]","[0.9, 0.0]","[0.3, 0.0]","[0.4, 0.8]",0.48,0.48,51.06,14.69,36.79,0.18,-73.22,29.50
15,"[0.9, 0.5]","[0.6, 0.1]","[0.9, 0.0]","[0.9, 0.9]","[0.1, 0.6]",0.40,0.40,51.72,4.06,7.72,70.50,9.49,143.49
16,"[0.9, 0.5]","[0.0, 0.2]","[0.9, 0.0]","[0.7, 0.5]","[0.2, 0.7]",0.30,0.30,55.28,27.32,73.86,19.21,6.55,182.22
17,"[0.9, 0.5]","[0.0, 0.2]","[0.4, 0.9]","[0.7, 0.5]","[0.3, 0.6]",0.18,0.18,47.45,28.64,-21.03,1.70,3.97,60.72
18,"[0.9, 0.5]","[0.0, 0.2]","[0.9, 0.0]","[0.7, 0.5]","[0.0, 0.5]",0.01,0.01,53.05,26.63,82.08,18.55,17.33,197.64
19,"[0.9, 0.5]","[0.0, 0.2]","[0.9, 0.0]","[0.7, 0.5]","[0.0, 0.5]",0.01,0.01,52.78,25.59,83.02,17.09,15.05,193.53
