,action1,action2,action3,action4,action5,epsilon,lr,reward1,reward2,reward3,reward4,reward5,total_reward
0,"[0.5, 0.1]","[0.1, 0.1]","[0.4, 0.8]","[0.9, 0.8]","[0.2, 0.5]",1.00,0.50,22.85,17.62,-40.17,45.22,26.40,71.92
1,"[0.7, 0.0]","[0.5, 0.9]","[0.7, 0.3]","[0.5, 0.3]","[0.3, 0.6]",0.98,0.50,53.61,57.43,-10.32,-2.09,6.18,104.81
2,"[0.1, 0.0]","[0.9, 0.0]","[0.3, 0.8]","[0.9, 0.2]","[0.9, 0.5]",0.95,0.50,2.66,59.11,103.37,41.60,7.32,214.06
3,"[0.2, 0.7]","[0.3, 0.4]","[0.5, 0.1]","[0.9, 0.2]","[0.6, 0.0]",0.93,0.50,14.78,-49.37,-29.12,-9.69,-0.24,-73.64
4,"[0.6, 0.8]","[0.6, 0.9]","[0.6, 0.9]","[0.4, 0.2]","[0.2, 0.0]",0.90,0.50,56.16,-54.52,-31.36,-1.51,-0.44,-31.67
5,"[0.6, 0.6]","[0.9, 0.0]","[0.7, 0.7]","[0.4, 0.9]","[0.1, 0.2]",0.88,0.50,1.75,7.12,51.79,1.83,0.95,63.44
6,"[0.7, 0.3]","[0.0, 0.2]","[0.7, 0.9]","[0.2, 0.6]","[0.2, 0.5]",0.85,0.50,18.95,54.14,16.06,5.95,-6.12,88.97
7,"[0.1, 0.4]","[0.0, 0.2]","[0.2, 0.4]","[0.7, 0.0]","[0.1, 0.6]",0.81,0.50,9.89,40.25,-1.85,30.93,30.41,109.65
8,"[0.0, 0.7]","[0.0, 0.2]","[0.0, 0.1]","[0.8, 0.2]","[0.0, 0.0]",0.78,0.50,60.26,9.05,17.52,25.46,0.21,112.49
9,"[0.0, 0.7]","[0.9, 0.5]","[0.2, 0.6]","[0.9, 0.4]","[0.5, 0.6]",0.74,0.50,66.45,-32.42,9.46,55.02,8.75,107.27
10,"[0.7, 0.7]","[0.3, 0.9]","[0.4, 0.4]","[0.9, 0.6]","[0.7, 0.7]",0.70,0.50,11.71,4.58,-20.93,2.24,6.00,3.59
11,"[0.0, 0.0]","[0.2, 0.5]","[0.4, 0.9]","[0.2, 0.3]","[0.1, 0.6]",0.65,0.50,2.99,14.04,47.47,-0.55,10.95,74.90
12,"[0.0, 0.7]","[0.1, 0.4]","[0.3, 0.8]","[0.4, 0.7]","[0.1, 0.6]",0.60,0.50,66.34,17.77,37.43,-96.77,36.14,60.91
13,"[0.1, 0.1]","[0.8, 0.2]","[0.3, 0.8]","[0.9, 0.4]","[0.1, 0.6]",0.54,0.50,14.57,50.23,33.94,49.22,12.27,160.22
14,"[0.3, 0.9]","[0.5, 0.3]","[0.3, 0.8]","[0.1, 0.3]","[0.1, 0.6]",0.48,0.48,7.36,-10.09,16.24,4.87,10.81,29.19
15,"[0.0, 0.7]","[0.0, 0.2]","[0.4, 0.5]","[0.9, 0.4]","[0.1, 0.6]",0.40,0.40,64.48,8.13,7.89,34.00,11.55,126.06
16,"[0.0, 0.7]","[0.0, 0.2]","[0.3, 0.8]","[0.6, 0.4]","[0.1, 0.6]",0.30,0.30,69.77,9.24,-0.76,-7.49,8.81,79.57
17,"[0.0, 0.7]","[0.0, 0.2]","[0.3, 0.8]","[0.4, 0.0]","[0.1, 0.6]",0.18,0.18,65.36,8.14,-0.58,2.85,29.02,104.79
18,"[0.0, 0.7]","[0.0, 0.2]","[0.3, 0.8]","[0.9, 0.4]","[0.1, 0.6]",0.01,0.01,64.39,9.28,-0.53,50.03,11.24,134.41
19,"[0.0, 0.7]","[0.0, 0.2]","[0.3, 0.8]","[0.9, 0.4]","[0.1, 0.6]",0.01,0.01,69.31,8.69,-0.87,42.38,9.93,129.44
