,action1,action2,action3,action4,action5,reward1,reward2,reward3,reward4,reward5,total_reward
0,"[0.9113507270812988, 0.08864931017160416]","[0.9997232556343079, 0.0002767166297417134]","[0.999875545501709, 0.00012441563012544066]","[0.9999109506607056, 8.907931623980403e-05]","[0.9999228715896606, 7.711425860179588e-05]",10.57,-0.21,-0.13,0.07,0.07,10.38
1,"[0.9157239198684692, 0.08427608758211136]","[0.9997513890266418, 0.0002485730219632387]","[0.9998880624771118, 0.0001119720982387662]","[0.9999195337295532, 8.041569526540115e-05]","[0.9999302625656128, 6.978194141993299e-05]",13.15,-0.15,-0.26,-0.05,0.20,12.90
2,"[0.9196066856384277, 0.08039326965808868]","[0.9997748732566833, 0.00022517169418279082]","[0.9998983144760132, 0.00010161675163544714]","[0.9999268054962158, 7.318564894376323e-05]","[0.9999363422393799, 6.364703585859388e-05]",17.74,-0.27,-0.19,-0.21,0.02,17.08
3,"[0.9230623841285706, 0.07693763822317123]","[0.9997944235801697, 0.0002055494551314041]","[0.9999070167541504, 9.292626054957509e-05]","[0.9999328851699829, 6.71020316076465e-05]","[0.9999414682388306, 5.8472480304772034e-05]",17.61,-0.13,0.11,-0.21,0.10,17.48
4,"[0.9261451363563538, 0.07385481894016266]","[0.9998111128807068, 0.00018896712572313845]","[0.9999144077301025, 8.557533874409273e-05]","[0.9999380111694336, 6.194347952259704e-05]","[0.999945878982544, 5.4075087973615155e-05]",22.03,0.06,-0.21,0.27,-0.16,22.00
5,"[0.928901731967926, 0.07109829038381577]","[0.9998251795768738, 0.00017485300486441702]","[0.9999207258224487, 7.931225991342217e-05]","[0.999942421913147, 5.753834193455987e-05]","[0.9999496936798096, 5.0312566600041464e-05]",24.28,0.05,0.01,-0.07,-0.07,24.20
6,"[0.9313720464706421, 0.06862802058458328]","[0.9998371601104736, 0.0001627593592274934]","[0.9999260902404785, 7.39406023058109e-05]","[0.9999462366104126, 5.3752119129057974e-05]","[0.9999529123306274, 4.707262633019127e-05]",26.89,-0.04,0.07,0.04,-0.10,26.88
7,"[0.9335904717445374, 0.06640952080488205]","[0.9998476505279541, 0.00015233311569318175]","[0.999930739402771, 6.930485687917098e-05]","[0.99994957447052, 5.047813101555221e-05]","[0.9999557733535767, 4.42663804278709e-05]",28.71,0.01,-0.23,-0.09,-0.19,28.21
8,"[0.9355870485305786, 0.06441298127174377]","[0.99985671043396, 0.00014329279656521976]","[0.9999346733093262, 6.528147787321359e-05]","[0.9999523162841797, 4.7631336201447994e-05]","[0.9999581575393677, 4.182250631856732e-05]",30.73,0.12,0.21,-0.21,0.25,31.11
9,"[0.9373874664306641, 0.06261252611875534]","[0.9998645782470703, 0.00013541254156734794]","[0.9999382495880127, 6.177071190904826e-05]","[0.9999548196792603, 4.514298416324891e-05]","[0.9999603033065796, 3.9683371142018586e-05]",31.61,0.10,0.17,-0.25,-0.15,31.47
