,action1,action2,action3,action4,action5,reward1,reward2,reward3,reward4,reward5,total_reward
0,"[0.5, 0.5]","[0.9213508367538452, 0.0786491334438324]","[0.9567327499389648, 0.04326726496219635]","[0.9699336290359497, 0.030066339299082756]","[0.9757769703865051, 0.024223098531365395]",1.76,12.66,1.55,1.55,1.08,18.60
1,"[0.536583662033081, 0.46341636776924133]","[0.948901355266571, 0.05109862983226776]","[0.9731881022453308, 0.026811882853507996]","[0.9816063046455383, 0.01839367300271988]","[0.9852123260498047, 0.01478764321655035]",2.52,10.05,0.94,0.80,1.04,15.35
2,"[0.5740478038787842, 0.42595216631889343]","[0.9670189619064331, 0.03298109024763107]","[0.983345627784729, 0.01665438525378704]","[0.9886729121208191, 0.011327031068503857]","[0.9909003973007202, 0.009099566377699375]",4.28,8.50,1.12,0.83,0.75,15.48
3,"[0.6113974452018738, 0.3886025547981262]","[0.9786469340324402, 0.02135314978659153]","[0.9895436763763428, 0.010456379503011703]","[0.992926299571991, 0.0070736645720899105]","[0.9943143725395203, 0.005685556214302778]",6.38,4.73,0.75,0.19,0.37,12.42
4,"[0.6477672457695007, 0.35223278403282166]","[0.9860365986824036, 0.013963323086500168]","[0.9933277368545532, 0.006672251969575882]","[0.995498538017273, 0.00450150715187192]","[0.9963750243186951, 0.003624921664595604]",9.63,1.88,0.29,0.29,-0.01,12.08
5,"[0.682212233543396, 0.317787766456604]","[0.9907119870185852, 0.009288026951253414]","[0.9956467747688293, 0.0043531483970582485]","[0.9970648884773254, 0.0029351527336984873]","[0.9976289868354797, 0.002371070673689246]",14.01,0.24,0.12,-0.09,0.08,14.36
6,"[0.7140049934387207, 0.2859950363636017]","[0.9936827421188354, 0.006317273713648319]","[0.9970834851264954, 0.0029164692386984825]","[0.9980313181877136, 0.0019686317536979914]","[0.9984028935432434, 0.00159708340652287]",19.47,-0.10,-0.08,0.30,0.10,19.69
7,"[0.7428156137466431, 0.25718435645103455]","[0.9955982565879822, 0.004401777870953083]","[0.9979913234710693, 0.0020086944568902254]","[0.9986408352851868, 0.001359189860522747]","[0.9988917708396912, 0.001108288881368935]",27.66,0.44,-0.02,0.07,0.03,28.18
8,"[0.7685754299163818, 0.23142458498477936]","[0.9968568086624146, 0.003143184119835496]","[0.9985781908035278, 0.0014218478463590145]","[0.9990346431732178, 0.0009654252207837999]","[0.999208390712738, 0.0007916575414128602]",29.01,-0.04,-0.17,0.13,0.12,29.06
9,"[0.7913755774497986, 0.20862440764904022]","[0.9977006316184998, 0.0022994056344032288]","[0.9989664554595947, 0.0010335181141272187]","[0.9992952346801758, 0.0007047000108286738]","[0.9994187355041504, 0.0005812836461700499]",26.97,-0.16,-0.05,0.09,0.19,27.05
10,"[0.8114152550697327, 0.18858475983142853]","[0.9982782602310181, 0.0017217349959537387]","[0.9992295503616333, 0.0007704157615080476]","[0.9994722008705139, 0.0005277725867927074]","[0.9995620846748352, 0.0004379441379569471]",23.45,-0.29,0.20,-0.23,0.06,23.20
11,"[0.8289465308189392, 0.17105352878570557]","[0.9986819624900818, 0.0013179677771404386]","[0.999411940574646, 0.0005880303797312081]","[0.9995952248573303, 0.00040483835618942976]","[0.9996621608734131, 0.0003379027475602925]",13.14,-0.23,-0.24,0.22,-0.07,12.81
12,"[0.8442392945289612, 0.15576069056987762]","[0.9989699125289917, 0.001030049636028707]","[0.999541163444519, 0.0004588114097714424]","[0.9996825456619263, 0.00031748972833156586]","[0.9997335076332092, 0.00026648701168596745]",6.38,-0.13,0.05,-0.25,0.06,6.11
13,"[0.857560932636261, 0.14243900775909424]","[0.9991791844367981, 0.0008207809878513217]","[0.9996346235275269, 0.000365354644600302]","[0.9997459053993225, 0.0002541101130191237]","[0.9997856020927429, 0.00021442252909764647]",0.98,-0.50,0.06,0.03,0.25,0.81
14,"[0.8691133260726929, 0.13088667392730713]","[0.9993333220481873, 0.0006666762637905777]","[0.9997031092643738, 0.0002968045009765774]","[0.9997925162315369, 0.00020746349764522165]","[0.9998241066932678, 0.0001759251463226974]",-1.01,-0.45,-0.13,-0.05,0.05,-1.58
15,"[0.8789169192314148, 0.12108314037322998]","[0.9994459748268127, 0.0005539751145988703]","[0.9997531771659851, 0.0002468666061758995]","[0.9998266100883484, 0.00017337808094453067]","[0.9998522996902466, 0.0001476733450544998]",-0.95,-0.47,-0.08,-0.23,-0.05,-1.77
16,"[0.8872730731964111, 0.11272688955068588]","[0.9995304346084595, 0.00046962095075286925]","[0.999790370464325, 0.00020958631648682058]","[0.999852180480957, 0.0001478507329011336]","[0.9998735189437866, 0.00012642802903428674]",0.30,-0.53,0.05,0.06,0.08,-0.04
17,"[0.8944849967956543, 0.10551506280899048]","[0.9995954632759094, 0.0004045966488774866]","[0.9998190999031067, 0.00018088608339894563]","[0.9998718500137329, 0.00012813140347134322]","[0.9998900890350342, 0.00010995318734785542]",2.13,-0.28,0.07,-0.09,0.25,2.09
18,"[0.9008249640464783, 0.09917500615119934]","[0.9996472597122192, 0.00035273522371426225]","[0.9998419284820557, 0.00015799298125784844]","[0.9998875856399536, 0.000112345558591187]","[0.9999033212661743, 9.671616862760857e-05]",4.86,-0.36,0.08,0.13,0.08,4.79
19,"[0.9064133167266846, 0.09358664602041245]","[0.9996891021728516, 0.000310870906105265]","[0.9998605251312256, 0.00013950619904790074]","[0.9999004602432251, 9.95541486190632e-05]","[0.9999140501022339, 8.595449617132545e-05]",8.17,-0.42,-0.21,0.17,-0.23,7.47
