,action1,action2,action3,action4,action5,reward1,reward2,reward3,reward4,reward5,total_reward
0,"[0.955816924571991, 0.04418307915329933]","[0.9999324083328247, 6.759940151823685e-05]","[0.9999687671661377, 3.1279043469112366e-05]","[0.9999767541885376, 2.3301994588109665e-05]","[0.9999792575836182, 2.0762150597875006e-05]",50.60,-0.05,-0.24,0.04,0.01,50.35
1,"[0.955999493598938, 0.044000450521707535]","[0.9999330043792725, 6.700887024635449e-05]","[0.9999690055847168, 3.10081522911787e-05]","[0.9999768733978271, 2.310514173586853e-05]","[0.9999793767929077, 2.0590190615621395e-05]",47.88,0.10,0.10,0.07,-0.09,48.06
2,"[0.9561756253242493, 0.04382438212633133]","[0.9999336004257202, 6.643990491284057e-05]","[0.9999692440032959, 3.0746963602723554e-05]","[0.9999771118164062, 2.2915266526979394e-05]","[0.9999796152114868, 2.04242915060604e-05]",48.46,0.15,-0.24,0.08,0.19,48.64
3,"[0.9563456773757935, 0.04365428537130356]","[0.9999340772628784, 6.589071563212201e-05]","[0.999969482421875, 3.049463703064248e-05]","[0.9999772310256958, 2.2731801436748356e-05]","[0.9999797344207764, 2.026399852184113e-05]",57.24,0.00,-0.00,-0.26,-0.26,56.72
4,"[0.9565103054046631, 0.043489620089530945]","[0.9999346733093262, 6.535941065521911e-05]","[0.9999697208404541, 3.025049409188796e-05]","[0.9999774694442749, 2.2554177121492103e-05]","[0.9999798536300659, 2.010872049140744e-05]",50.75,-0.23,0.08,0.15,-0.16,50.59
5,"[0.9566700458526611, 0.04332992807030678]","[0.9999351501464844, 6.48446221021004e-05]","[0.9999699592590332, 3.001368895638734e-05]","[0.9999775886535645, 2.23818624363048e-05]","[0.999980092048645, 1.9958082702942193e-05]",49.60,-0.03,-0.18,0.26,0.15,49.80
6,"[0.9568251967430115, 0.04317475110292435]","[0.9999356269836426, 6.434493843698874e-05]","[0.9999701976776123, 2.9783677746308967e-05]","[0.9999778270721436, 2.2214426280697808e-05]","[0.9999802112579346, 1.9811703168670647e-05]",53.38,0.17,-0.02,-0.23,0.21,53.51
7,"[0.9569762945175171, 0.04302370548248291]","[0.9999361038208008, 6.385896995197982e-05]","[0.9999704360961914, 2.955991294584237e-05]","[0.9999779462814331, 2.2051479390938766e-05]","[0.9999803304672241, 1.9669156245072372e-05]",50.67,-0.13,-0.00,-0.19,-0.25,50.09
8,"[0.9571235775947571, 0.04287642613053322]","[0.999936580657959, 6.338561070151627e-05]","[0.9999706745147705, 2.93418561341241e-05]","[0.9999780654907227, 2.189262886531651e-05]","[0.9999804496765137, 1.953024184331298e-05]",53.89,-0.07,0.17,-0.09,-0.07,53.83
9,"[0.9572674036026001, 0.04273255914449692]","[0.9999370574951172, 6.29239366389811e-05]","[0.9999709129333496, 2.912904710683506e-05]","[0.9999783039093018, 2.1737538190791383e-05]","[0.9999805688858032, 1.939454705279786e-05]",51.26,-0.20,-0.16,0.17,-0.05,51.02
