,action1,action2,action3,action4,action5,reward1,reward2,reward3,reward4,reward5,total_reward
10,"[0.9574081301689148, 0.042591843754053116]","[0.9999375343322754, 6.247288547456264e-05]","[0.9999710321426392, 2.892106022045482e-05]","[0.9999784231185913, 2.1585949070868082e-05]","[0.9999806880950928, 1.9261924535385333e-05]",50.24,0.16,0.11,-0.21,0.16,50.47
11,"[0.9575459361076355, 0.04245402291417122]","[0.9999380111694336, 6.203180237207562e-05]","[0.9999712705612183, 2.87175462290179e-05]","[0.9999785423278809, 2.143754500139039e-05]","[0.9999809265136719, 1.913207415782381e-05]",52.75,0.13,0.04,-0.02,0.23,53.13
12,"[0.9576811790466309, 0.042318813502788544]","[0.9999383687973022, 6.15997050772421e-05]","[0.9999715089797974, 2.851815770554822e-05]","[0.9999786615371704, 2.1292111341608688e-05]","[0.9999810457229614, 1.900478127936367e-05]",59.11,-0.14,0.17,0.06,-0.10,59.10
13,"[0.9578140377998352, 0.04218602925539017]","[0.9999388456344604, 6.11762297921814e-05]","[0.9999716281890869, 2.8322581783868372e-05]","[0.9999788999557495, 2.1149422536836937e-05]","[0.999981164932251, 1.887986763904337e-05]",53.26,0.13,0.06,0.13,-0.25,53.33
14,"[0.9579445123672485, 0.042055439203977585]","[0.9999392032623291, 6.07602960371878e-05]","[0.999971866607666, 2.8130549253546633e-05]","[0.9999790191650391, 2.1009287593187764e-05]","[0.9999812841415405, 1.8757149518933147e-05]",58.48,-0.25,-0.03,0.22,0.12,58.53
15,"[0.958073079586029, 0.04192688316106796]","[0.9999396800994873, 6.035173646523617e-05]","[0.9999721050262451, 2.7941738153458573e-05]","[0.9999791383743286, 2.0871515516773798e-05]","[0.9999814033508301, 1.863649049482774e-05]",60.61,0.13,0.13,0.20,-0.20,60.87
16,"[0.9581997990608215, 0.04180017113685608]","[0.999940037727356, 5.9949867136310786e-05]","[0.9999722242355347, 2.775609573291149e-05]","[0.9999792575836182, 2.0735931684612297e-05]","[0.9999815225601196, 1.8517741409596056e-05]",57.50,-0.00,0.08,-0.06,-0.12,57.40
17,"[0.9583247900009155, 0.04167518392205238]","[0.9999403953552246, 5.95543060626369e-05]","[0.9999724626541138, 2.7573216357268393e-05]","[0.9999793767929077, 2.060238693957217e-05]","[0.9999816417694092, 1.8400780390948057e-05]",57.09,-0.10,0.09,0.13,0.10,57.31
18,"[0.9584482312202454, 0.04155176505446434]","[0.9999408721923828, 5.9164576668990776e-05]","[0.9999725818634033, 2.739305273280479e-05]","[0.9999794960021973, 2.0470777599257417e-05]","[0.9999817609786987, 1.8285469195689075e-05]",57.50,-0.30,-0.11,-0.12,0.12,57.08
19,"[0.958570122718811, 0.04142984747886658]","[0.9999412298202515, 5.878053343622014e-05]","[0.9999728202819824, 2.721541932260152e-05]","[0.9999796152114868, 2.034101817116607e-05]","[0.9999818801879883, 1.8171744159189984e-05]",55.94,-0.01,0.07,-0.10,0.23,56.12
