,action1,action2,action3,action4,action5,reward1,reward2,reward3,reward4,reward5,total_reward
0,"[0.9586907029151917, 0.04130926355719566]","[0.9999415874481201, 5.840165613335557e-05]","[0.999972939491272, 2.704019789234735e-05]","[0.9999797344207764, 2.0212966774124652e-05]","[0.9999819993972778, 1.8059517969959415e-05]",55.68,-0.19,-0.14,0.13,0.25,55.72
1,"[0.958810031414032, 0.041189953684806824]","[0.9999419450759888, 5.802776649943553e-05]","[0.9999731779098511, 2.6867235646932386e-05]","[0.9999798536300659, 2.0086527001694776e-05]","[0.9999819993972778, 1.7948701497516595e-05]",62.09,-0.26,0.18,0.17,-0.06,62.11
2,"[0.9589282274246216, 0.041071817278862]","[0.9999423027038574, 5.765841342508793e-05]","[0.9999732971191406, 2.6696368877310306e-05]","[0.999980092048645, 1.9961604266427457e-05]","[0.9999821186065674, 1.7839183783507906e-05]",52.29,0.08,0.14,-0.19,0.06,52.38
3,"[0.9590452909469604, 0.04095472767949104]","[0.9999426603317261, 5.729343320126645e-05]","[0.9999734163284302, 2.652749935805332e-05]","[0.9999802112579346, 1.983813490369357e-05]","[0.9999822378158569, 1.77308884303784e-05]",58.96,-0.12,0.10,-0.14,0.20,59.01
4,"[0.9591612815856934, 0.04083865135908127]","[0.9999430179595947, 5.693266211892478e-05]","[0.9999736547470093, 2.636053250171244e-05]","[0.9999803304672241, 1.9715995222213678e-05]","[0.9999823570251465, 1.7623788153287023e-05]",57.99,0.10,0.22,0.08,0.23,58.62
5,"[0.9592764973640442, 0.04072351008653641]","[0.9999433755874634, 5.6575674534542486e-05]","[0.9999737739562988, 2.6195311875198968e-05]","[0.9999804496765137, 1.9595128833316267e-05]","[0.999982476234436, 1.7517804735689424e-05]",51.49,-0.14,-0.20,-0.21,0.23,51.17
6,"[0.9593908190727234, 0.04060925543308258]","[0.999943733215332, 5.6222532293759286e-05]","[0.9999740123748779, 2.603189932415262e-05]","[0.9999805688858032, 1.947556302184239e-05]","[0.9999825954437256, 1.741285450407304e-05]",56.15,-0.11,-0.07,-0.04,0.26,56.21
7,"[0.9595041275024414, 0.04049580916762352]","[0.9999440908432007, 5.58730389457196e-05]","[0.9999741315841675, 2.5870094759739004e-05]","[0.9999806880950928, 1.9357130440766923e-05]","[0.9999827146530151, 1.7308999304077588e-05]",53.04,-0.06,-0.13,0.22,0.18,53.26
8,"[0.9596168994903564, 0.04038315638899803]","[0.9999444484710693, 5.552703805733472e-05]","[0.999974250793457, 2.57098854490323e-05]","[0.9999808073043823, 1.9239898392697796e-05]","[0.9999828338623047, 1.720612090139184e-05]",53.69,-0.01,-0.14,-0.08,0.16,53.61
9,"[0.9597287774085999, 0.040271248668432236]","[0.999944806098938, 5.5184285884024575e-05]","[0.9999744892120361, 2.5551231374265626e-05]","[0.9999809265136719, 1.9123737729387358e-05]","[0.9999829530715942, 1.7104166545323096e-05]",56.75,-0.24,0.21,0.27,0.15,57.14
