,action1,action2,action3,action4,action5,epsilon,lr,reward1,reward2,reward3,reward4,reward5,total_reward
0,"[0.6, 0.0]","[0.1, 0.2]","[0.8, 0.8]","[0.9, 0.8]","[0.0, 0.1]",1.00,0.50,40.51,31.66,-0.32,-19.77,1.31,53.39
1,"[0.5, 0.1]","[0.8, 0.6]","[0.6, 0.3]","[0.5, 0.5]","[0.4, 0.4]",0.98,0.50,23.50,11.49,9.86,1.19,-24.59,21.46
2,"[0.4, 0.9]","[0.8, 0.3]","[0.9, 0.2]","[0.5, 0.5]","[0.3, 0.1]",0.95,0.50,12.84,17.19,-19.70,10.27,-2.23,18.38
3,"[0.0, 0.0]","[0.1, 0.2]","[0.4, 0.1]","[0.8, 0.0]","[0.2, 0.7]",0.93,0.50,2.62,16.00,-39.75,19.01,51.82,49.71
4,"[0.0, 0.4]","[0.2, 0.5]","[0.6, 0.0]","[0.1, 0.9]","[0.7, 0.9]",0.90,0.50,19.19,-4.20,21.76,73.65,51.24,161.65
5,"[0.2, 0.0]","[0.1, 0.2]","[0.0, 0.1]","[0.4, 0.7]","[0.5, 0.6]",0.88,0.50,2.62,23.78,15.17,0.77,-92.54,-50.22
6,"[0.6, 0.8]","[0.9, 0.1]","[0.9, 0.1]","[0.5, 0.3]","[0.2, 0.4]",0.85,0.50,57.79,-2.24,10.36,9.05,3.45,78.42
7,"[0.7, 0.5]","[0.1, 0.2]","[0.2, 0.2]","[0.0, 0.8]","[0.5, 0.6]",0.81,0.50,6.29,26.35,-18.52,38.78,23.51,76.42
8,"[0.4, 0.9]","[0.6, 0.2]","[0.2, 0.6]","[0.8, 0.8]","[0.2, 0.7]",0.78,0.50,13.39,-2.17,15.94,10.42,48.66,86.24
9,"[0.6, 0.8]","[0.0, 0.5]","[0.4, 0.0]","[0.8, 0.5]","[0.0, 0.2]",0.74,0.50,53.77,28.08,10.09,-0.53,24.77,116.18
10,"[0.8, 0.9]","[0.0, 0.1]","[0.2, 0.6]","[0.2, 0.1]","[0.2, 0.7]",0.70,0.50,-1.70,0.87,13.92,-2.60,20.49,30.98
11,"[0.7, 0.1]","[0.0, 0.3]","[0.2, 0.6]","[0.3, 0.0]","[0.6, 0.9]",0.65,0.50,54.01,11.55,8.57,1.04,14.29,89.47
12,"[0.6, 0.8]","[0.1, 0.2]","[0.1, 0.9]","[0.3, 0.4]","[0.6, 0.4]",0.60,0.50,50.15,2.85,50.08,-18.35,-13.08,71.65
13,"[0.6, 0.8]","[0.2, 0.8]","[0.3, 0.2]","[0.6, 0.0]","[0.2, 0.9]",0.54,0.50,50.25,35.53,-11.91,13.40,66.69,153.96
14,"[0.4, 0.8]","[0.8, 0.4]","[0.1, 0.9]","[0.9, 0.0]","[0.4, 0.6]",0.48,0.48,-30.97,14.70,25.77,67.68,29.00,106.19
15,"[0.7, 0.8]","[0.2, 0.8]","[0.1, 0.9]","[0.2, 0.2]","[0.2, 0.9]",0.40,0.40,39.46,41.54,29.18,-1.97,27.94,136.15
16,"[0.7, 0.2]","[0.3, 0.1]","[0.9, 0.6]","[0.1, 0.9]","[0.2, 0.9]",0.30,0.30,48.32,7.35,-0.16,12.63,-10.42,57.73
17,"[0.6, 0.8]","[0.2, 0.8]","[0.1, 0.9]","[0.9, 0.0]","[0.4, 0.7]",0.18,0.18,47.94,31.99,33.12,65.98,50.57,229.59
18,"[0.6, 0.8]","[0.2, 0.8]","[0.1, 0.9]","[0.9, 0.0]","[0.2, 0.7]",0.01,0.01,50.41,34.21,30.66,67.12,57.84,240.24
19,"[0.6, 0.8]","[0.2, 0.8]","[0.1, 0.9]","[0.9, 0.0]","[0.2, 0.7]",0.01,0.01,57.15,33.99,34.85,59.59,52.19,237.77
