,action1,action2,action3,action4,action5,epsilon,lr,reward1,reward2,reward3,reward4,reward5,total_reward
0,"[0.8, 0.8]","[0.8, 0.0]","[0.2, 0.6]","[0.6, 0.5]","[0.4, 0.3]",1.00,0.50,-11.48,-0.15,29.24,7.15,-6.73,18.02
1,"[0.7, 0.6]","[0.9, 0.9]","[0.2, 0.5]","[0.2, 0.3]","[0.8, 0.9]",0.98,0.50,2.39,13.01,6.24,-6.92,0.32,15.03
2,"[0.2, 0.1]","[0.0, 0.7]","[0.8, 0.9]","[0.3, 0.2]","[0.1, 0.8]",0.95,0.50,-16.23,40.94,22.30,0.97,34.70,82.68
3,"[0.3, 0.1]","[0.1, 0.4]","[0.2, 0.7]","[0.4, 0.3]","[0.6, 0.1]",0.93,0.50,-70.78,7.91,7.45,-63.45,-28.56,-147.43
4,"[0.8, 0.3]","[0.3, 0.2]","[0.2, 0.6]","[0.4, 0.5]","[0.6, 0.5]",0.90,0.50,21.68,40.22,10.97,-88.37,-31.99,-47.49
5,"[0.9, 0.8]","[0.1, 0.9]","[0.6, 0.2]","[0.9, 0.8]","[0.1, 0.8]",0.88,0.50,-78.41,52.77,25.42,-2.22,50.22,47.79
6,"[0.1, 0.3]","[0.5, 0.4]","[0.6, 0.0]","[0.3, 0.2]","[0.0, 0.0]",0.85,0.50,5.54,-2.52,3.34,10.44,-0.09,16.71
7,"[0.7, 0.3]","[0.2, 0.8]","[0.4, 0.8]","[0.1, 0.6]","[0.1, 0.8]",0.81,0.50,19.35,25.63,-105.91,29.38,4.42,-27.12
8,"[0.2, 0.5]","[0.0, 0.1]","[0.3, 0.0]","[0.8, 0.5]","[0.6, 0.1]",0.78,0.50,16.03,5.55,2.98,-0.45,0.44,24.56
9,"[0.2, 0.5]","[0.0, 0.2]","[0.2, 0.6]","[0.0, 0.6]","[0.1, 0.8]",0.74,0.50,16.92,29.99,13.42,18.57,4.09,83.00
10,"[0.2, 0.5]","[0.9, 0.7]","[0.2, 0.6]","[0.9, 0.4]","[0.6, 0.3]",0.70,0.50,15.54,12.08,44.32,65.83,34.66,172.43
11,"[0.2, 0.5]","[0.0, 0.7]","[0.2, 0.6]","[0.4, 0.5]","[0.8, 0.5]",0.65,0.50,14.22,10.04,-30.05,-97.28,2.24,-100.84
12,"[0.1, 0.0]","[0.6, 0.9]","[0.6, 0.2]","[0.9, 0.4]","[0.6, 0.3]",0.60,0.50,2.62,12.88,-5.25,-2.60,39.69,47.35
13,"[0.1, 0.2]","[0.1, 0.9]","[0.6, 0.6]","[0.0, 0.9]","[0.3, 0.9]",0.54,0.50,18.67,56.13,28.86,12.27,-59.52,56.42
14,"[0.2, 0.5]","[0.1, 0.9]","[0.6, 0.6]","[0.1, 0.6]","[0.9, 0.0]",0.48,0.48,16.56,12.00,28.19,16.38,62.51,135.65
15,"[0.2, 0.5]","[0.2, 0.9]","[0.1, 0.6]","[0.1, 0.6]","[0.6, 0.3]",0.40,0.40,16.29,9.13,5.17,9.08,43.05,82.71
16,"[0.2, 0.5]","[0.1, 0.9]","[0.6, 0.6]","[0.1, 0.6]","[0.6, 0.3]",0.30,0.30,16.08,12.48,24.51,14.13,41.69,108.88
17,"[0.2, 0.5]","[0.1, 0.9]","[0.6, 0.6]","[0.1, 0.6]","[0.6, 0.3]",0.18,0.18,15.81,12.23,28.35,15.51,42.33,114.22
18,"[0.2, 0.5]","[0.1, 0.9]","[0.6, 0.6]","[0.1, 0.6]","[0.6, 0.3]",0.01,0.01,15.11,11.68,25.60,15.95,37.34,105.68
19,"[0.2, 0.5]","[0.1, 0.9]","[0.6, 0.6]","[0.1, 0.6]","[0.6, 0.3]",0.01,0.01,14.70,14.13,29.51,15.08,42.18,115.60
