,action1,action2,action3,action4,action5,epsilon,lr,reward1,reward2,reward3,reward4,reward5,total_reward
0,"[0.7, 0.8]","[0.4, 0.0]","[0.6, 0.5]","[0.1, 0.2]","[0.1, 0.7]",1.00,0.50,42.43,-0.13,36.83,25.14,20.98,125.25
1,"[0.4, 0.2]","[0.9, 0.1]","[0.7, 0.2]","[0.3, 0.4]","[0.5, 0.8]",0.98,0.50,-35.46,31.40,36.50,4.53,40.35,77.33
2,"[0.4, 0.0]","[0.4, 0.0]","[0.3, 0.0]","[0.7, 0.3]","[0.9, 0.2]",0.95,0.50,13.31,1.25,-0.04,0.99,-80.64,-65.14
3,"[0.4, 0.2]","[0.0, 0.6]","[0.8, 0.1]","[0.0, 0.4]","[0.2, 0.1]",0.93,0.50,-31.80,21.35,56.00,12.09,-10.41,47.22
4,"[0.2, 0.3]","[0.9, 0.1]","[0.8, 0.1]","[0.5, 0.9]","[0.5, 0.8]",0.90,0.50,-1.69,48.05,11.64,65.34,-34.12,89.22
5,"[0.4, 0.9]","[0.9, 0.1]","[0.2, 0.0]","[0.6, 0.6]","[0.9, 0.0]",0.88,0.50,13.72,25.33,0.09,-0.48,6.98,45.65
6,"[0.4, 0.3]","[0.9, 0.1]","[0.3, 0.0]","[0.5, 0.9]","[0.1, 0.7]",0.85,0.50,-3.62,25.75,0.09,3.51,10.05,35.78
7,"[0.9, 0.2]","[0.6, 0.0]","[0.8, 0.1]","[0.9, 0.9]","[0.1, 0.7]",0.81,0.50,-22.30,-0.19,-76.98,22.22,10.81,-66.44
8,"[0.2, 0.1]","[0.3, 0.5]","[0.8, 0.3]","[0.5, 0.9]","[0.1, 0.7]",0.78,0.50,-16.95,23.16,56.05,24.21,8.80,95.27
9,"[0.8, 0.3]","[0.3, 0.0]","[0.8, 0.0]","[0.3, 0.0]","[0.1, 0.7]",0.74,0.50,25.31,-0.06,31.43,-0.28,45.53,101.92
10,"[0.0, 0.5]","[0.9, 0.1]","[0.9, 0.3]","[0.4, 0.0]","[0.6, 0.4]",0.70,0.50,28.32,44.91,4.32,-0.02,22.98,100.51
11,"[0.8, 0.6]","[0.9, 0.5]","[0.5, 0.3]","[0.2, 0.3]","[0.2, 0.2]",0.65,0.50,4.89,-16.28,46.78,15.64,-6.74,44.30
12,"[0.2, 0.7]","[0.9, 0.1]","[0.8, 0.3]","[0.6, 0.8]","[0.1, 0.7]",0.60,0.50,13.91,46.32,6.25,19.67,40.10,126.24
13,"[0.2, 0.8]","[0.6, 0.7]","[0.4, 0.9]","[0.5, 0.9]","[0.1, 0.7]",0.54,0.50,7.54,10.05,-2.95,-61.65,10.01,-36.99
14,"[0.0, 0.5]","[0.7, 0.4]","[0.5, 0.3]","[0.0, 0.7]","[0.1, 0.0]",0.48,0.48,27.31,45.94,-1.46,23.96,-0.35,95.39
15,"[0.0, 0.5]","[0.9, 0.1]","[0.8, 0.3]","[0.0, 0.7]","[0.9, 0.6]",0.40,0.40,29.65,45.77,6.23,25.19,-34.92,71.92
16,"[0.4, 0.4]","[0.9, 0.1]","[0.7, 0.2]","[0.0, 0.7]","[0.1, 0.7]",0.30,0.30,11.27,25.53,37.88,33.49,13.55,121.71
17,"[0.2, 0.6]","[0.9, 0.1]","[0.6, 0.3]","[0.0, 0.7]","[0.1, 0.7]",0.18,0.18,16.09,42.80,8.51,23.61,13.73,104.73
18,"[0.0, 0.5]","[0.2, 0.1]","[0.7, 0.2]","[0.0, 0.7]","[0.1, 0.7]",0.01,0.01,24.45,-7.85,49.31,29.98,13.57,109.46
19,"[0.0, 0.5]","[0.9, 0.1]","[0.7, 0.2]","[0.0, 0.7]","[0.1, 0.7]",0.01,0.01,27.00,43.29,38.13,33.35,15.80,157.58
