,action1,action2,action3,action4,action5,reward1,reward2,reward3,reward4,reward5,total_reward
0,"[1.0, 0.0]","[0.0, 1.0]","[1.0, 0.0]","[0.0, 1.0]","[1.0, 0.0]",94.39,93.27,87.51,108.38,95.49,479.03
1,"[1.0, 0.0]","[0.0, 1.0]","[1.0, 0.0]","[0.0, 1.0]","[1.0, 0.0]",87.98,95.49,100.81,108.75,90.45,483.47
2,"[1.0, 0.0]","[0.0, 1.0]","[1.0, 0.0]","[0.0, 1.0]","[1.0, 0.0]",98.85,89.35,87.94,94.76,87.63,458.53
3,"[1.0, 0.0]","[0.0, 1.0]","[1.0, 0.0]","[0.0, 1.0]","[1.0, 0.0]",90.53,103.14,97.21,94.45,104.71,490.03
4,"[1.0, 0.0]","[0.0, 1.0]","[1.0, 0.0]","[0.0, 1.0]","[1.0, 0.0]",93.67,96.15,97.33,97.75,98.36,483.27
5,"[1.0, 0.0]","[0.0, 1.0]","[1.0, 0.0]","[0.0, 1.0]","[1.0, 0.0]",92.43,92.83,99.84,106.38,88.36,479.85
6,"[1.0, 0.0]","[0.0, 1.0]","[1.0, 0.0]","[0.0, 1.0]","[1.0, 0.0]",107.05,94.58,100.28,89.17,91.28,482.37
7,"[1.0, 0.0]","[0.0, 1.0]","[1.0, 0.0]","[0.0, 1.0]","[1.0, 0.0]",96.77,88.90,85.96,105.15,95.58,472.35
8,"[1.0, 0.0]","[0.0, 1.0]","[1.0, 0.0]","[0.0, 1.0]","[1.0, 0.0]",96.33,105.38,88.26,89.00,102.79,481.75
9,"[1.0, 0.0]","[0.0, 1.0]","[1.0, 0.0]","[0.0, 1.0]","[1.0, 0.0]",98.98,94.36,102.79,100.70,98.13,494.96
10,"[1.0, 0.0]","[0.0, 1.0]","[1.0, 0.0]","[0.0, 1.0]","[1.0, 0.0]",92.27,101.68,94.52,106.21,95.96,490.63
11,"[1.0, 0.0]","[0.0, 1.0]","[1.0, 0.0]","[0.0, 1.0]","[1.0, 0.0]",97.77,106.49,94.92,98.96,92.08,490.22
12,"[1.0, 0.0]","[0.0, 1.0]","[1.0, 0.0]","[0.0, 1.0]","[1.0, 0.0]",94.21,96.00,96.94,106.41,101.11,494.67
13,"[1.0, 0.0]","[0.0, 1.0]","[1.0, 0.0]","[0.0, 1.0]","[1.0, 0.0]",91.38,89.54,104.62,95.22,90.08,470.84
14,"[1.0, 0.0]","[0.0, 1.0]","[1.0, 0.0]","[0.0, 1.0]","[1.0, 0.0]",91.70,106.70,103.35,95.61,102.23,499.59
15,"[1.0, 0.0]","[0.0, 1.0]","[1.0, 0.0]","[0.0, 1.0]","[1.0, 0.0]",89.83,109.12,91.68,108.20,88.86,487.70
16,"[1.0, 0.0]","[0.0, 1.0]","[1.0, 0.0]","[0.0, 1.0]","[1.0, 0.0]",103.75,98.00,92.01,103.57,98.27,495.61
17,"[1.0, 0.0]","[0.0, 1.0]","[1.0, 0.0]","[0.0, 1.0]","[1.0, 0.0]",95.80,90.53,98.17,105.36,90.25,480.10
18,"[1.0, 0.0]","[0.0, 1.0]","[1.0, 0.0]","[0.0, 1.0]","[1.0, 0.0]",103.82,97.16,99.54,105.58,98.99,505.10
19,"[1.0, 0.0]","[0.0, 1.0]","[1.0, 0.0]","[0.0, 1.0]","[1.0, 0.0]",101.91,98.18,101.71,107.51,93.80,503.11
