,action1,action2,action3,action4,action5,reward1,reward2,reward3,reward4,reward5,total_reward
0,"[1.0, 0.0]","[0.0, 1.0]","[1.0, 0.0]","[0.0, 1.0]","[1.0, 0.0]",91.14,95.63,97.11,108.44,96.58,488.90
1,"[1.0, 0.0]","[0.0, 1.0]","[1.0, 0.0]","[0.0, 1.0]","[1.0, 0.0]",96.16,99.22,87.47,93.49,92.55,468.89
2,"[1.0, 0.0]","[0.0, 1.0]","[1.0, 0.0]","[0.0, 1.0]","[1.0, 0.0]",104.19,89.04,86.55,94.18,101.23,475.18
3,"[1.0, 0.0]","[0.0, 1.0]","[1.0, 0.0]","[0.0, 1.0]","[1.0, 0.0]",90.69,96.38,93.59,94.95,90.02,465.63
4,"[1.0, 0.0]","[0.0, 1.0]","[1.0, 0.0]","[0.0, 1.0]","[1.0, 0.0]",106.07,92.67,87.96,92.09,91.91,470.70
5,"[1.0, 0.0]","[0.0, 1.0]","[1.0, 0.0]","[0.0, 1.0]","[1.0, 0.0]",105.04,101.39,88.17,95.02,96.51,486.12
6,"[1.0, 0.0]","[0.0, 1.0]","[1.0, 0.0]","[0.0, 1.0]","[1.0, 0.0]",88.31,101.45,93.74,101.04,95.84,480.37
7,"[1.0, 0.0]","[0.0, 1.0]","[1.0, 0.0]","[0.0, 1.0]","[1.0, 0.0]",98.61,101.82,92.85,98.81,97.24,489.34
8,"[1.0, 0.0]","[0.0, 1.0]","[1.0, 0.0]","[0.0, 1.0]","[1.0, 0.0]",89.48,99.86,103.84,94.46,86.20,473.84
9,"[1.0, 0.0]","[0.0, 1.0]","[1.0, 0.0]","[0.0, 1.0]","[1.0, 0.0]",89.81,106.88,94.53,98.66,87.68,477.56
10,"[1.0, 0.0]","[0.0, 1.0]","[1.0, 0.0]","[0.0, 1.0]","[1.0, 0.0]",97.28,91.04,103.11,104.74,95.33,491.50
11,"[1.0, 0.0]","[0.0, 1.0]","[1.0, 0.0]","[0.0, 1.0]","[1.0, 0.0]",88.43,92.14,101.50,107.19,90.13,479.39
12,"[1.0, 0.0]","[0.0, 1.0]","[1.0, 0.0]","[0.0, 1.0]","[1.0, 0.0]",106.24,91.54,94.39,105.46,97.41,495.04
13,"[1.0, 0.0]","[0.0, 1.0]","[1.0, 0.0]","[0.0, 1.0]","[1.0, 0.0]",100.06,95.34,89.84,98.99,93.95,478.17
14,"[1.0, 0.0]","[0.0, 1.0]","[1.0, 0.0]","[0.0, 1.0]","[1.0, 0.0]",99.81,108.00,88.61,94.72,93.29,484.43
15,"[1.0, 0.0]","[0.0, 1.0]","[1.0, 0.0]","[0.0, 1.0]","[1.0, 0.0]",105.96,106.97,87.63,89.60,96.63,486.79
16,"[1.0, 0.0]","[0.0, 1.0]","[1.0, 0.0]","[0.0, 1.0]","[1.0, 0.0]",91.60,96.56,94.58,98.68,104.60,486.02
17,"[1.0, 0.0]","[0.0, 1.0]","[1.0, 0.0]","[0.0, 1.0]","[1.0, 0.0]",92.43,105.47,85.81,107.52,92.12,483.35
18,"[1.0, 0.0]","[0.0, 1.0]","[1.0, 0.0]","[0.0, 1.0]","[1.0, 0.0]",102.07,92.32,103.87,105.93,85.66,489.85
19,"[1.0, 0.0]","[0.0, 1.0]","[1.0, 0.0]","[0.0, 1.0]","[1.0, 0.0]",89.57,95.36,99.72,93.49,103.18,481.33
