,action1,action2,action3,action4,action5,epsilon,lr,reward1,reward2,reward3,reward4,reward5,total_reward
0,"[0.0, 0.5]","[0.5, 0.4]","[0.3, 0.5]","[0.5, 0.5]","[0.7, 0.1]",1.00,0.50,27.59,14.25,-0.56,-42.27,-22.53,-23.53
1,"[0.7, 0.0]","[0.8, 0.9]","[0.6, 0.6]","[0.0, 0.6]","[0.6, 0.3]",0.98,0.50,50.25,24.59,0.92,17.24,53.95,146.95
2,"[0.3, 0.5]","[0.2, 0.2]","[0.6, 0.4]","[0.7, 0.1]","[0.5, 0.4]",0.95,0.50,57.12,1.14,0.31,-35.29,2.62,25.89
3,"[0.7, 0.6]","[0.4, 0.7]","[0.8, 0.5]","[0.2, 0.2]","[0.0, 0.1]",0.93,0.50,2.35,1.23,11.33,21.83,16.03,52.78
4,"[0.4, 0.8]","[0.6, 0.8]","[0.4, 0.4]","[0.7, 0.9]","[0.3, 0.0]",0.90,0.50,-36.74,-86.35,-4.87,6.10,0.01,-121.84
5,"[0.0, 0.5]","[0.8, 0.5]","[0.8, 0.5]","[0.9, 0.7]","[0.8, 0.0]",0.88,0.50,27.86,21.71,-4.13,1.76,-0.35,46.86
6,"[0.8, 0.4]","[0.1, 0.9]","[0.6, 0.0]","[0.8, 0.8]","[0.9, 0.5]",0.85,0.50,17.49,25.26,28.45,-85.35,-12.20,-26.34
7,"[0.1, 0.9]","[0.1, 0.9]","[0.4, 0.9]","[0.4, 0.2]","[0.6, 0.3]",0.81,0.50,64.98,10.13,-46.26,-5.26,-41.52,-17.93
8,"[0.2, 0.9]","[0.8, 0.9]","[0.0, 0.9]","[0.8, 0.3]","[0.1, 0.1]",0.78,0.50,41.66,51.28,21.69,51.73,12.07,178.44
9,"[0.0, 0.5]","[0.1, 0.2]","[0.7, 0.9]","[0.8, 0.8]","[0.0, 0.4]",0.74,0.50,26.85,12.23,22.12,-28.09,15.08,48.19
10,"[0.1, 0.9]","[0.2, 0.9]","[0.6, 0.0]","[0.5, 0.1]","[0.0, 0.1]",0.70,0.50,69.92,-10.65,19.24,-19.95,20.81,79.37
11,"[0.8, 0.8]","[0.4, 0.6]","[0.5, 0.8]","[0.8, 0.3]","[0.5, 0.5]",0.65,0.50,-12.13,28.23,-2.00,-7.32,4.26,11.05
12,"[0.2, 0.2]","[0.8, 0.9]","[0.7, 0.9]","[0.2, 0.2]","[0.0, 0.1]",0.60,0.50,-24.06,21.18,0.09,0.74,16.73,14.68
13,"[0.6, 0.9]","[0.0, 0.1]","[0.2, 0.1]","[0.8, 0.2]","[0.0, 0.1]",0.54,0.50,15.42,0.55,-17.52,66.43,14.81,79.69
14,"[0.1, 0.9]","[0.0, 0.4]","[0.6, 0.0]","[0.8, 0.2]","[0.0, 0.1]",0.48,0.48,62.66,3.75,32.78,-87.18,16.64,28.64
15,"[0.8, 0.4]","[0.9, 0.4]","[0.8, 0.7]","[0.5, 0.0]","[0.1, 0.3]",0.40,0.40,18.69,-8.91,10.68,-0.10,6.01,26.36
16,"[0.0, 0.5]","[0.5, 0.8]","[0.6, 0.0]","[0.0, 0.2]","[0.0, 0.1]",0.30,0.30,26.74,-0.21,3.62,40.79,18.17,89.12
17,"[0.1, 0.9]","[0.8, 0.9]","[0.7, 0.1]","[0.0, 0.2]","[0.0, 0.1]",0.18,0.18,63.95,48.91,-0.58,47.02,15.02,174.32
18,"[0.1, 0.9]","[0.8, 0.9]","[0.6, 0.0]","[0.0, 0.2]","[0.0, 0.1]",0.01,0.01,65.64,51.74,-0.47,38.90,14.59,170.40
19,"[0.1, 0.9]","[0.8, 0.9]","[0.6, 0.0]","[0.0, 0.2]","[0.0, 0.1]",0.01,0.01,61.07,46.09,-0.31,40.54,14.51,161.89
