,action1,action2,action3,action4,action5,epsilon,lr,reward1,reward2,reward3,reward4,reward5,total_reward
0,"[0.4, 0.5]","[0.1, 0.8]","[0.4, 0.7]","[0.9, 0.6]","[0.0, 0.2]",1.00,0.50,13.66,11.67,-76.93,43.72,17.97,10.09
1,"[0.0, 0.1]","[0.5, 0.5]","[0.2, 0.6]","[0.4, 0.7]","[0.8, 0.0]",0.98,0.50,28.33,-0.38,2.98,-28.58,22.17,24.52
2,"[0.7, 0.5]","[0.4, 0.1]","[0.8, 0.2]","[0.6, 0.6]","[0.0, 0.0]",0.95,0.50,5.95,-0.01,9.25,11.15,0.07,26.40
3,"[0.9, 0.3]","[0.2, 0.6]","[0.1, 0.6]","[0.1, 0.4]","[0.8, 0.0]",0.93,0.50,28.97,14.28,10.98,31.51,53.11,138.85
4,"[0.7, 0.3]","[0.4, 0.9]","[0.4, 0.6]","[0.8, 0.4]","[0.6, 0.2]",0.90,0.50,18.30,26.49,-18.31,9.09,12.09,47.67
5,"[0.3, 0.7]","[0.4, 0.8]","[0.4, 0.5]","[0.3, 0.3]","[0.8, 0.0]",0.88,0.50,-35.56,-44.79,-43.46,-18.21,31.11,-110.92
6,"[0.6, 0.1]","[0.4, 0.9]","[0.8, 0.3]","[0.0, 0.4]","[0.5, 0.8]",0.85,0.50,50.70,35.11,18.15,11.08,-0.66,114.38
7,"[0.5, 0.7]","[0.8, 0.1]","[0.4, 0.1]","[0.2, 0.5]","[0.2, 0.2]",0.81,0.50,7.59,3.22,12.72,10.50,-5.83,28.21
8,"[0.6, 0.1]","[0.1, 0.3]","[0.8, 0.3]","[0.0, 0.0]","[0.4, 0.7]",0.78,0.50,48.54,8.76,40.89,0.21,-14.56,83.84
9,"[0.5, 0.4]","[0.2, 0.0]","[0.8, 0.3]","[0.6, 0.2]","[0.8, 0.0]",0.74,0.50,2.53,-0.22,11.70,14.27,4.30,32.59
10,"[0.1, 0.4]","[0.6, 0.6]","[0.5, 0.0]","[0.2, 0.8]","[0.0, 0.7]",0.70,0.50,10.35,1.48,0.01,77.18,53.73,142.76
11,"[0.2, 0.3]","[0.1, 0.2]","[0.9, 0.9]","[0.1, 0.7]","[0.0, 0.7]",0.65,0.50,-1.69,32.17,-12.17,12.53,33.23,64.06
12,"[0.7, 0.2]","[0.4, 0.3]","[0.3, 0.2]","[0.2, 0.8]","[0.3, 0.0]",0.60,0.50,50.96,3.88,-20.18,21.18,1.31,57.15
13,"[0.4, 0.5]","[0.4, 0.9]","[0.8, 0.1]","[0.2, 0.8]","[0.0, 0.7]",0.54,0.50,14.71,18.99,17.94,71.77,55.02,178.43
14,"[0.8, 0.8]","[0.4, 0.9]","[0.8, 0.3]","[0.6, 0.7]","[0.3, 0.0]",0.48,0.48,-11.48,30.19,17.48,11.69,-0.44,47.45
15,"[0.6, 0.1]","[0.4, 0.9]","[0.8, 0.1]","[0.5, 0.5]","[0.0, 0.7]",0.40,0.40,50.67,32.06,17.68,12.35,10.04,122.80
16,"[0.6, 0.1]","[0.8, 0.4]","[0.2, 0.3]","[0.5, 0.6]","[0.0, 0.7]",0.30,0.30,55.04,19.62,42.88,8.88,10.34,136.76
17,"[0.9, 0.0]","[0.4, 0.9]","[0.9, 0.9]","[0.2, 0.8]","[0.0, 0.7]",0.18,0.18,75.65,84.81,33.88,15.87,51.20,261.41
18,"[0.6, 0.1]","[0.4, 0.9]","[0.8, 0.3]","[0.2, 0.8]","[0.0, 0.7]",0.01,0.01,53.27,37.30,18.62,25.30,52.85,187.35
19,"[0.6, 0.1]","[0.4, 0.9]","[0.8, 0.3]","[0.2, 0.8]","[0.0, 0.7]",0.01,0.01,57.49,36.78,18.40,27.33,49.54,189.54
