,action1,action2,action3,action4,action5,epsilon,lr,reward1,reward2,reward3,reward4,reward5,total_reward
0,"[0.6, 0.6]","[0.4, 0.1]","[0.2, 0.1]","[0.6, 0.8]","[0.7, 0.3]",1.00,0.50,1.98,-2.60,4.23,3.04,-34.30,-27.64
1,"[0.6, 0.3]","[0.7, 0.0]","[0.0, 0.9]","[0.3, 0.1]","[0.2, 0.4]",0.98,0.50,11.67,2.88,93.23,-2.85,2.73,107.66
2,"[0.7, 0.4]","[0.7, 0.4]","[0.9, 0.4]","[0.7, 0.7]","[0.7, 0.9]",0.95,0.50,10.27,-17.35,-41.64,11.93,-10.43,-47.20
3,"[0.8, 0.2]","[0.7, 0.0]","[0.7, 0.3]","[0.4, 0.9]","[0.3, 0.0]",0.93,0.50,24.80,-0.17,-5.12,26.60,-0.21,45.90
4,"[0.8, 0.2]","[0.6, 0.2]","[0.0, 0.9]","[0.3, 0.2]","[0.0, 0.7]",0.90,0.50,27.29,16.02,73.56,-9.06,32.78,140.60
5,"[0.8, 0.2]","[0.6, 0.2]","[0.0, 0.9]","[0.6, 0.7]","[0.8, 0.5]",0.88,0.50,29.26,16.92,72.48,34.99,-106.48,47.17
6,"[0.5, 0.6]","[0.1, 0.0]","[0.5, 0.0]","[0.5, 0.0]","[0.2, 0.9]",0.85,0.50,1.87,-0.02,15.28,1.69,65.72,84.53
7,"[0.2, 0.6]","[0.3, 0.3]","[0.6, 0.9]","[0.9, 0.9]","[0.3, 0.9]",0.81,0.50,16.40,-49.43,0.29,-47.03,20.12,-59.65
8,"[0.3, 0.3]","[0.6, 0.7]","[0.5, 0.9]","[0.1, 0.4]","[0.0, 0.6]",0.78,0.50,-10.47,5.71,-8.53,3.33,10.95,0.99
9,"[0.5, 0.1]","[0.6, 0.2]","[0.1, 0.3]","[0.8, 0.9]","[0.5, 0.6]",0.74,0.50,23.32,-109.18,14.31,-0.32,2.97,-68.89
10,"[0.1, 0.2]","[0.9, 0.8]","[0.2, 0.4]","[0.6, 0.7]","[0.7, 0.1]",0.70,0.50,19.82,-1.12,14.41,-0.49,-15.40,17.22
11,"[0.9, 0.1]","[0.6, 0.7]","[0.1, 0.8]","[0.2, 0.5]","[0.1, 0.5]",0.65,0.50,4.53,35.38,14.61,-13.25,7.80,49.06
12,"[0.9, 0.0]","[0.6, 0.7]","[0.0, 0.0]","[0.1, 0.5]","[0.5, 0.4]",0.60,0.50,77.17,51.53,0.12,14.27,-8.15,134.94
13,"[0.5, 0.5]","[0.6, 0.8]","[0.9, 0.4]","[0.4, 0.9]","[0.8, 0.8]",0.54,0.50,2.01,39.92,-41.63,25.41,12.70,38.41
14,"[0.5, 0.1]","[0.4, 0.6]","[0.0, 0.9]","[0.2, 0.4]","[0.7, 0.7]",0.48,0.48,23.03,13.97,12.75,-6.00,1.12,44.87
15,"[0.9, 0.0]","[0.6, 0.7]","[0.0, 0.9]","[0.9, 0.2]","[0.1, 0.4]",0.40,0.40,75.26,53.92,10.68,64.72,8.21,212.78
16,"[0.9, 0.0]","[0.7, 0.4]","[0.0, 0.9]","[0.9, 0.2]","[0.2, 0.9]",0.30,0.30,86.26,10.56,30.37,68.79,66.50,262.48
17,"[0.9, 0.0]","[0.6, 0.7]","[0.0, 0.9]","[0.9, 0.2]","[0.2, 0.9]",0.18,0.18,85.96,48.81,12.85,62.77,74.66,285.05
18,"[0.9, 0.0]","[0.6, 0.7]","[0.0, 0.9]","[0.9, 0.2]","[0.2, 0.9]",0.01,0.01,80.36,47.71,10.75,59.54,63.86,262.22
19,"[0.9, 0.0]","[0.6, 0.7]","[0.0, 0.9]","[0.9, 0.2]","[0.2, 0.9]",0.01,0.01,83.91,52.14,12.51,61.19,74.36,284.10
