,action1,action2,action3,action4,action5,epsilon,lr,reward1,reward2,reward3,reward4,reward5,total_reward
0,"[0.8, 0.5]","[0.2, 0.0]","[0.4, 0.5]","[0.8, 0.0]","[0.7, 0.2]",1.00,0.50,11.90,-0.11,54.09,21.70,2.20,89.77
1,"[0.2, 0.1]","[0.8, 0.1]","[0.7, 0.6]","[0.4, 0.9]","[0.7, 0.4]",0.98,0.50,-16.48,45.79,15.49,3.51,4.20,52.51
2,"[0.8, 0.9]","[0.6, 0.9]","[0.3, 0.1]","[0.6, 0.4]","[0.0, 0.1]",0.95,0.50,-1.47,5.32,-0.34,1.41,9.10,14.02
3,"[0.1, 0.0]","[0.9, 0.0]","[0.8, 0.3]","[0.2, 0.3]","[0.5, 0.3]",0.93,0.50,2.70,68.01,4.21,31.90,-36.18,70.65
4,"[0.0, 0.7]","[0.8, 0.8]","[0.7, 0.8]","[0.0, 0.3]","[0.8, 0.8]",0.90,0.50,61.82,25.13,4.69,8.81,5.74,106.18
5,"[0.5, 0.6]","[0.4, 0.7]","[0.0, 0.5]","[0.7, 0.0]","[0.7, 0.5]",0.88,0.50,2.00,-7.17,57.87,53.30,15.76,121.77
6,"[0.6, 0.0]","[0.9, 0.7]","[0.9, 0.6]","[0.7, 0.0]","[0.4, 0.7]",0.85,0.50,41.46,-31.72,24.81,-0.37,36.08,70.28
7,"[0.4, 0.9]","[0.0, 0.2]","[0.5, 0.1]","[0.9, 0.6]","[0.3, 0.6]",0.81,0.50,14.98,1.42,17.54,1.37,17.63,52.94
8,"[0.7, 0.2]","[0.3, 0.0]","[0.0, 0.5]","[0.4, 0.5]","[0.4, 0.7]",0.78,0.50,48.69,-0.47,25.86,-17.04,4.87,61.91
9,"[0.3, 0.0]","[0.9, 0.0]","[0.4, 0.7]","[0.2, 0.3]","[0.4, 0.7]",0.74,0.50,6.48,38.32,51.82,5.15,48.97,150.74
10,"[0.0, 0.7]","[0.9, 0.8]","[0.0, 0.5]","[0.6, 0.9]","[0.4, 0.7]",0.70,0.50,69.91,-0.45,30.10,1.10,-4.14,96.53
11,"[0.0, 0.7]","[0.4, 0.2]","[0.7, 0.2]","[0.5, 0.4]","[0.5, 0.4]",0.65,0.50,69.72,-7.08,-31.31,0.33,-33.42,-1.76
12,"[0.0, 0.7]","[0.9, 0.0]","[0.4, 0.7]","[0.7, 0.0]","[0.4, 0.9]",0.60,0.50,67.62,76.64,56.81,12.07,60.78,273.91
13,"[0.0, 0.6]","[0.2, 0.6]","[0.4, 0.7]","[0.7, 0.0]","[0.2, 0.9]",0.54,0.50,35.82,-15.52,-27.91,12.69,69.93,75.01
14,"[0.0, 0.7]","[0.9, 0.0]","[0.7, 0.0]","[0.7, 0.0]","[0.2, 0.9]",0.48,0.48,62.08,80.31,0.03,0.53,77.30,220.25
15,"[0.4, 0.6]","[0.9, 0.0]","[0.0, 0.5]","[0.7, 0.4]","[0.1, 0.0]",0.40,0.40,7.40,30.08,24.12,52.36,-0.13,113.84
16,"[0.0, 0.7]","[0.6, 0.6]","[0.7, 0.2]","[0.7, 0.4]","[0.2, 0.9]",0.30,0.30,57.72,66.90,-47.29,-2.14,20.63,95.82
17,"[0.0, 0.7]","[0.9, 0.0]","[0.4, 0.5]","[0.7, 0.4]","[0.2, 0.9]",0.18,0.18,65.63,77.16,21.14,-25.73,23.37,161.57
18,"[0.0, 0.7]","[0.9, 0.0]","[0.0, 0.5]","[0.8, 0.0]","[0.2, 0.9]",0.01,0.01,62.46,78.28,22.86,55.96,78.19,297.76
19,"[0.0, 0.7]","[0.9, 0.0]","[0.0, 0.5]","[0.8, 0.0]","[0.2, 0.9]",0.01,0.01,65.85,75.22,23.13,62.79,78.08,305.07
