,action1,action2,action3,action4,action5,reward1,reward2,reward3,reward4,reward5,total_reward
0,"[0.5, 0.4]","[0.7, 0.4]","[0.1, 0.5]","[0.2, 0.7]","[0.1, 0.8]",2.53,-45.77,8.31,1.35,10.76,-22.83
1,"[0.3, 0.5]","[0.7, 0.0]","[0.0, 0.9]","[0.1, 0.8]","[0.1, 0.8]",53.93,21.37,79.81,7.11,32.05,194.26
2,"[0.6, 0.5]","[0.7, 0.0]","[0.0, 0.9]","[0.0, 0.3]","[0.1, 0.0]",2.99,2.49,79.76,2.22,-0.27,87.20
3,"[0.3, 0.2]","[0.7, 0.0]","[0.0, 0.9]","[0.0, 0.3]","[0.1, 0.8]",-81.64,19.83,88.18,2.32,21.38,50.07
4,"[0.3, 0.5]","[0.3, 0.1]","[0.0, 0.9]","[0.0, 0.3]","[0.1, 0.8]",51.64,-9.82,100.09,2.27,17.82,162.00
5,"[0.1, 0.9]","[0.7, 0.0]","[0.0, 0.9]","[0.9, 0.8]","[0.1, 0.8]",68.91,40.79,78.80,20.87,54.51,263.88
6,"[0.3, 0.5]","[0.4, 0.0]","[0.0, 0.9]","[0.9, 0.8]","[0.6, 0.5]",54.80,2.10,81.77,19.42,20.03,178.13
7,"[0.8, 0.2]","[0.7, 0.7]","[0.3, 0.2]","[0.8, 0.0]","[0.1, 0.8]",28.62,15.42,4.39,31.57,113.88,193.88
8,"[0.3, 0.5]","[0.1, 0.8]","[0.0, 0.9]","[0.9, 0.8]","[0.1, 0.8]",49.79,9.36,49.85,20.51,58.17,187.68
9,"[0.3, 0.5]","[0.7, 0.0]","[0.1, 0.8]","[0.9, 0.8]","[0.1, 0.8]",52.30,22.42,113.47,19.95,48.86,257.00
10,"[0.3, 0.5]","[0.7, 0.0]","[0.0, 0.9]","[0.1, 0.4]","[0.1, 0.8]",55.16,23.34,92.43,0.59,15.85,187.38
11,"[0.5, 0.6]","[0.7, 0.0]","[0.0, 0.9]","[0.0, 0.4]","[0.1, 0.8]",1.98,7.82,91.59,4.02,14.43,119.83
12,"[0.3, 0.5]","[0.7, 0.0]","[0.0, 0.9]","[0.9, 0.8]","[0.1, 0.8]",56.42,21.84,87.18,18.90,53.50,237.85
13,"[0.3, 0.5]","[0.7, 0.0]","[0.0, 0.9]","[0.9, 0.8]","[0.1, 0.8]",50.22,21.52,89.81,17.52,49.16,228.22
14,"[0.3, 0.5]","[0.6, 0.8]","[0.0, 0.9]","[0.9, 0.8]","[0.1, 0.8]",54.93,3.35,45.31,19.34,52.27,175.21
15,"[0.3, 0.5]","[0.7, 0.0]","[0.0, 0.9]","[0.9, 0.8]","[0.1, 0.8]",51.45,20.31,86.71,18.47,53.09,230.03
16,"[0.3, 0.5]","[0.7, 0.0]","[0.0, 0.9]","[0.9, 0.8]","[0.1, 0.8]",58.41,22.89,83.81,20.00,56.04,241.16
17,"[0.3, 0.5]","[0.7, 0.0]","[0.0, 0.9]","[0.9, 0.8]","[0.1, 0.8]",50.02,23.08,78.74,21.04,51.71,224.58
18,"[0.3, 0.5]","[0.7, 0.0]","[0.0, 0.9]","[0.9, 0.8]","[0.1, 0.8]",50.38,22.80,88.51,17.86,52.07,231.62
19,"[0.3, 0.5]","[0.7, 0.0]","[0.0, 0.9]","[0.9, 0.8]","[0.1, 0.8]",52.44,23.95,84.40,17.77,56.43,234.99
