,action1,action2,action3,action4,action5,reward1,reward2,reward3,reward4,reward5,total_reward
0,"[0.1, 0.9]","[0.2, 0.1]","[0.5, 0.3]","[0.9, 0.9]","[0.1, 0.8]",60.72,-0.93,-11.85,-0.12,15.50,63.32
1,"[0.4, 0.7]","[0.2, 0.3]","[0.8, 0.6]","[0.9, 0.0]","[0.4, 0.4]",-12.35,5.28,4.13,0.11,11.53,8.70
2,"[0.3, 0.4]","[0.5, 0.3]","[0.8, 0.6]","[0.1, 0.8]","[0.1, 0.3]",43.20,-90.90,9.14,8.94,3.63,-25.99
3,"[0.1, 0.9]","[0.1, 0.1]","[0.7, 0.5]","[0.1, 0.8]","[0.0, 0.1]",70.23,-0.02,2.82,13.97,1.45,88.45
4,"[0.7, 0.6]","[0.8, 0.9]","[0.8, 0.6]","[0.1, 0.8]","[0.1, 0.8]",2.64,6.36,-3.68,9.29,28.11,42.72
5,"[0.3, 0.2]","[0.2, 0.8]","[0.8, 0.4]","[0.1, 0.8]","[0.1, 0.8]",-81.88,21.94,46.15,20.65,30.46,37.32
6,"[0.1, 0.9]","[0.9, 0.4]","[0.8, 0.4]","[0.1, 0.8]","[0.6, 0.6]",62.25,48.20,10.23,21.99,41.76,184.43
7,"[0.1, 0.9]","[0.9, 0.9]","[0.4, 0.8]","[0.1, 0.8]","[0.1, 0.8]",71.14,36.80,13.11,46.25,32.88,200.18
8,"[0.8, 0.8]","[0.8, 0.4]","[0.1, 0.6]","[0.6, 0.2]","[0.1, 0.8]",-10.72,-4.73,11.23,32.04,37.98,65.79
9,"[0.1, 0.9]","[0.9, 0.4]","[0.8, 0.4]","[0.1, 0.8]","[0.1, 0.8]",73.63,51.55,11.31,21.55,29.61,187.65
10,"[0.1, 0.9]","[0.9, 0.4]","[0.8, 0.4]","[0.3, 0.3]","[0.1, 0.8]",72.68,50.69,11.62,38.24,20.63,193.86
11,"[0.1, 0.9]","[0.7, 0.8]","[0.8, 0.4]","[0.1, 0.8]","[0.1, 0.8]",67.23,49.56,-26.90,18.84,28.98,137.71
12,"[0.4, 0.4]","[0.9, 0.4]","[0.2, 0.8]","[0.9, 0.2]","[0.1, 0.8]",11.92,14.92,19.66,50.65,40.99,138.14
13,"[0.1, 0.9]","[0.9, 0.4]","[0.8, 0.4]","[0.1, 0.8]","[0.1, 0.8]",70.03,56.61,11.66,21.24,30.37,189.91
14,"[0.1, 0.9]","[0.6, 0.9]","[0.8, 0.4]","[0.1, 0.8]","[0.1, 0.8]",72.92,29.33,-21.44,20.78,33.20,134.80
15,"[0.1, 0.9]","[0.9, 0.4]","[0.8, 0.4]","[0.1, 0.8]","[0.1, 0.8]",66.03,52.40,9.63,21.54,29.07,178.67
16,"[0.1, 0.9]","[0.9, 0.4]","[0.8, 0.4]","[0.1, 0.8]","[0.1, 0.8]",69.16,51.04,11.91,22.23,29.32,183.66
17,"[0.1, 0.9]","[0.9, 0.4]","[0.8, 0.4]","[0.1, 0.8]","[0.1, 0.8]",73.05,52.97,11.20,20.87,27.21,185.30
18,"[0.1, 0.9]","[0.9, 0.4]","[0.8, 0.4]","[0.1, 0.8]","[0.1, 0.8]",72.40,48.11,10.56,20.13,32.94,184.14
19,"[0.1, 0.9]","[0.9, 0.4]","[0.8, 0.4]","[0.1, 0.8]","[0.1, 0.8]",72.06,55.23,10.85,19.10,32.59,189.83
