,action1,action2,action3,action4,action5,reward1,reward2,reward3,reward4,reward5,total_reward
0,"[0.7, 0.0]","[0.3, 0.1]","[0.2, 0.8]","[0.5, 0.6]","[0.4, 0.3]",53.35,14.10,36.15,-37.38,-26.52,39.71
1,"[0.4, 0.9]","[0.0, 0.3]","[0.3, 0.2]","[0.9, 0.4]","[0.6, 0.5]",14.77,2.49,-99.49,10.56,5.29,-66.39
2,"[0.4, 0.7]","[0.0, 0.3]","[0.0, 0.3]","[0.5, 0.5]","[0.6, 0.5]",-12.10,19.90,33.16,0.78,-44.40,-2.65
3,"[0.9, 0.9]","[0.9, 0.6]","[0.0, 0.3]","[0.0, 0.0]","[0.5, 0.0]",-22.08,4.38,36.39,-0.02,22.92,41.60
4,"[0.9, 0.5]","[0.3, 0.4]","[0.0, 0.3]","[0.1, 0.0]","[0.4, 0.9]",53.03,35.20,43.80,-0.44,4.31,135.91
5,"[0.8, 0.7]","[0.4, 0.1]","[0.0, 0.3]","[0.5, 0.7]","[0.5, 0.0]",-4.04,0.98,12.19,-0.72,1.62,10.02
6,"[0.9, 0.5]","[0.3, 0.4]","[0.5, 0.9]","[0.1, 0.0]","[0.5, 0.0]",57.24,39.01,33.93,0.11,18.32,148.61
7,"[0.3, 0.0]","[0.7, 0.2]","[0.0, 0.3]","[0.4, 0.7]","[0.3, 0.5]",5.73,11.79,17.43,11.60,-20.35,26.21
8,"[0.9, 0.5]","[0.3, 0.4]","[0.0, 0.3]","[0.0, 0.9]","[0.5, 0.0]",56.99,39.64,53.85,42.93,21.38,214.79
9,"[0.4, 0.7]","[0.3, 0.4]","[0.6, 0.6]","[0.0, 0.9]","[0.5, 0.0]",-12.15,-17.36,1.10,11.42,23.44,6.45
10,"[0.9, 0.5]","[0.3, 0.4]","[0.0, 0.3]","[0.0, 0.9]","[0.5, 0.0]",53.50,34.74,51.40,38.17,22.65,200.46
11,"[0.9, 0.5]","[0.3, 0.4]","[0.0, 0.3]","[0.0, 0.9]","[0.5, 0.0]",52.36,32.42,45.22,42.43,21.05,193.48
12,"[0.2, 0.2]","[0.3, 0.4]","[0.5, 0.9]","[0.0, 0.9]","[0.6, 0.4]",-22.09,-2.67,35.83,19.15,34.21,64.43
13,"[0.9, 0.5]","[0.3, 0.4]","[0.7, 0.4]","[0.0, 0.5]","[0.5, 0.0]",52.96,33.55,5.39,9.68,22.85,124.42
14,"[0.9, 0.5]","[0.3, 0.4]","[0.3, 0.4]","[0.0, 0.9]","[0.5, 0.0]",47.73,32.20,-18.47,26.99,22.30,110.77
15,"[0.9, 0.5]","[0.3, 0.4]","[0.0, 0.3]","[0.0, 0.9]","[0.5, 0.0]",56.74,38.16,48.41,36.69,24.24,204.25
16,"[0.9, 0.5]","[0.3, 0.4]","[0.0, 0.3]","[0.0, 0.9]","[0.5, 0.0]",47.70,36.55,46.29,37.69,25.20,193.43
17,"[0.9, 0.5]","[0.3, 0.4]","[0.0, 0.3]","[0.0, 0.9]","[0.5, 0.0]",56.93,33.05,48.44,35.61,22.86,196.90
18,"[0.9, 0.5]","[0.3, 0.4]","[0.0, 0.3]","[0.0, 0.9]","[0.5, 0.0]",52.89,33.83,51.85,42.43,24.80,205.81
19,"[0.9, 0.5]","[0.3, 0.4]","[0.0, 0.3]","[0.0, 0.9]","[0.5, 0.0]",56.35,37.82,49.88,39.41,21.30,204.76
