,action1,action2,action3,action4,action5,reward1,reward2,reward3,reward4,reward5,total_reward
0,"[0.5, 0.3]","[0.7, 0.7]","[0.8, 0.0]","[0.9, 0.3]","[0.7, 0.2]",5.22,42.27,1.08,-2.75,35.79,81.61
1,"[0.3, 0.9]","[0.8, 0.4]","[0.5, 0.6]","[0.1, 0.2]","[0.3, 0.7]",6.64,28.42,5.39,13.03,25.62,79.09
2,"[0.3, 0.9]","[0.9, 0.0]","[0.6, 0.3]","[0.1, 0.2]","[0.7, 0.5]",7.19,36.28,5.94,40.29,4.91,94.61
3,"[0.2, 0.2]","[0.8, 0.1]","[0.8, 0.9]","[0.1, 0.2]","[0.9, 0.4]",-23.55,47.93,38.86,1.13,23.18,87.56
4,"[0.3, 0.9]","[0.8, 0.1]","[0.0, 0.1]","[0.8, 0.2]","[0.9, 0.4]",6.65,29.60,21.15,23.22,-0.89,79.73
5,"[0.3, 0.9]","[0.8, 0.1]","[0.9, 0.5]","[0.5, 0.4]","[0.8, 0.7]",7.33,31.71,9.09,34.19,8.97,91.29
6,"[0.1, 0.7]","[0.9, 0.5]","[0.8, 0.9]","[0.5, 0.5]","[0.4, 0.1]",47.64,21.32,13.17,1.96,-8.04,76.04
7,"[0.1, 0.7]","[0.8, 0.1]","[0.4, 0.3]","[0.1, 0.0]","[0.6, 0.5]",40.83,45.98,6.61,-0.04,-0.77,92.60
8,"[0.1, 0.7]","[0.8, 0.1]","[0.8, 0.9]","[0.1, 0.2]","[0.1, 0.7]",42.66,51.63,36.26,1.43,21.09,153.08
9,"[0.7, 0.8]","[0.3, 0.5]","[0.2, 0.0]","[0.5, 0.4]","[0.3, 0.9]",41.96,14.92,-0.34,8.39,14.64,79.57
10,"[0.1, 0.7]","[0.8, 0.1]","[0.4, 0.7]","[0.5, 0.4]","[0.2, 0.2]",47.89,45.83,29.10,-82.55,20.40,60.66
11,"[0.1, 0.7]","[0.8, 0.1]","[0.6, 0.1]","[0.1, 0.2]","[0.7, 0.2]",39.30,52.41,5.14,40.23,70.55,207.63
12,"[0.1, 0.7]","[0.8, 0.1]","[0.8, 0.9]","[0.1, 0.2]","[0.7, 0.2]",43.99,47.57,33.18,0.87,72.45,198.07
13,"[0.1, 0.7]","[0.8, 0.1]","[0.8, 0.9]","[0.1, 0.2]","[0.7, 0.2]",44.84,46.53,36.20,1.34,69.09,198.00
14,"[0.1, 0.7]","[0.8, 0.1]","[0.8, 0.9]","[0.1, 0.2]","[0.7, 0.2]",44.99,46.68,38.37,1.07,76.52,207.63
15,"[0.1, 0.7]","[0.8, 0.1]","[0.8, 0.9]","[0.1, 0.2]","[0.7, 0.2]",42.53,50.16,37.40,0.89,73.10,204.08
16,"[0.1, 0.7]","[0.8, 0.1]","[0.8, 0.9]","[0.1, 0.2]","[0.7, 0.2]",43.49,44.90,38.12,0.86,78.48,205.85
17,"[0.1, 0.7]","[0.8, 0.1]","[0.8, 0.9]","[0.1, 0.2]","[0.4, 0.6]",43.78,48.66,33.26,0.85,31.46,158.01
18,"[0.1, 0.7]","[0.8, 0.1]","[0.8, 0.9]","[0.1, 0.2]","[0.7, 0.2]",40.42,47.27,37.39,1.29,69.97,196.33
19,"[0.1, 0.7]","[0.8, 0.1]","[0.8, 0.9]","[0.1, 0.2]","[0.7, 0.2]",42.71,46.08,34.78,1.56,72.97,198.10
