,action1,action2,action3,action4,action5,epsilon,lr,reward1,reward2,reward3,reward4,reward5,total_reward
0,"[0.7, 0.7]","[0.5, 0.6]","[0.5, 0.9]","[0.6, 0.0]","[0.6, 0.2]",1.00,0.50,10.33,-1.53,8.85,3.24,-53.26,-32.37
1,"[0.6, 0.0]","[0.7, 0.9]","[0.0, 0.2]","[0.0, 0.2]","[0.4, 0.8]",0.98,0.50,38.89,11.16,1.28,53.48,-1.09,103.72
2,"[0.4, 0.2]","[0.6, 0.4]","[0.7, 0.7]","[0.2, 0.6]","[0.3, 0.6]",0.95,0.50,-33.89,-2.61,33.84,36.04,-27.63,5.75
3,"[0.6, 0.0]","[0.1, 0.7]","[0.7, 0.9]","[0.7, 0.1]","[0.4, 0.8]",0.93,0.50,35.33,57.17,19.33,-1.34,44.43,154.92
4,"[0.5, 0.9]","[0.7, 0.3]","[0.7, 0.7]","[0.0, 0.2]","[0.3, 0.3]",0.90,0.50,16.37,-9.88,12.64,7.54,-56.34,-29.67
5,"[0.8, 0.0]","[0.8, 0.0]","[0.7, 0.1]","[0.2, 0.6]","[0.8, 0.7]",0.88,0.50,60.33,-0.45,0.78,20.75,16.87,98.29
6,"[0.5, 0.7]","[0.0, 0.9]","[0.8, 0.0]","[0.8, 0.7]","[0.6, 0.9]",0.85,0.50,7.48,10.54,65.50,23.35,2.09,108.95
7,"[0.8, 0.1]","[0.6, 0.5]","[0.2, 0.6]","[0.4, 0.2]","[0.2, 0.2]",0.81,0.50,42.17,9.33,4.71,-51.74,15.04,19.51
8,"[0.8, 0.0]","[0.4, 0.4]","[0.6, 0.4]","[0.5, 0.2]","[0.3, 0.1]",0.78,0.50,65.47,8.87,-39.54,-27.07,-2.59,5.14
9,"[0.3, 0.8]","[0.1, 0.7]","[0.9, 0.1]","[0.2, 0.6]","[0.1, 0.5]",0.74,0.50,-82.32,38.48,52.05,28.96,23.95,61.12
10,"[0.6, 0.9]","[0.8, 0.3]","[0.0, 0.1]","[0.3, 0.2]","[0.4, 0.8]",0.70,0.50,14.48,-16.67,13.07,-95.24,1.52,-82.84
11,"[0.8, 0.0]","[0.1, 0.7]","[0.8, 0.0]","[0.2, 0.6]","[0.3, 0.7]",0.65,0.50,61.11,54.68,45.75,30.31,-12.80,179.05
12,"[0.8, 0.0]","[0.4, 0.1]","[0.0, 0.8]","[0.8, 0.4]","[0.1, 0.5]",0.60,0.50,57.72,15.34,72.36,41.75,8.46,195.63
13,"[0.4, 0.5]","[0.1, 0.7]","[0.6, 0.8]","[0.2, 0.6]","[0.0, 0.2]",0.54,0.50,14.99,6.40,15.78,26.53,15.33,79.03
14,"[0.9, 0.7]","[0.3, 0.9]","[0.8, 0.0]","[0.8, 0.4]","[0.5, 0.9]",0.48,0.48,-32.16,10.45,28.27,5.51,16.26,28.33
15,"[0.0, 0.4]","[0.1, 0.7]","[0.0, 0.8]","[0.9, 0.6]","[0.4, 0.0]",0.40,0.40,17.66,8.45,18.47,-15.91,0.11,28.77
16,"[0.2, 0.4]","[0.0, 0.0]","[0.4, 0.6]","[0.6, 0.6]","[0.4, 0.8]",0.30,0.30,9.92,0.21,3.94,-41.41,-0.09,-27.44
17,"[0.8, 0.0]","[0.0, 0.2]","[0.8, 0.0]","[0.2, 0.6]","[0.1, 0.5]",0.18,0.18,68.00,39.58,57.12,27.45,26.97,219.13
18,"[0.8, 0.0]","[0.1, 0.7]","[0.8, 0.0]","[0.2, 0.6]","[0.1, 0.5]",0.01,0.01,67.66,63.66,55.66,33.24,26.79,247.00
19,"[0.8, 0.0]","[0.1, 0.7]","[0.8, 0.0]","[0.2, 0.6]","[0.1, 0.5]",0.01,0.01,60.85,54.12,54.33,27.26,26.99,223.56
