,action1,action2,action3,action4,action5,epsilon,lr,reward1,reward2,reward3,reward4,reward5,total_reward
0,"[0.2, 0.8]","[0.3, 0.3]","[0.8, 0.6]","[0.5, 0.6]","[0.6, 0.5]",1.00,0.50,7.54,-20.98,1.20,7.03,-80.78,-85.99
1,"[0.1, 0.2]","[0.5, 0.6]","[0.9, 0.1]","[0.0, 0.7]","[0.2, 0.3]",0.98,0.50,22.27,1.28,10.24,37.26,-18.73,52.32
2,"[0.1, 0.5]","[0.0, 0.8]","[0.6, 0.2]","[0.1, 0.5]","[0.4, 0.9]",0.95,0.50,18.82,16.68,38.26,11.05,32.61,117.42
3,"[0.7, 0.8]","[0.2, 0.5]","[0.9, 0.0]","[0.5, 0.7]","[0.6, 0.2]",0.93,0.50,40.28,21.46,50.18,57.03,-38.95,130.00
4,"[0.2, 0.7]","[0.0, 0.7]","[0.1, 0.0]","[0.2, 0.4]","[0.3, 0.4]",0.90,0.50,14.54,34.12,-0.19,5.21,-30.89,22.79
5,"[0.4, 0.6]","[0.0, 0.3]","[0.0, 0.9]","[0.7, 0.1]","[0.3, 0.7]",0.88,0.50,7.86,37.36,39.56,50.19,29.24,164.21
6,"[0.4, 0.6]","[0.8, 0.1]","[0.7, 0.3]","[0.9, 0.4]","[0.8, 0.5]",0.85,0.50,6.72,14.86,-0.79,-20.15,4.23,4.88
7,"[0.6, 0.5]","[0.7, 0.4]","[0.9, 0.1]","[0.6, 0.1]","[0.5, 0.6]",0.81,0.50,2.99,-80.13,-32.64,14.92,15.32,-79.53
8,"[0.3, 0.7]","[0.4, 0.9]","[0.4, 0.0]","[0.0, 0.2]","[0.0, 0.0]",0.78,0.50,-37.06,-30.85,0.99,39.38,-0.10,-27.64
9,"[0.7, 0.8]","[0.4, 0.4]","[0.9, 0.0]","[0.8, 0.7]","[0.1, 0.7]",0.74,0.50,42.94,3.13,30.64,47.27,29.35,153.33
10,"[0.7, 0.8]","[0.0, 0.3]","[0.9, 0.0]","[0.9, 0.4]","[0.7, 0.5]",0.70,0.50,38.47,7.90,78.57,8.10,5.29,138.33
11,"[0.1, 0.7]","[0.5, 0.7]","[0.9, 0.0]","[0.6, 0.7]","[0.3, 0.0]",0.65,0.50,45.90,-7.53,18.50,54.04,-0.43,110.46
12,"[0.2, 0.4]","[0.0, 0.7]","[0.9, 0.0]","[0.7, 0.6]","[0.4, 0.0]",0.60,0.50,8.54,18.15,71.29,27.31,-0.25,125.04
13,"[0.7, 0.8]","[0.0, 0.7]","[0.9, 0.0]","[0.7, 0.2]","[0.5, 0.8]",0.54,0.50,39.53,48.40,70.73,28.39,19.64,206.69
14,"[0.6, 0.2]","[0.0, 0.7]","[0.0, 0.7]","[0.5, 0.7]","[0.4, 0.9]",0.48,0.48,52.30,32.68,35.73,13.84,-8.92,125.62
15,"[0.7, 0.8]","[0.3, 0.0]","[0.9, 0.0]","[0.6, 0.0]","[0.1, 0.7]",0.40,0.40,35.77,-0.39,41.92,-0.33,51.14,128.10
16,"[0.7, 0.8]","[0.0, 0.7]","[0.9, 0.0]","[0.6, 0.0]","[0.1, 0.7]",0.30,0.30,42.24,47.14,80.96,0.04,58.69,229.07
17,"[0.7, 0.8]","[0.0, 0.7]","[0.9, 0.0]","[0.6, 0.7]","[0.1, 0.7]",0.18,0.18,37.94,48.97,73.01,45.96,29.45,235.33
18,"[0.7, 0.8]","[0.0, 0.7]","[0.9, 0.0]","[0.6, 0.7]","[0.1, 0.7]",0.01,0.01,39.61,48.44,71.39,53.89,31.70,245.03
19,"[0.7, 0.8]","[0.0, 0.7]","[0.9, 0.0]","[0.6, 0.7]","[0.1, 0.7]",0.01,0.01,39.59,54.27,80.06,55.54,31.90,261.36
