,action1,action2,action3,action4,action5,epsilon,lr,reward1,reward2,reward3,reward4,reward5,total_reward
0,"[0.2, 0.6]","[0.7, 0.2]","[0.7, 0.2]","[0.0, 0.5]","[0.9, 0.3]",1.00,0.50,15.88,33.97,-42.46,16.84,-35.74,-11.51
1,"[0.8, 0.9]","[0.9, 0.0]","[0.6, 0.8]","[0.5, 0.9]","[0.5, 0.9]",0.98,0.50,-1.74,0.00,90.08,-28.72,-40.11,19.52
2,"[0.6, 0.1]","[0.0, 0.8]","[0.3, 0.3]","[0.5, 0.6]","[0.6, 0.3]",0.95,0.50,49.56,65.91,-35.88,30.72,-90.79,19.52
3,"[0.3, 0.0]","[0.4, 0.3]","[0.0, 0.8]","[0.8, 0.3]","[0.4, 0.8]",0.93,0.50,5.92,-11.95,27.83,53.34,23.48,98.63
4,"[0.5, 0.7]","[0.7, 0.7]","[0.1, 0.4]","[0.5, 0.4]","[0.9, 0.8]",0.90,0.50,7.71,-61.84,37.39,-4.83,1.09,-20.48
5,"[0.6, 0.1]","[0.8, 0.3]","[0.2, 0.0]","[0.7, 0.2]","[0.4, 0.4]",0.88,0.50,51.69,-31.57,-0.12,35.51,2.01,57.53
6,"[0.2, 0.6]","[0.3, 0.7]","[0.0, 0.4]","[0.7, 0.6]","[0.6, 0.3]",0.85,0.50,18.45,-14.51,36.31,9.49,-16.10,33.65
7,"[0.6, 0.1]","[0.8, 0.5]","[0.6, 0.8]","[0.8, 0.3]","[0.9, 0.3]",0.81,0.50,50.31,51.28,6.93,-40.32,-12.95,55.25
8,"[0.4, 0.4]","[0.0, 0.3]","[0.6, 0.8]","[0.8, 0.8]","[0.2, 0.8]",0.78,0.50,11.75,45.19,-0.84,-117.39,43.96,-17.32
9,"[0.5, 0.4]","[0.0, 0.2]","[0.8, 0.3]","[0.2, 0.2]","[0.8, 0.5]",0.74,0.50,2.46,40.32,23.97,46.34,4.53,117.61
10,"[0.1, 0.8]","[0.9, 0.6]","[0.7, 0.8]","[0.9, 0.0]","[0.9, 0.3]",0.70,0.50,75.52,31.05,5.52,2.56,3.37,118.02
11,"[0.6, 0.1]","[0.8, 0.1]","[0.3, 0.2]","[0.2, 0.2]","[0.4, 0.2]",0.65,0.50,53.15,-65.97,39.45,4.42,-112.09,-81.04
12,"[0.6, 0.1]","[0.0, 0.8]","[0.1, 0.4]","[0.7, 0.3]","[0.7, 0.2]",0.60,0.50,50.90,74.32,7.57,65.18,-36.60,161.36
13,"[0.6, 0.1]","[0.9, 0.1]","[0.3, 0.2]","[0.7, 0.5]","[0.2, 0.8]",0.54,0.50,54.80,-42.49,49.57,-0.16,10.85,72.57
14,"[0.6, 0.1]","[0.0, 0.8]","[0.5, 0.7]","[0.7, 0.3]","[0.9, 0.6]",0.48,0.48,56.22,74.71,24.16,-49.46,32.76,138.39
15,"[0.6, 0.1]","[0.1, 0.8]","[0.3, 0.2]","[0.1, 0.7]","[0.8, 0.8]",0.40,0.40,52.64,67.56,-19.65,20.90,29.69,151.15
16,"[0.6, 0.1]","[0.0, 0.8]","[0.8, 0.9]","[0.7, 0.2]","[0.2, 0.8]",0.30,0.30,49.02,71.87,24.70,-0.83,32.17,176.93
17,"[0.6, 0.1]","[0.0, 0.8]","[0.0, 0.4]","[0.5, 0.6]","[0.2, 0.8]",0.18,0.18,57.47,79.22,15.26,0.39,3.87,156.21
18,"[0.6, 0.1]","[0.0, 0.8]","[0.0, 0.4]","[0.2, 0.2]","[0.2, 0.8]",0.01,0.01,54.48,74.21,17.88,-26.57,20.34,140.34
19,"[0.6, 0.1]","[0.0, 0.8]","[0.0, 0.4]","[0.2, 0.2]","[0.2, 0.8]",0.01,0.01,52.20,69.62,14.48,-26.51,19.27,129.05
