,action1,action2,action3,action4,action5,epsilon,lr,reward1,reward2,reward3,reward4,reward5,total_reward
0,"[0.4, 0.2]","[0.2, 0.8]","[0.2, 0.2]","[0.7, 0.9]","[0.0, 0.9]",1.00,0.50,-35.35,24.87,-2.60,17.10,19.35,23.37
1,"[0.2, 0.1]","[0.8, 0.1]","[0.0, 0.0]","[0.8, 0.3]","[0.8, 0.6]",0.98,0.50,-18.72,46.68,0.11,21.33,5.94,55.34
2,"[0.4, 0.1]","[0.7, 0.8]","[0.6, 0.8]","[0.3, 0.3]","[0.6, 0.9]",0.95,0.50,-25.33,-13.48,-20.04,0.96,0.16,-57.72
3,"[0.8, 0.2]","[0.8, 0.8]","[0.6, 0.2]","[0.4, 0.6]","[0.0, 0.5]",0.93,0.50,26.47,20.66,-0.21,9.88,41.84,98.64
4,"[0.8, 0.2]","[0.3, 0.9]","[0.7, 0.9]","[0.6, 0.6]","[0.2, 0.5]",0.90,0.50,25.51,62.79,15.04,-6.77,21.77,118.33
5,"[0.5, 0.1]","[0.7, 0.6]","[0.9, 0.1]","[0.4, 0.9]","[0.7, 0.8]",0.88,0.50,24.96,35.03,-17.23,104.56,-7.31,140.01
6,"[0.0, 0.0]","[0.3, 0.9]","[0.9, 0.7]","[0.4, 0.2]","[0.4, 0.3]",0.85,0.50,2.89,3.89,42.73,6.71,-29.00,27.21
7,"[0.0, 0.6]","[0.8, 0.1]","[0.4, 0.3]","[0.9, 0.6]","[0.3, 0.4]",0.81,0.50,37.25,50.85,6.22,0.24,55.18,149.75
8,"[0.7, 0.7]","[0.4, 0.5]","[0.2, 0.0]","[0.2, 0.0]","[0.0, 0.0]",0.78,0.50,11.22,14.57,-0.20,-0.13,0.05,25.50
9,"[0.5, 0.9]","[0.8, 0.1]","[0.9, 0.7]","[0.5, 0.0]","[0.3, 0.4]",0.74,0.50,16.16,8.23,16.18,0.17,5.18,45.92
10,"[0.5, 0.6]","[0.0, 0.7]","[0.9, 0.7]","[0.4, 0.9]","[0.9, 0.5]",0.70,0.50,2.08,9.57,-17.98,9.66,26.48,29.80
11,"[0.3, 0.9]","[0.4, 0.9]","[0.6, 0.1]","[0.7, 0.8]","[0.0, 0.5]",0.65,0.50,6.65,-58.52,3.07,-43.46,25.34,-66.91
12,"[0.8, 0.2]","[0.9, 0.6]","[0.7, 0.9]","[0.8, 0.2]","[0.2, 0.0]",0.60,0.50,28.74,10.35,7.04,-5.02,-0.12,40.99
13,"[0.4, 0.6]","[0.8, 0.1]","[0.7, 0.9]","[0.4, 0.9]","[0.8, 0.9]",0.54,0.50,7.78,14.71,47.06,5.27,13.42,88.23
14,"[0.8, 0.2]","[0.9, 0.1]","[0.8, 0.2]","[0.2, 0.3]","[0.0, 0.5]",0.48,0.48,28.25,-9.21,34.07,16.85,10.72,80.69
15,"[0.8, 0.2]","[0.8, 0.1]","[0.7, 0.9]","[0.4, 0.9]","[0.0, 0.5]",0.40,0.40,28.59,-4.73,51.33,5.44,5.40,86.03
16,"[0.2, 0.7]","[0.3, 0.9]","[0.7, 0.9]","[0.4, 0.9]","[0.3, 0.4]",0.30,0.30,13.23,-17.82,15.05,5.65,-4.06,12.05
17,"[0.8, 0.2]","[0.7, 0.6]","[0.2, 0.8]","[0.4, 0.9]","[0.3, 0.2]",0.18,0.18,26.21,11.17,6.15,-95.10,-1.95,-53.53
18,"[0.8, 0.2]","[0.7, 0.6]","[0.7, 0.9]","[0.8, 0.3]","[0.9, 0.5]",0.01,0.01,27.69,11.70,2.85,-8.81,1.19,34.62
19,"[0.8, 0.2]","[0.7, 0.6]","[0.7, 0.9]","[0.8, 0.3]","[0.9, 0.5]",0.01,0.01,26.18,10.24,3.39,-8.37,1.82,33.26
