,action1,action2,action3,action4,action5,epsilon,lr,reward1,reward2,reward3,reward4,reward5,total_reward
0,"[0.3, 0.4]","[0.5, 0.0]","[0.2, 0.0]","[0.0, 0.5]","[0.4, 0.4]",1.00,0.50,41.12,7.17,-0.09,24.01,-38.74,33.47
1,"[0.6, 0.5]","[0.9, 0.7]","[0.1, 0.5]","[0.0, 0.1]","[0.6, 0.3]",0.98,0.50,2.74,7.65,47.02,6.55,15.79,79.75
2,"[0.3, 0.1]","[0.8, 0.0]","[0.5, 0.2]","[0.6, 0.7]","[0.5, 0.2]",0.95,0.50,-69.38,30.28,15.84,36.80,-9.84,3.69
3,"[0.7, 0.0]","[0.0, 0.9]","[0.7, 0.4]","[0.8, 0.7]","[0.9, 0.5]",0.93,0.50,49.62,84.59,46.09,17.48,-19.75,178.03
4,"[0.6, 0.2]","[0.2, 0.0]","[0.8, 0.9]","[0.9, 0.3]","[0.8, 0.2]",0.90,0.50,48.46,-0.10,11.91,-3.01,35.44,92.71
5,"[0.5, 0.6]","[0.3, 0.5]","[0.9, 0.7]","[0.7, 0.1]","[0.8, 0.7]",0.88,0.50,2.01,-1.95,7.55,1.35,9.73,18.70
6,"[0.2, 0.6]","[0.7, 0.6]","[0.7, 0.2]","[0.5, 0.7]","[0.4, 0.5]",0.85,0.50,18.56,18.71,-16.45,13.94,-31.17,3.59
7,"[0.3, 0.6]","[0.2, 0.5]","[0.9, 0.9]","[0.4, 0.7]","[0.9, 0.4]",0.81,0.50,20.04,2.34,5.60,10.81,42.24,81.03
8,"[0.3, 0.2]","[0.0, 0.9]","[0.7, 0.4]","[0.2, 0.7]","[0.9, 0.4]",0.78,0.50,-88.78,80.35,43.43,10.54,60.25,105.78
9,"[0.0, 0.4]","[0.0, 0.9]","[0.4, 0.7]","[0.6, 0.0]","[0.8, 0.7]",0.74,0.50,16.32,27.79,-11.74,8.52,-38.32,2.57
10,"[0.4, 0.3]","[0.0, 0.9]","[0.7, 0.4]","[0.7, 0.1]","[0.9, 0.4]",0.70,0.50,-3.76,39.71,42.84,-12.38,14.38,80.78
11,"[0.7, 0.4]","[0.9, 0.7]","[0.7, 0.4]","[0.5, 0.7]","[0.9, 0.4]",0.65,0.50,10.59,33.48,29.53,7.29,-4.58,76.31
12,"[0.9, 0.8]","[0.2, 0.8]","[0.6, 0.0]","[0.7, 0.9]","[0.2, 0.6]",0.60,0.50,-78.86,57.03,20.93,12.06,7.04,18.20
13,"[0.8, 0.6]","[0.0, 0.9]","[0.7, 0.4]","[0.6, 0.7]","[0.1, 0.0]",0.54,0.50,5.09,12.08,43.89,6.05,0.02,67.13
14,"[0.6, 0.2]","[0.0, 0.9]","[0.8, 0.3]","[0.3, 0.3]","[0.8, 0.2]",0.48,0.48,49.54,78.10,60.10,27.86,49.45,265.06
15,"[0.6, 0.2]","[0.6, 0.1]","[0.7, 0.4]","[0.3, 0.3]","[0.7, 0.5]",0.40,0.40,49.29,-29.50,17.72,25.53,0.06,63.10
16,"[0.6, 0.2]","[0.0, 0.9]","[0.7, 0.4]","[0.3, 0.3]","[0.8, 0.2]",0.30,0.30,52.69,76.33,44.12,28.32,58.68,260.14
17,"[0.6, 0.2]","[0.0, 0.9]","[0.2, 0.0]","[0.3, 0.3]","[0.8, 0.2]",0.18,0.18,53.86,76.14,0.33,-8.13,53.20,175.39
18,"[0.6, 0.2]","[0.0, 0.9]","[0.7, 0.4]","[0.3, 0.3]","[0.8, 0.2]",0.01,0.01,54.25,73.39,45.16,29.94,48.85,251.59
19,"[0.6, 0.2]","[0.0, 0.9]","[0.7, 0.4]","[0.3, 0.3]","[0.8, 0.2]",0.01,0.01,49.31,79.52,49.14,30.23,52.41,260.61
