,action1,action2,action3,action4,action5,epsilon,lr,reward1,reward2,reward3,reward4,reward5,total_reward
0,"[0.9, 0.4]","[0.2, 0.1]","[0.5, 0.2]","[0.2, 0.4]","[0.4, 0.0]",1.00,0.50,48.31,8.00,-46.40,4.02,5.08,19.01
1,"[0.3, 0.0]","[0.7, 0.9]","[0.9, 0.6]","[0.6, 0.7]","[0.3, 0.7]",0.98,0.50,6.31,13.56,-29.44,7.11,8.73,6.27
2,"[0.4, 0.9]","[0.1, 0.2]","[0.6, 0.3]","[0.6, 0.5]","[0.6, 0.3]",0.95,0.50,14.96,0.72,17.82,3.90,-67.61,-30.22
3,"[0.2, 0.6]","[0.0, 0.5]","[0.0, 0.3]","[0.3, 0.6]","[0.8, 0.6]",0.93,0.50,16.10,38.75,50.67,41.29,18.87,165.69
4,"[0.9, 0.8]","[0.6, 0.4]","[0.8, 0.8]","[0.1, 0.6]","[0.4, 0.7]",0.90,0.50,-91.77,12.29,48.64,39.82,-18.62,-9.64
5,"[0.7, 0.4]","[0.0, 0.9]","[0.7, 0.6]","[0.1, 0.9]","[0.9, 0.3]",0.88,0.50,9.77,26.58,47.66,10.84,53.75,148.61
6,"[0.9, 0.4]","[0.6, 0.0]","[0.8, 0.0]","[0.9, 0.0]","[0.4, 0.7]",0.85,0.50,55.78,0.12,4.27,-0.29,58.21,118.10
7,"[0.7, 0.4]","[0.8, 0.0]","[0.7, 0.9]","[0.4, 0.2]","[0.3, 0.8]",0.81,0.50,10.76,0.67,52.86,-0.40,16.15,80.03
8,"[0.6, 0.2]","[0.7, 0.1]","[0.5, 0.3]","[0.6, 0.2]","[0.9, 0.3]",0.78,0.50,54.47,-50.22,-1.71,-96.71,-41.54,-135.71
9,"[0.3, 0.9]","[0.1, 0.4]","[0.0, 0.5]","[0.3, 0.6]","[0.9, 0.5]",0.74,0.50,6.74,1.83,9.85,-13.23,49.11,54.30
10,"[0.6, 0.8]","[0.7, 0.9]","[0.3, 0.5]","[0.1, 0.6]","[0.6, 0.5]",0.70,0.50,48.79,-81.77,1.96,5.55,28.96,3.49
11,"[0.0, 0.7]","[0.1, 0.3]","[0.7, 0.9]","[0.8, 0.1]","[0.9, 0.5]",0.65,0.50,60.18,8.15,0.01,-1.91,9.03,75.47
12,"[0.8, 0.8]","[0.0, 0.5]","[0.8, 0.8]","[0.3, 0.3]","[0.3, 0.4]",0.60,0.50,-12.13,25.26,14.58,6.75,-7.89,26.58
13,"[0.9, 0.4]","[0.0, 0.5]","[0.7, 0.6]","[0.1, 0.6]","[0.8, 0.3]",0.54,0.50,58.16,10.42,16.59,16.66,57.19,159.03
14,"[0.9, 0.4]","[0.0, 0.5]","[0.7, 0.7]","[0.1, 0.6]","[0.5, 0.9]",0.48,0.48,56.66,10.23,11.98,43.28,-0.35,121.80
15,"[0.9, 0.4]","[0.1, 0.1]","[0.0, 0.3]","[0.1, 0.6]","[0.8, 0.3]",0.40,0.40,55.50,8.33,11.73,9.96,60.61,146.14
16,"[0.9, 0.4]","[0.4, 0.6]","[0.0, 0.3]","[0.1, 0.6]","[0.8, 0.3]",0.30,0.30,53.81,9.42,35.47,9.56,52.60,160.87
17,"[0.9, 0.4]","[0.0, 0.5]","[0.0, 0.3]","[0.1, 0.6]","[0.0, 0.8]",0.18,0.18,48.32,9.81,53.88,9.55,9.86,131.41
18,"[0.9, 0.4]","[0.0, 0.5]","[0.0, 0.3]","[0.1, 0.6]","[0.8, 0.3]",0.01,0.01,57.18,9.79,56.73,8.95,52.35,184.99
19,"[0.9, 0.4]","[0.0, 0.5]","[0.0, 0.3]","[0.1, 0.6]","[0.8, 0.3]",0.01,0.01,51.36,10.40,47.64,9.53,53.30,172.23
