,action1,action2,action3,action4,action5,epsilon,lr,reward1,reward2,reward3,reward4,reward5,total_reward
0,"[0.3, 0.3]","[0.5, 0.9]","[0.2, 0.9]","[0.3, 0.9]","[0.2, 0.8]",1.00,0.50,-10.31,2.12,9.66,-33.08,-0.42,-32.04
1,"[0.9, 0.3]","[0.1, 0.5]","[0.6, 0.1]","[0.8, 0.6]","[0.0, 0.5]",0.98,0.50,24.75,11.65,26.27,41.45,37.86,142.00
2,"[0.2, 0.1]","[0.0, 0.2]","[0.1, 0.6]","[0.0, 0.4]","[0.6, 0.0]",0.95,0.50,-18.17,50.77,13.48,58.51,33.22,137.81
3,"[0.4, 0.9]","[0.3, 0.4]","[0.9, 0.6]","[0.3, 0.9]","[0.2, 0.3]",0.93,0.50,13.18,-4.18,6.34,10.48,-1.05,24.77
4,"[0.5, 0.7]","[0.1, 0.4]","[0.0, 0.4]","[0.5, 0.3]","[0.9, 0.6]",0.90,0.50,7.64,33.83,17.70,18.60,1.10,78.87
5,"[0.6, 0.7]","[0.8, 0.6]","[0.0, 0.4]","[0.1, 0.8]","[0.2, 0.3]",0.88,0.50,13.89,-107.75,54.95,14.62,-6.11,-30.39
6,"[0.4, 0.0]","[0.6, 0.3]","[0.0, 0.4]","[0.9, 0.6]","[0.0, 0.5]",0.85,0.50,14.46,-10.83,9.53,40.40,36.66,90.23
7,"[0.0, 0.1]","[0.3, 0.8]","[0.4, 0.6]","[0.4, 0.2]","[0.7, 0.3]",0.81,0.50,29.89,-55.14,-77.03,-30.44,-13.42,-146.15
8,"[0.0, 0.1]","[0.5, 0.1]","[0.0, 0.4]","[0.0, 0.8]","[0.9, 0.9]",0.78,0.50,32.12,20.05,11.39,20.89,-33.52,50.93
9,"[0.1, 0.5]","[0.6, 0.7]","[0.5, 0.1]","[0.8, 0.2]","[0.8, 0.2]",0.74,0.50,18.59,1.81,-4.26,-42.93,-7.36,-34.16
10,"[0.8, 0.5]","[0.0, 0.2]","[0.7, 0.1]","[0.0, 0.4]","[0.3, 0.6]",0.70,0.50,11.91,27.29,50.05,11.73,19.19,120.18
11,"[0.0, 0.1]","[0.0, 0.2]","[0.5, 0.5]","[0.0, 0.4]","[0.0, 0.5]",0.65,0.50,31.64,48.38,-0.38,41.51,9.43,130.58
12,"[0.8, 0.8]","[0.7, 0.7]","[0.8, 0.2]","[0.4, 0.7]","[0.0, 0.5]",0.60,0.50,-10.32,3.93,-18.99,23.30,51.91,49.83
13,"[0.4, 0.0]","[0.4, 0.1]","[0.3, 0.1]","[0.2, 0.6]","[0.0, 0.5]",0.54,0.50,13.69,-40.79,-11.40,13.92,36.67,12.09
14,"[0.0, 0.1]","[0.0, 0.2]","[0.7, 0.1]","[0.0, 0.4]","[0.8, 0.1]",0.48,0.48,28.05,52.07,53.57,11.79,51.95,197.43
15,"[0.0, 0.5]","[0.6, 0.4]","[0.7, 0.1]","[0.0, 0.4]","[0.2, 0.2]",0.40,0.40,27.60,49.59,-35.10,13.15,-24.73,30.50
16,"[0.0, 0.1]","[0.0, 0.2]","[0.0, 0.4]","[0.0, 0.4]","[0.0, 0.5]",0.30,0.30,28.29,51.89,11.22,18.72,8.64,118.75
17,"[0.0, 0.1]","[0.0, 0.2]","[0.0, 0.4]","[0.7, 0.0]","[0.0, 0.5]",0.18,0.18,27.05,49.19,9.91,50.66,25.07,161.88
18,"[0.0, 0.1]","[0.0, 0.2]","[0.0, 0.4]","[0.0, 0.4]","[0.0, 0.5]",0.01,0.01,27.52,52.10,9.46,18.11,9.53,116.72
19,"[0.0, 0.1]","[0.0, 0.2]","[0.0, 0.4]","[0.0, 0.4]","[0.0, 0.5]",0.01,0.01,31.77,48.89,9.15,16.81,9.60,116.22
