,action1,action2,action3,action4,action5,epsilon,lr,reward1,reward2,reward3,reward4,reward5,total_reward
0,"[0.2, 0.6]","[0.9, 0.7]","[0.3, 0.8]","[0.6, 0.0]","[0.3, 0.9]",1.00,0.50,18.65,19.23,15.32,12.54,63.44,129.19
1,"[0.1, 0.5]","[0.5, 0.0]","[0.2, 0.9]","[0.4, 0.8]","[0.6, 0.0]",0.98,0.50,18.87,16.05,66.72,-50.11,8.32,59.85
2,"[0.9, 0.2]","[0.4, 0.3]","[0.5, 0.5]","[0.3, 0.3]","[0.6, 0.8]",0.95,0.50,-23.04,16.75,15.95,-1.39,5.13,13.40
3,"[0.2, 0.1]","[0.5, 0.0]","[0.5, 0.4]","[0.1, 0.1]","[0.2, 0.9]",0.93,0.50,-18.12,10.23,16.62,6.97,20.88,36.59
4,"[0.2, 0.8]","[0.2, 0.5]","[0.0, 0.9]","[0.7, 0.8]","[0.3, 0.3]",0.90,0.50,7.26,-5.78,19.40,45.90,4.15,70.93
5,"[0.7, 0.2]","[0.9, 0.6]","[0.6, 0.2]","[0.4, 0.4]","[0.7, 0.8]",0.88,0.50,50.55,40.11,11.55,-0.26,6.44,108.39
6,"[0.6, 0.8]","[0.9, 0.6]","[0.2, 0.9]","[0.3, 0.3]","[0.1, 0.4]",0.85,0.50,51.44,-66.80,11.92,-8.43,6.17,-5.69
7,"[0.7, 0.7]","[0.9, 0.8]","[0.2, 0.9]","[0.0, 0.6]","[0.3, 0.9]",0.81,0.50,9.94,-43.12,49.78,8.92,17.46,42.99
8,"[0.6, 0.6]","[0.5, 0.0]","[0.4, 0.0]","[0.1, 0.8]","[0.0, 0.1]",0.78,0.50,1.86,0.31,0.28,86.41,1.32,90.18
9,"[0.6, 0.8]","[0.9, 0.0]","[0.6, 0.2]","[0.3, 0.2]","[0.6, 0.4]",0.74,0.50,48.45,8.19,31.66,16.42,-2.39,102.35
10,"[0.8, 0.3]","[0.3, 0.8]","[0.8, 0.1]","[0.6, 0.8]","[0.3, 0.0]",0.70,0.50,23.92,23.60,26.93,43.55,-0.20,117.81
11,"[0.7, 0.3]","[0.3, 0.8]","[0.9, 0.0]","[0.1, 0.8]","[0.0, 0.6]",0.65,0.50,18.00,19.51,40.50,101.05,38.80,217.87
12,"[0.6, 0.8]","[0.3, 0.1]","[0.2, 0.9]","[0.1, 0.8]","[0.3, 0.9]",0.60,0.50,50.23,-0.67,52.30,11.03,-85.26,27.62
13,"[0.6, 0.8]","[0.3, 0.8]","[0.2, 0.9]","[0.1, 0.8]","[0.6, 0.7]",0.54,0.50,49.94,14.38,4.47,8.70,48.65,126.15
14,"[0.3, 0.9]","[0.6, 0.0]","[0.6, 0.3]","[0.4, 0.5]","[0.0, 0.6]",0.48,0.48,7.78,15.19,-7.78,2.01,10.26,27.47
15,"[0.6, 0.8]","[0.3, 0.8]","[0.2, 0.9]","[0.1, 0.8]","[0.6, 0.7]",0.40,0.40,52.96,15.95,3.31,9.11,43.56,124.89
16,"[0.6, 0.8]","[0.4, 0.8]","[0.2, 0.9]","[0.7, 0.8]","[0.1, 0.3]",0.30,0.30,53.41,-7.39,14.77,37.12,8.36,106.28
17,"[0.9, 0.9]","[0.3, 0.8]","[0.6, 0.2]","[0.2, 0.7]","[0.6, 0.7]",0.18,0.18,-24.27,15.72,4.99,19.97,4.89,21.30
18,"[0.6, 0.8]","[0.3, 0.8]","[0.2, 0.9]","[0.7, 0.8]","[0.6, 0.7]",0.01,0.01,50.35,14.88,4.32,36.34,-18.66,87.22
19,"[0.6, 0.8]","[0.3, 0.8]","[0.2, 0.9]","[0.7, 0.8]","[0.6, 0.7]",0.01,0.01,49.83,16.10,4.31,31.86,-17.29,84.81
