,action1,action2,action3,action4,action5,epsilon,lr,reward1,reward2,reward3,reward4,reward5,total_reward
0,"[0.7, 0.3]","[0.6, 0.8]","[0.3, 0.8]","[0.5, 0.7]","[0.1, 0.8]",1.00,0.50,20.29,13.00,17.07,-92.09,16.24,-25.50
1,"[0.5, 0.3]","[0.7, 0.3]","[0.9, 0.1]","[0.2, 0.5]","[0.7, 0.7]",1.00,0.50,4.74,-69.21,-34.57,19.42,3.05,-76.56
2,"[0.7, 0.3]","[0.9, 0.7]","[0.8, 0.8]","[0.2, 0.6]","[0.1, 0.8]",0.82,0.50,17.91,40.25,9.51,35.59,5.55,108.81
3,"[0.6, 0.6]","[0.2, 0.7]","[0.0, 0.3]","[0.6, 0.9]","[0.9, 0.8]",0.70,0.50,1.80,4.80,22.45,-0.12,-39.10,-10.17
4,"[0.3, 0.8]","[0.6, 0.8]","[0.9, 0.0]","[0.2, 0.6]","[0.1, 0.8]",0.60,0.50,-75.52,-34.03,6.95,30.63,4.42,-67.54
5,"[0.7, 0.3]","[0.9, 0.7]","[0.0, 0.3]","[0.9, 0.9]","[0.1, 0.8]",0.52,0.50,17.91,42.06,20.32,1.42,14.61,96.33
6,"[0.0, 0.9]","[0.9, 0.7]","[0.0, 0.3]","[0.8, 0.0]","[0.1, 0.8]",0.46,0.46,88.14,24.88,19.15,66.20,110.71,309.08
7,"[0.0, 0.9]","[0.5, 0.1]","[0.0, 0.3]","[0.3, 0.8]","[0.1, 0.8]",0.40,0.40,90.25,22.67,12.66,33.11,36.98,195.67
8,"[0.0, 0.9]","[0.9, 0.6]","[0.3, 0.3]","[0.3, 0.8]","[0.0, 0.9]",0.35,0.35,86.34,36.70,36.23,13.88,50.63,223.78
9,"[0.0, 0.9]","[0.9, 0.7]","[0.3, 0.7]","[0.1, 0.5]","[0.1, 0.8]",0.30,0.30,92.99,26.19,29.82,36.59,9.37,194.96
10,"[0.0, 0.9]","[0.8, 0.0]","[0.0, 0.3]","[0.3, 0.8]","[0.1, 0.8]",0.26,0.26,88.87,65.56,9.06,32.75,37.97,234.20
11,"[0.0, 0.9]","[0.9, 0.7]","[0.0, 0.3]","[0.3, 0.8]","[0.1, 0.8]",0.22,0.22,91.97,30.70,22.29,33.36,35.41,213.72
12,"[0.0, 0.9]","[0.7, 0.6]","[0.2, 0.4]","[0.6, 0.7]","[0.1, 0.8]",0.19,0.19,80.13,44.26,41.68,-0.28,15.79,181.58
13,"[0.0, 0.9]","[0.9, 0.7]","[0.0, 0.3]","[0.3, 0.8]","[0.1, 0.8]",0.15,0.15,85.02,26.17,21.84,37.76,38.30,209.09
14,"[0.0, 0.9]","[0.3, 0.7]","[0.0, 0.3]","[0.3, 0.8]","[0.1, 0.8]",0.12,0.12,89.12,-46.06,20.82,37.70,38.88,140.46
15,"[0.0, 0.9]","[0.9, 0.7]","[0.0, 0.3]","[0.3, 0.8]","[0.1, 0.8]",0.10,0.10,93.76,28.21,21.00,34.56,38.02,215.54
16,"[0.9, 0.9]","[0.9, 0.7]","[0.0, 0.3]","[0.3, 0.8]","[0.1, 0.8]",0.07,0.07,-23.11,6.12,20.60,38.78,37.82,80.21
17,"[0.0, 0.9]","[0.9, 0.7]","[0.0, 0.3]","[0.3, 0.8]","[0.1, 0.8]",0.05,0.05,91.40,27.43,19.07,39.23,39.73,216.87
18,"[0.0, 0.9]","[0.9, 0.7]","[0.0, 0.3]","[0.3, 0.8]","[0.1, 0.8]",0.02,0.02,96.47,27.53,21.96,33.95,39.64,219.55
19,"[0.0, 0.9]","[0.9, 0.7]","[0.0, 0.3]","[0.3, 0.8]","[0.1, 0.8]",0.01,0.01,96.12,25.18,19.95,37.68,42.85,221.79
