,action1,action2,action3,action4,action5,epsilon,lr,reward1,reward2,reward3,reward4,reward5,total_reward
0,"[0.7, 0.2]","[0.0, 0.4]","[0.9, 0.6]","[0.4, 0.2]","[0.7, 0.1]",1.00,0.50,48.46,9.69,42.86,12.85,-6.79,107.07
1,"[0.4, 0.5]","[0.2, 0.6]","[0.6, 0.4]","[0.6, 0.2]","[0.9, 0.5]",1.00,0.50,15.93,1.89,8.90,-55.56,24.97,-3.87
2,"[0.7, 0.2]","[0.8, 0.9]","[0.9, 0.6]","[0.6, 0.3]","[0.5, 0.8]",0.82,0.50,49.72,-15.18,-6.40,33.07,14.29,75.49
3,"[0.7, 0.2]","[0.1, 0.9]","[0.0, 0.5]","[0.7, 0.0]","[0.5, 0.6]",0.70,0.50,57.17,71.66,5.29,51.79,18.30,204.21
4,"[0.3, 0.5]","[0.1, 0.9]","[0.8, 0.6]","[0.0, 0.5]","[0.9, 0.5]",0.60,0.50,54.74,13.50,44.99,42.24,4.75,160.23
5,"[0.7, 0.2]","[0.0, 0.6]","[0.6, 0.2]","[0.0, 0.4]","[0.2, 0.5]",0.52,0.50,48.84,21.14,39.47,10.21,-4.22,115.44
6,"[0.9, 0.2]","[0.2, 0.1]","[0.8, 0.6]","[0.7, 0.0]","[0.8, 0.8]",0.46,0.46,-20.75,16.64,0.01,-0.45,-30.01,-34.57
7,"[0.7, 0.2]","[0.3, 0.0]","[0.0, 0.1]","[0.0, 0.5]","[0.5, 0.6]",0.40,0.40,49.52,-0.45,24.62,18.00,2.39,94.10
8,"[0.7, 0.2]","[0.1, 0.9]","[0.6, 0.2]","[0.0, 0.5]","[0.4, 0.0]",0.35,0.35,52.90,60.95,29.18,14.33,10.46,167.82
9,"[0.7, 0.2]","[0.1, 0.9]","[0.6, 0.2]","[0.4, 0.3]","[0.5, 0.9]",0.30,0.30,52.06,71.79,28.66,-4.64,3.79,151.67
10,"[0.7, 0.2]","[0.1, 0.9]","[0.6, 0.2]","[0.0, 0.5]","[0.9, 0.5]",0.26,0.26,48.01,69.19,26.92,13.99,4.16,162.27
11,"[0.7, 0.2]","[0.1, 0.9]","[0.6, 0.2]","[0.4, 0.7]","[0.9, 0.5]",0.22,0.22,55.24,67.22,28.46,14.34,42.30,207.56
12,"[0.2, 0.4]","[0.1, 0.7]","[0.6, 0.2]","[0.0, 0.5]","[0.9, 0.5]",0.19,0.19,8.41,11.47,24.07,13.55,5.31,62.82
13,"[0.7, 0.2]","[0.1, 0.9]","[0.6, 0.2]","[0.0, 0.5]","[0.9, 0.5]",0.15,0.15,51.15,63.52,27.91,13.54,4.92,161.04
14,"[0.7, 0.2]","[0.1, 0.9]","[0.6, 0.2]","[0.1, 0.6]","[0.9, 0.5]",0.12,0.12,49.79,65.60,27.88,18.00,23.03,184.30
15,"[0.7, 0.2]","[0.2, 0.6]","[0.6, 0.2]","[0.0, 0.5]","[0.9, 0.5]",0.10,0.10,52.07,16.44,12.57,15.37,4.87,101.32
16,"[0.7, 0.2]","[0.1, 0.9]","[0.6, 0.2]","[0.0, 0.5]","[0.9, 0.5]",0.07,0.07,56.58,72.02,27.57,15.14,4.59,175.90
17,"[0.7, 0.2]","[0.1, 0.9]","[0.6, 0.2]","[0.0, 0.5]","[0.9, 0.5]",0.05,0.05,57.73,67.40,29.60,15.52,5.30,175.55
18,"[0.7, 0.2]","[0.1, 0.9]","[0.6, 0.2]","[0.0, 0.5]","[0.9, 0.5]",0.02,0.02,50.64,65.28,29.27,13.69,5.34,164.21
19,"[0.7, 0.2]","[0.1, 0.9]","[0.6, 0.2]","[0.0, 0.5]","[0.9, 0.5]",0.01,0.01,48.84,70.97,28.65,15.74,4.64,168.85
