,action1,action2,action3,action4,action5,epsilon,lr,reward1,reward2,reward3,reward4,reward5,total_reward
0,"[0.4, 0.4]","[0.3, 0.7]","[0.6, 0.4]","[0.6, 0.4]","[0.0, 0.4]",1.00,0.50,10.30,5.84,-22.56,-27.66,20.02,-14.06
1,"[0.7, 0.5]","[0.5, 0.2]","[0.8, 0.4]","[0.5, 0.7]","[0.0, 0.8]",1.00,0.50,6.23,-2.34,-2.77,10.25,20.57,31.94
2,"[0.3, 0.0]","[0.3, 0.7]","[0.5, 0.0]","[0.7, 0.7]","[0.1, 0.2]",0.82,0.50,6.76,6.62,7.94,-31.58,7.60,-2.66
3,"[0.4, 0.4]","[0.8, 0.6]","[0.9, 0.2]","[0.5, 0.7]","[0.0, 0.8]",0.70,0.50,10.31,-0.33,-9.29,27.33,19.40,47.43
4,"[0.1, 0.2]","[0.5, 0.6]","[0.5, 0.0]","[0.6, 0.6]","[0.3, 0.0]",0.60,0.50,20.17,1.65,0.96,17.25,-0.35,39.68
5,"[0.1, 0.2]","[0.1, 0.7]","[0.5, 0.0]","[0.5, 0.7]","[0.0, 0.8]",0.52,0.50,18.66,19.68,15.60,-11.14,19.54,62.35
6,"[0.9, 0.0]","[0.5, 0.2]","[0.5, 0.0]","[0.6, 0.6]","[0.0, 0.8]",0.46,0.46,73.34,34.59,1.25,20.02,10.61,139.81
7,"[0.0, 0.5]","[0.5, 0.2]","[0.5, 0.0]","[0.6, 0.6]","[0.5, 0.9]",0.40,0.40,29.26,20.03,1.12,18.86,3.02,72.29
8,"[0.9, 0.0]","[0.5, 0.2]","[0.9, 0.2]","[0.7, 0.4]","[0.0, 0.8]",0.35,0.35,72.93,29.97,-10.15,5.98,23.44,122.18
9,"[0.9, 0.0]","[0.1, 0.0]","[0.7, 0.2]","[0.6, 0.6]","[0.0, 0.8]",0.30,0.30,83.24,0.01,53.45,11.69,10.08,158.47
10,"[0.9, 0.0]","[0.5, 0.2]","[0.7, 0.2]","[0.9, 0.1]","[0.9, 0.9]",0.26,0.26,82.04,34.50,-100.64,-44.09,76.79,48.59
11,"[0.9, 0.6]","[0.5, 0.2]","[0.5, 0.0]","[0.6, 0.6]","[0.9, 0.9]",0.22,0.22,17.57,11.91,1.09,17.28,13.15,61.01
12,"[0.9, 0.0]","[0.5, 0.2]","[0.5, 0.0]","[0.3, 0.3]","[0.9, 0.9]",0.19,0.19,74.02,35.04,1.00,-0.74,0.15,109.48
13,"[0.9, 0.0]","[0.5, 0.2]","[0.5, 0.0]","[0.6, 0.6]","[0.0, 0.8]",0.15,0.15,77.92,32.13,1.41,18.99,10.64,141.08
14,"[0.9, 0.0]","[0.5, 0.2]","[0.5, 0.0]","[0.6, 0.6]","[0.9, 0.9]",0.12,0.12,75.15,31.86,1.32,20.97,11.67,140.97
15,"[0.9, 0.0]","[0.5, 0.2]","[0.5, 0.0]","[0.6, 0.6]","[0.9, 0.9]",0.10,0.10,70.99,30.45,1.62,19.92,12.26,135.25
16,"[0.9, 0.0]","[0.5, 0.2]","[0.5, 0.0]","[0.6, 0.6]","[0.0, 0.8]",0.07,0.07,81.69,32.40,1.54,20.12,11.18,146.94
17,"[0.9, 0.0]","[0.5, 0.2]","[0.5, 0.0]","[0.6, 0.6]","[0.9, 0.9]",0.05,0.05,78.26,30.31,1.64,20.71,12.85,143.79
18,"[0.2, 0.8]","[0.5, 0.2]","[0.5, 0.0]","[0.6, 0.6]","[0.9, 0.9]",0.02,0.02,6.23,-0.06,1.04,19.45,10.90,37.57
19,"[0.9, 0.0]","[0.5, 0.2]","[0.5, 0.0]","[0.6, 0.6]","[0.0, 0.8]",0.01,0.01,83.34,34.29,1.45,17.98,9.73,146.79
