,action1,action2,action3,action4,action5,epsilon,lr,reward1,reward2,reward3,reward4,reward5,total_reward
0,"[0.8, 0.4]","[0.1, 0.4]","[0.6, 0.8]","[0.1, 0.6]","[0.4, 0.4]",1.00,0.50,19.56,19.65,-0.54,32.67,-81.73,-10.38
1,"[0.3, 0.1]","[0.0, 0.0]","[0.9, 0.3]","[0.0, 0.4]","[0.4, 0.4]",1.00,0.50,-71.85,0.18,25.49,11.57,-20.95,-55.56
2,"[0.1, 0.8]","[0.2, 0.6]","[0.7, 0.1]","[0.8, 0.8]","[0.2, 0.9]",0.82,0.50,69.05,-15.39,29.04,-15.22,43.39,110.87
3,"[0.8, 0.3]","[0.0, 0.1]","[0.1, 0.0]","[0.4, 0.1]","[0.0, 0.3]",0.70,0.50,22.80,10.76,-0.24,-49.15,11.99,-3.84
4,"[0.2, 0.2]","[0.9, 0.5]","[0.7, 0.1]","[0.1, 0.6]","[0.6, 0.5]",0.60,0.50,-24.65,7.89,3.32,26.67,33.15,46.40
5,"[0.0, 0.4]","[0.5, 0.0]","[0.7, 0.1]","[0.1, 0.6]","[0.9, 0.5]",0.52,0.50,17.38,20.59,-63.86,25.82,18.76,18.69
6,"[0.1, 0.8]","[0.5, 0.9]","[0.2, 0.0]","[0.1, 0.6]","[0.2, 0.9]",0.46,0.46,78.53,-10.35,-0.05,27.54,2.05,97.73
7,"[0.1, 0.8]","[0.5, 0.0]","[0.1, 0.7]","[0.1, 0.6]","[0.6, 0.5]",0.40,0.40,69.51,15.39,51.02,26.37,30.92,193.21
8,"[0.1, 0.8]","[0.5, 0.0]","[0.1, 0.7]","[0.1, 0.6]","[0.6, 0.5]",0.35,0.35,77.28,16.44,49.84,27.15,33.26,203.97
9,"[0.4, 0.1]","[0.8, 0.2]","[0.1, 0.7]","[0.1, 0.6]","[0.8, 0.8]",0.30,0.30,-23.74,9.14,26.37,26.01,15.63,53.41
10,"[0.1, 0.8]","[0.5, 0.0]","[0.1, 0.7]","[0.0, 0.5]","[0.9, 0.5]",0.26,0.26,70.68,17.67,55.41,57.41,5.15,206.32
11,"[0.3, 0.3]","[0.5, 0.0]","[0.8, 0.7]","[0.8, 0.1]","[0.6, 0.5]",0.22,0.22,-10.41,7.50,-13.88,-2.02,9.87,-8.95
12,"[0.1, 0.8]","[0.5, 0.0]","[0.2, 0.8]","[0.1, 0.6]","[0.6, 0.5]",0.19,0.19,69.11,15.81,69.00,28.22,35.20,217.33
13,"[0.1, 0.8]","[0.5, 0.0]","[0.1, 0.7]","[0.1, 0.6]","[0.6, 0.5]",0.15,0.15,83.44,15.18,56.17,28.54,34.85,218.18
14,"[0.1, 0.8]","[0.5, 0.0]","[0.1, 0.7]","[0.1, 0.6]","[0.6, 0.5]",0.12,0.12,83.24,16.06,56.67,25.99,29.37,211.33
15,"[0.1, 0.8]","[0.5, 0.0]","[0.1, 0.7]","[0.5, 0.5]","[0.6, 0.5]",0.10,0.10,83.12,17.79,47.23,-9.36,-47.05,91.72
16,"[0.1, 0.8]","[0.5, 0.0]","[0.1, 0.7]","[0.1, 0.6]","[0.6, 0.5]",0.07,0.07,80.24,16.24,50.32,27.42,31.38,205.60
17,"[0.1, 0.8]","[0.5, 0.0]","[0.1, 0.7]","[0.1, 0.6]","[0.6, 0.5]",0.05,0.05,69.50,17.79,53.87,27.98,34.60,203.75
18,"[0.1, 0.8]","[0.5, 0.0]","[0.1, 0.7]","[0.1, 0.6]","[0.6, 0.5]",0.02,0.02,81.02,15.55,53.88,25.02,33.22,208.68
19,"[0.1, 0.8]","[0.5, 0.0]","[0.1, 0.7]","[0.1, 0.6]","[0.6, 0.5]",0.01,0.01,72.78,17.46,57.39,27.86,35.05,210.55
