,action1,action2,action3,action4,action5,epsilon,lr,reward1,reward2,reward3,reward4,reward5,total_reward
0,"[0.1, 0.9]","[0.1, 0.0]","[0.8, 0.4]","[0.0, 0.1]","[0.8, 0.0]",1.00,0.50,71.27,-0.41,8.44,8.57,60.87,148.75
1,"[0.2, 0.1]","[0.4, 0.6]","[0.5, 0.6]","[0.2, 0.5]","[0.9, 0.5]",1.00,0.50,-19.17,41.49,-57.58,16.73,25.99,7.46
2,"[0.6, 0.0]","[0.6, 0.6]","[0.4, 0.9]","[0.2, 0.5]","[0.5, 0.1]",0.82,0.50,41.75,13.42,2.77,0.26,-3.69,54.51
3,"[0.5, 0.6]","[0.1, 0.4]","[0.9, 0.2]","[0.2, 0.5]","[0.5, 0.8]",0.70,0.50,2.05,48.89,32.51,13.16,8.11,104.72
4,"[0.7, 0.1]","[0.6, 0.4]","[0.9, 0.2]","[0.2, 0.5]","[0.8, 0.0]",0.60,0.50,54.46,2.63,-71.67,11.93,44.85,42.20
5,"[0.7, 0.1]","[0.1, 0.4]","[0.9, 0.9]","[0.2, 0.5]","[0.7, 0.1]",0.52,0.50,52.72,9.59,7.69,5.70,27.57,103.27
6,"[0.1, 0.9]","[0.1, 0.4]","[0.4, 0.3]","[0.2, 0.5]","[0.5, 0.9]",0.46,0.46,69.67,1.47,-71.53,3.38,13.19,16.18
7,"[0.1, 0.9]","[0.1, 0.4]","[0.8, 0.3]","[0.3, 0.9]","[0.4, 0.0]",0.40,0.40,67.44,1.24,49.77,34.48,2.23,155.15
8,"[0.1, 0.9]","[0.1, 0.4]","[0.9, 0.2]","[0.6, 0.7]","[0.8, 0.0]",0.35,0.35,67.07,1.03,30.61,25.94,4.39,129.04
9,"[0.1, 0.9]","[0.1, 0.4]","[0.3, 0.8]","[0.2, 0.5]","[0.6, 0.9]",0.30,0.30,69.32,1.25,36.25,1.02,-0.48,107.34
10,"[0.1, 0.9]","[0.5, 0.3]","[0.8, 0.3]","[0.2, 0.5]","[0.8, 0.0]",0.26,0.26,67.82,12.27,-36.41,8.87,37.17,89.73
11,"[0.1, 0.9]","[0.1, 0.4]","[0.8, 0.3]","[0.2, 0.5]","[0.8, 0.0]",0.22,0.22,69.35,1.23,59.14,9.08,40.64,179.43
12,"[0.1, 0.9]","[0.1, 0.4]","[0.8, 0.3]","[0.2, 0.5]","[0.8, 0.0]",0.19,0.19,71.03,1.21,51.33,8.86,44.87,177.31
13,"[0.1, 0.9]","[0.1, 0.4]","[0.8, 0.3]","[0.2, 0.5]","[0.0, 0.5]",0.15,0.15,66.80,1.65,50.97,8.10,16.87,144.40
14,"[0.1, 0.9]","[0.1, 0.4]","[0.8, 0.3]","[0.2, 0.5]","[0.8, 0.0]",0.12,0.12,70.84,1.27,50.18,8.45,42.21,172.95
15,"[0.1, 0.1]","[0.1, 0.4]","[0.8, 0.3]","[0.2, 0.5]","[0.8, 0.0]",0.10,0.10,14.74,5.70,56.89,9.34,41.46,128.14
16,"[0.1, 0.9]","[0.1, 0.4]","[0.8, 0.3]","[0.2, 0.5]","[0.8, 0.0]",0.07,0.07,66.54,1.48,58.35,9.61,44.63,180.61
17,"[0.1, 0.9]","[0.1, 0.4]","[0.8, 0.3]","[0.2, 0.5]","[0.8, 0.0]",0.05,0.05,64.55,1.33,55.21,9.04,42.49,172.62
18,"[0.1, 0.9]","[0.3, 0.9]","[0.8, 0.3]","[0.2, 0.5]","[0.8, 0.0]",0.02,0.02,63.56,-47.03,29.32,8.80,43.67,98.32
19,"[0.1, 0.9]","[0.1, 0.4]","[0.8, 0.3]","[0.2, 0.5]","[0.8, 0.0]",0.01,0.01,61.12,1.42,53.13,7.88,41.25,164.80
