,action1,action2,action3,action4,action5,epsilon,lr,reward1,reward2,reward3,reward4,reward5,total_reward
0,"[0.5, 0.6]","[0.8, 0.9]","[0.2, 0.0]","[0.9, 0.7]","[0.3, 0.2]",1.00,0.50,1.81,3.94,-0.16,6.35,8.04,19.99
1,"[0.0, 0.4]","[0.1, 0.4]","[0.4, 0.9]","[0.4, 0.9]","[0.1, 0.4]",0.98,0.50,16.11,7.81,28.18,-34.96,3.08,20.23
2,"[0.8, 0.1]","[0.2, 0.4]","[0.7, 0.2]","[0.3, 0.8]","[0.4, 0.5]",0.95,0.50,37.49,8.68,49.37,30.52,-66.06,60.00
3,"[0.8, 0.1]","[0.3, 0.8]","[0.0, 0.8]","[0.8, 0.8]","[0.1, 0.4]",0.93,0.50,38.90,62.55,55.61,25.10,15.90,198.06
4,"[0.0, 0.4]","[0.3, 0.8]","[0.5, 0.9]","[0.1, 0.0]","[0.3, 0.2]",0.90,0.50,18.06,53.13,-84.40,-0.01,-76.37,-89.58
5,"[0.1, 0.1]","[0.5, 0.3]","[0.2, 0.2]","[0.7, 0.3]","[0.1, 0.8]",0.88,0.50,14.90,-2.96,23.04,18.10,24.67,77.75
6,"[0.9, 0.6]","[0.0, 0.5]","[0.6, 0.6]","[0.1, 0.7]","[0.7, 0.4]",0.85,0.50,17.74,42.74,8.70,7.52,70.24,146.94
7,"[0.1, 0.7]","[0.8, 0.2]","[0.1, 0.2]","[0.7, 0.6]","[0.1, 0.2]",0.81,0.50,39.70,45.11,56.57,1.32,14.19,156.89
8,"[0.8, 0.1]","[0.2, 0.4]","[0.1, 0.2]","[0.7, 0.6]","[0.5, 0.4]",0.78,0.50,41.92,10.11,26.96,1.52,-1.25,79.27
9,"[0.9, 0.8]","[0.8, 0.4]","[0.0, 0.8]","[0.2, 0.7]","[0.1, 0.0]",0.74,0.50,-78.58,10.46,21.37,-32.00,-0.06,-78.80
10,"[0.8, 0.1]","[0.3, 0.8]","[0.9, 0.7]","[0.3, 0.8]","[0.1, 0.8]",0.70,0.50,41.19,54.86,65.44,16.56,34.68,212.73
11,"[0.1, 0.6]","[0.1, 0.6]","[0.0, 0.8]","[0.0, 0.9]","[0.0, 0.3]",0.65,0.50,24.25,9.25,9.61,46.14,2.06,91.31
12,"[0.4, 0.1]","[0.4, 0.9]","[0.6, 0.7]","[0.0, 0.9]","[0.1, 0.5]",0.60,0.50,-22.93,-26.26,-29.14,11.14,1.63,-65.56
13,"[0.1, 0.9]","[0.3, 0.8]","[0.9, 0.7]","[0.0, 0.9]","[0.6, 0.6]",0.54,0.50,70.87,-46.74,66.16,13.13,34.86,138.28
14,"[0.8, 0.1]","[0.7, 0.5]","[0.0, 0.5]","[0.4, 0.5]","[0.7, 0.4]",0.48,0.48,43.93,8.53,15.42,-17.08,-25.95,24.84
15,"[0.8, 0.1]","[0.1, 0.6]","[0.9, 0.7]","[0.3, 0.8]","[0.1, 0.8]",0.40,0.40,44.90,25.67,23.38,15.88,38.91,148.73
16,"[0.4, 0.9]","[0.0, 0.2]","[0.9, 0.7]","[0.5, 0.5]","[0.1, 0.8]",0.30,0.30,14.60,1.60,29.51,48.78,12.12,106.61
17,"[0.8, 0.1]","[0.8, 0.2]","[0.2, 0.6]","[0.3, 0.8]","[0.1, 0.8]",0.18,0.18,39.10,-6.82,19.72,-2.67,38.11,87.44
18,"[0.8, 0.1]","[0.0, 0.5]","[0.9, 0.7]","[0.0, 0.9]","[0.1, 0.8]",0.01,0.01,42.61,20.05,39.28,10.53,7.20,119.67
19,"[0.8, 0.1]","[0.0, 0.5]","[0.9, 0.7]","[0.0, 0.9]","[0.1, 0.8]",0.01,0.01,41.65,17.31,37.62,12.31,6.79,115.70
