,action1,action2,action3,action4,action5,epsilon,lr,reward1,reward2,reward3,reward4,reward5,total_reward
0,"[0.1, 0.9]","[0.6, 0.9]","[0.6, 0.1]","[0.4, 0.3]","[0.7, 0.8]",1.00,0.50,65.45,34.30,-1.97,-2.97,4.89,99.70
1,"[0.0, 0.3]","[0.0, 0.4]","[0.5, 0.8]","[0.7, 0.1]","[0.4, 0.7]",0.98,0.50,12.60,11.27,-0.70,-4.22,26.09,45.04
2,"[0.8, 0.7]","[0.4, 0.5]","[0.8, 0.8]","[0.2, 0.7]","[0.1, 0.3]",0.95,0.50,-3.55,32.54,-0.05,45.99,13.73,88.66
3,"[0.2, 0.9]","[0.4, 0.7]","[0.7, 0.9]","[0.3, 0.3]","[0.6, 0.5]",0.93,0.50,45.84,-45.22,-8.23,0.44,0.28,-6.89
4,"[0.0, 0.1]","[0.0, 0.7]","[0.0, 0.1]","[0.5, 0.4]","[0.3, 0.5]",0.90,0.50,31.52,40.29,2.29,0.51,-0.59,74.02
5,"[0.0, 0.9]","[0.8, 0.0]","[0.0, 0.6]","[0.7, 0.1]","[0.7, 0.3]",0.88,0.50,87.64,57.57,36.34,43.43,-11.07,213.90
6,"[0.2, 0.6]","[0.0, 0.7]","[0.9, 0.0]","[0.8, 0.9]","[0.6, 0.0]",0.85,0.50,15.84,10.97,73.32,67.82,-0.54,167.42
7,"[0.6, 0.9]","[0.2, 0.2]","[0.9, 0.6]","[0.1, 0.0]","[0.1, 0.9]",0.81,0.50,15.08,0.41,4.70,-0.21,61.76,81.73
8,"[0.5, 0.1]","[0.8, 0.0]","[0.0, 0.2]","[0.7, 0.4]","[0.1, 0.9]",0.78,0.50,23.95,10.55,41.03,12.26,27.69,115.48
9,"[0.0, 0.9]","[0.8, 0.0]","[0.8, 0.0]","[0.1, 0.3]","[0.9, 0.1]",0.74,0.50,89.02,56.00,-0.36,8.82,47.90,201.39
10,"[0.0, 0.9]","[0.8, 0.0]","[0.7, 0.4]","[0.8, 0.3]","[0.1, 0.9]",0.70,0.50,82.00,61.42,5.43,-62.86,37.85,123.83
11,"[0.1, 0.3]","[0.5, 0.1]","[0.5, 0.2]","[0.8, 0.9]","[0.1, 0.9]",0.65,0.50,5.25,6.33,-61.77,-22.62,22.39,-50.42
12,"[0.0, 0.9]","[0.0, 0.4]","[0.1, 0.3]","[0.2, 0.7]","[0.1, 0.9]",0.60,0.50,83.23,3.88,22.77,9.95,6.55,126.39
13,"[0.0, 0.3]","[0.9, 0.6]","[0.7, 0.4]","[0.7, 0.1]","[0.9, 0.1]",0.54,0.50,11.45,56.68,40.14,-11.20,-45.84,51.24
14,"[0.0, 0.9]","[0.8, 0.0]","[0.9, 0.0]","[0.2, 0.7]","[0.1, 0.9]",0.48,0.48,90.84,58.66,0.11,62.55,5.29,217.45
15,"[0.8, 0.9]","[0.8, 0.0]","[0.4, 0.2]","[0.2, 0.7]","[0.4, 0.7]",0.40,0.40,-1.66,-0.35,24.50,17.79,-78.95,-38.66
16,"[0.0, 0.9]","[0.8, 0.0]","[0.7, 0.4]","[0.2, 0.7]","[0.1, 0.9]",0.30,0.30,95.73,54.76,6.32,13.27,5.04,175.12
17,"[0.0, 0.9]","[0.8, 0.0]","[0.0, 0.2]","[0.2, 0.7]","[0.1, 0.9]",0.18,0.18,85.07,66.52,36.77,13.03,6.39,207.77
18,"[0.0, 0.9]","[0.8, 0.0]","[0.0, 0.2]","[0.2, 0.7]","[0.1, 0.9]",0.01,0.01,85.50,55.02,37.77,13.09,5.01,196.37
19,"[0.0, 0.9]","[0.8, 0.0]","[0.0, 0.2]","[0.2, 0.7]","[0.1, 0.9]",0.01,0.01,95.18,59.09,40.62,15.58,5.31,215.78
