,action1,action2,action3,action4,action5,epsilon,lr,reward1,reward2,reward3,reward4,reward5,total_reward
0,"[0.8, 0.1]","[0.3, 0.5]","[0.3, 0.3]","[0.4, 0.1]","[0.7, 0.6]",1.00,0.50,43.38,14.08,-41.20,-38.19,5.10,-16.83
1,"[0.5, 0.9]","[0.8, 0.9]","[0.3, 0.1]","[0.3, 0.1]","[0.4, 0.0]",0.98,0.50,16.36,-20.72,0.11,-21.01,2.62,-22.64
2,"[0.3, 0.7]","[0.6, 0.7]","[0.3, 0.8]","[0.6, 0.5]","[0.6, 0.7]",0.95,0.50,-36.30,-23.39,3.67,-14.81,4.69,-66.13
3,"[0.9, 0.7]","[0.7, 0.6]","[0.0, 0.6]","[0.3, 0.6]","[0.8, 0.3]",0.93,0.50,-32.48,38.40,19.64,-51.45,43.02,17.13
4,"[0.2, 0.6]","[0.0, 0.6]","[0.9, 0.9]","[0.9, 0.2]","[0.8, 0.3]",0.90,0.50,17.87,20.60,39.63,0.03,10.48,88.61
5,"[0.4, 0.9]","[0.3, 0.1]","[0.9, 0.9]","[0.1, 0.2]","[0.8, 0.3]",0.88,0.50,13.14,-1.09,44.78,1.47,28.24,86.55
6,"[0.0, 0.9]","[0.6, 0.5]","[0.1, 0.6]","[0.5, 0.5]","[0.3, 0.9]",0.85,0.50,79.53,33.89,7.29,-8.55,9.36,121.52
7,"[0.7, 0.9]","[0.7, 0.6]","[0.2, 0.7]","[0.1, 0.2]","[0.0, 0.7]",0.81,0.50,9.14,-12.17,6.20,4.52,33.04,40.72
8,"[0.0, 0.9]","[0.8, 0.6]","[0.9, 0.9]","[0.0, 0.0]","[0.9, 0.2]",0.78,0.50,92.43,47.21,2.36,-0.03,-25.73,116.23
9,"[0.6, 0.4]","[0.8, 0.6]","[0.9, 0.9]","[0.3, 0.3]","[0.7, 0.3]",0.74,0.50,6.12,20.81,2.31,1.80,9.59,40.64
10,"[0.1, 0.2]","[0.0, 0.4]","[0.0, 0.6]","[0.1, 0.2]","[0.0, 0.5]",0.70,0.50,21.85,9.55,13.39,6.59,14.64,66.01
11,"[0.9, 0.5]","[0.8, 0.6]","[0.0, 0.6]","[0.5, 0.3]","[0.9, 0.4]",0.65,0.50,48.05,3.82,18.09,20.36,-2.53,87.80
12,"[0.0, 0.9]","[0.6, 0.5]","[0.8, 0.5]","[0.8, 0.3]","[0.5, 0.3]",0.60,0.50,81.09,36.38,-46.84,-6.92,14.31,78.03
13,"[0.8, 0.9]","[0.9, 0.9]","[0.0, 0.6]","[0.9, 0.9]","[0.8, 0.3]",0.54,0.50,-1.62,-11.14,7.97,40.40,0.95,36.55
14,"[0.0, 0.9]","[0.8, 0.4]","[0.4, 0.1]","[0.5, 0.7]","[0.4, 0.7]",0.48,0.48,82.33,56.48,4.38,4.72,-21.12,126.78
15,"[0.0, 0.9]","[0.8, 0.4]","[0.0, 0.6]","[0.9, 0.9]","[0.3, 0.4]",0.40,0.40,96.22,49.23,13.31,38.39,3.06,200.20
16,"[0.0, 0.9]","[0.5, 0.1]","[0.0, 0.6]","[0.9, 0.9]","[0.0, 0.7]",0.30,0.30,81.39,19.66,28.25,43.05,13.11,185.46
17,"[0.0, 0.9]","[0.8, 0.4]","[0.0, 0.6]","[0.7, 0.3]","[0.5, 0.3]",0.18,0.18,89.48,55.04,12.30,63.87,-2.11,218.59
18,"[0.0, 0.9]","[0.8, 0.4]","[0.0, 0.6]","[0.9, 0.9]","[0.0, 0.7]",0.01,0.01,85.63,50.43,12.63,39.13,12.06,199.87
19,"[0.0, 0.9]","[0.8, 0.4]","[0.0, 0.6]","[0.9, 0.9]","[0.0, 0.7]",0.01,0.01,89.51,47.97,11.97,39.63,13.21,202.30
