,action1,action2,action3,action4,action5,epsilon,lr,reward1,reward2,reward3,reward4,reward5,total_reward
0,"[0.1, 0.3]","[0.0, 0.8]","[0.7, 0.1]","[0.1, 0.9]","[0.1, 0.4]",1.00,0.50,5.52,29.83,47.85,110.24,1.14,194.57
1,"[0.0, 0.7]","[0.9, 0.8]","[0.6, 0.6]","[0.1, 0.3]","[0.7, 0.6]",0.98,0.50,66.29,-0.42,32.63,35.67,3.08,137.25
2,"[0.1, 0.9]","[0.7, 0.7]","[0.3, 0.3]","[0.8, 0.2]","[0.3, 0.4]",0.95,0.50,64.89,45.30,12.70,48.49,6.63,178.00
3,"[0.3, 0.2]","[0.7, 0.1]","[0.6, 0.0]","[0.2, 0.2]","[0.4, 0.4]",0.93,0.50,-87.53,17.53,0.03,25.44,-1.99,-46.51
4,"[0.3, 0.3]","[0.6, 0.6]","[0.6, 0.1]","[0.9, 0.1]","[0.1, 0.4]",0.90,0.50,-11.72,4.25,-12.66,-46.12,11.63,-54.62
5,"[0.2, 0.6]","[0.2, 0.3]","[0.1, 0.0]","[0.4, 0.0]","[0.0, 0.7]",0.88,0.50,18.30,-6.70,0.00,8.04,67.23,86.88
6,"[0.9, 0.6]","[0.7, 0.3]","[0.4, 0.3]","[0.7, 0.1]","[0.5, 0.3]",0.85,0.50,18.08,28.68,9.16,-3.75,-1.73,50.44
7,"[0.4, 0.7]","[0.8, 0.1]","[0.6, 0.5]","[0.0, 0.7]","[0.3, 0.6]",0.81,0.50,-11.24,18.75,10.64,10.22,-110.35,-81.99
8,"[0.9, 0.2]","[0.6, 0.6]","[0.9, 0.5]","[0.7, 0.1]","[0.0, 0.7]",0.78,0.50,-21.87,14.90,-63.20,4.14,41.01,-25.02
9,"[0.0, 0.7]","[0.1, 0.4]","[0.6, 0.8]","[0.1, 0.6]","[0.7, 0.1]",0.74,0.50,58.30,19.33,-0.74,33.87,36.65,147.41
10,"[0.1, 0.3]","[0.0, 0.7]","[0.9, 0.5]","[0.1, 0.9]","[0.0, 0.7]",0.70,0.50,5.47,22.97,-36.98,20.05,13.20,24.72
11,"[0.0, 0.7]","[0.7, 0.7]","[0.2, 0.6]","[0.1, 0.7]","[0.0, 0.5]",0.65,0.50,60.46,44.57,41.97,4.36,49.19,200.55
12,"[0.0, 0.7]","[0.1, 0.5]","[0.5, 0.9]","[0.8, 0.6]","[0.6, 0.0]",0.60,0.50,67.94,28.33,1.40,-7.49,-0.30,89.86
13,"[0.0, 0.7]","[0.7, 0.7]","[0.7, 0.1]","[0.1, 0.3]","[0.0, 0.7]",0.54,0.50,69.75,42.29,-5.16,9.83,24.51,141.22
14,"[0.0, 0.7]","[0.0, 0.7]","[0.2, 0.6]","[0.1, 0.9]","[0.0, 0.7]",0.48,0.48,60.35,32.11,-29.15,6.56,13.02,82.90
15,"[0.0, 0.7]","[0.7, 0.7]","[0.6, 0.6]","[0.8, 0.2]","[0.0, 0.5]",0.40,0.40,64.13,42.83,-16.79,-51.85,14.38,52.70
16,"[0.0, 0.7]","[0.7, 0.6]","[0.6, 0.1]","[0.1, 0.9]","[0.0, 0.5]",0.30,0.30,61.40,56.69,-4.14,90.01,6.63,210.59
17,"[0.0, 0.7]","[0.7, 0.7]","[0.7, 0.1]","[0.1, 0.9]","[0.0, 0.7]",0.18,0.18,60.56,46.12,-5.17,98.74,12.48,212.73
18,"[0.0, 0.7]","[0.7, 0.7]","[0.7, 0.1]","[0.1, 0.9]","[0.7, 0.1]",0.01,0.01,67.50,48.24,-5.02,107.47,39.65,257.84
19,"[0.0, 0.7]","[0.7, 0.7]","[0.7, 0.1]","[0.1, 0.9]","[0.7, 0.1]",0.01,0.01,59.54,45.50,-4.93,93.96,34.87,228.94
