,action1,action2,action3,action4,action5,epsilon,lr,reward1,reward2,reward3,reward4,reward5,total_reward
0,"[0.1, 0.1]","[0.0, 0.2]","[0.2, 0.0]","[0.3, 0.0]","[0.0, 0.0]",1.00,0.50,16.45,47.43,0.40,1.38,-0.24,65.42
1,"[0.1, 0.1]","[0.8, 0.2]","[0.8, 0.6]","[0.1, 0.8]","[0.0, 0.2]",0.98,0.50,13.76,49.47,9.08,8.12,3.30,83.73
2,"[0.4, 0.3]","[0.9, 0.7]","[0.1, 0.8]","[0.9, 0.9]","[0.3, 0.8]",0.95,0.50,-3.72,-0.51,19.24,19.08,13.33,47.41
3,"[0.3, 0.8]","[0.6, 0.4]","[0.1, 0.8]","[0.4, 0.6]","[0.5, 0.2]",0.93,0.50,-80.02,-7.41,16.86,-67.42,-49.97,-187.96
4,"[0.6, 0.7]","[0.1, 0.8]","[0.6, 0.9]","[0.8, 0.4]","[0.7, 0.2]",0.90,0.50,14.26,16.33,40.08,-23.60,3.08,50.14
5,"[0.5, 0.3]","[0.9, 0.5]","[0.6, 0.9]","[0.6, 0.8]","[0.7, 0.8]",0.88,0.50,4.79,-0.55,13.75,-29.01,-89.77,-100.78
6,"[0.9, 0.0]","[0.8, 0.2]","[0.6, 0.9]","[0.7, 0.0]","[0.0, 0.2]",0.85,0.50,80.46,26.74,40.66,2.31,40.00,190.17
7,"[0.4, 0.9]","[0.6, 0.0]","[0.3, 0.3]","[0.9, 0.9]","[0.6, 0.2]",0.81,0.50,13.08,8.37,1.85,0.01,0.70,24.00
8,"[0.9, 0.2]","[0.8, 0.2]","[0.6, 0.9]","[0.2, 0.3]","[0.7, 0.6]",0.78,0.50,-21.03,33.09,37.87,1.28,1.04,52.26
9,"[0.9, 0.0]","[0.8, 0.2]","[0.6, 0.9]","[0.4, 0.7]","[0.0, 0.2]",0.74,0.50,80.37,26.79,42.36,-4.21,9.29,154.60
10,"[0.9, 0.0]","[0.8, 0.2]","[0.4, 0.4]","[0.9, 0.9]","[0.7, 0.8]",0.70,0.50,81.49,26.19,4.72,-1.03,11.91,123.29
11,"[0.4, 0.4]","[0.2, 0.3]","[0.2, 0.7]","[0.2, 0.4]","[0.0, 0.2]",0.65,0.50,10.74,12.43,9.96,-6.51,36.62,63.24
12,"[0.8, 0.8]","[0.8, 0.2]","[0.6, 0.9]","[0.5, 0.0]","[0.6, 0.8]",0.60,0.50,-10.24,-2.60,40.99,0.36,-75.32,-46.80
13,"[0.0, 0.8]","[0.0, 0.2]","[0.1, 0.8]","[0.2, 0.4]","[0.0, 0.2]",0.54,0.50,109.35,4.43,28.26,-9.21,43.14,175.97
14,"[0.6, 0.7]","[0.0, 0.2]","[0.5, 0.0]","[0.7, 0.7]","[0.5, 0.0]",0.48,0.48,16.22,8.38,23.40,-34.48,-0.45,13.08
15,"[0.5, 0.5]","[0.8, 0.2]","[0.3, 0.8]","[0.0, 0.0]","[0.5, 0.4]",0.40,0.40,1.91,-27.87,36.29,-0.00,-0.05,10.29
16,"[0.9, 0.0]","[0.7, 0.8]","[0.6, 0.9]","[0.1, 0.8]","[0.0, 0.2]",0.30,0.30,81.33,82.07,-18.77,15.54,3.44,163.61
17,"[0.9, 0.0]","[0.7, 0.8]","[0.6, 0.9]","[0.1, 0.8]","[0.0, 0.2]",0.18,0.18,84.52,89.49,-19.24,13.37,3.70,171.84
18,"[0.9, 0.0]","[0.7, 0.8]","[0.1, 0.8]","[0.1, 0.8]","[0.0, 0.2]",0.01,0.01,82.90,91.24,47.70,27.56,3.78,253.18
19,"[0.9, 0.0]","[0.7, 0.8]","[0.1, 0.8]","[0.1, 0.8]","[0.0, 0.2]",0.01,0.01,71.52,91.31,50.30,28.46,3.45,245.03
